step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,-0.0898,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.4898,0.0067,0.02,0.0137,0.028,0.0
3,Epistemic,-1.0,-1.4831,0.216,0.0412,0.1327,0.0974,0.6973
4,Epistemic,-1.0,-2.267,0.401,0.1997,0.1627,0.0811,1.0333
5,Epistemic,-1.0,-2.866,0.665,0.1996,0.1987,0.081,4.8276
6,Epistemic,-1.0,-3.201,0.7421,0.1937,0.2118,0.0766,5.4409
7,Epistemic,-1.0,-3.4589,0.9444,0.1837,0.231,0.0775,11.5011
8,Epistemic,-1.0,-3.5146,0.9677,0.1459,0.2419,0.0778,15.1439
9,Epistemic,-1.0,-3.5469,1.055,0.1206,0.253,0.0792,20.4655
10,Epistemic,-1.0,-3.4919,0.9838,0.0829,0.2577,0.0795,22.101
11,Epistemic,-1.0,-3.5082,0.9837,0.0746,0.2609,0.0796,23.1898
12,Epistemic,-1.0,-3.5244,0.9556,0.0691,0.2621,0.0792,23.2327
13,Epistemic,-1.0,-3.5688,0.9752,0.0733,0.2634,0.0789,23.3141
14,Epistemic,-1.0,-3.5936,1.0327,0.072,0.2659,0.079,24.6093
15,Epistemic,-1.0,-3.5609,1.083,0.055,0.2694,0.0796,26.7936
16,Epistemic,-1.0,-3.478,0.8686,0.0265,0.2678,0.079,26.0046
17,Epistemic,-1.0,-3.6094,0.8957,0.0624,0.2662,0.0781,23.6882
18,Epistemic,-1.0,-3.7137,1.2076,0.0882,0.2708,0.0789,29.4144
19,Epistemic,-1.0,-3.5061,1.068,0.0208,0.273,0.0795,30.2608
20,Epistemic,-1.0,-3.4381,0.9805,0.0007,0.2737,0.0797,30.2717
21,Epistemic,-1.0,-3.4576,0.9767,0.006,0.2742,0.0798,30.3336
22,Epistemic,-1.0,-3.4809,0.9492,0.0122,0.2741,0.0797,30.2806
23,Epistemic,-1.0,-3.5318,0.9802,0.026,0.2743,0.0796,30.2713
24,Epistemic,-1.0,-3.5515,0.9476,0.0303,0.2739,0.0794,29.7906
25,Epistemic,-1.0,-3.604,1.0721,0.0441,0.2751,0.0796,30.8441
26,Epistemic,-1.0,-3.5319,0.9884,0.021,0.2753,0.0796,30.8946
27,Epistemic,-1.0,-3.5435,0.9043,0.0234,0.2744,0.0792,30.1559
28,Epistemic,-1.0,-3.6392,1.0338,0.0504,0.2749,0.0792,30.3463
29,Epistemic,-1.0,-3.6054,1.0122,0.038,0.2751,0.0791,30.3793
30,Epistemic,-1.0,-3.5932,0.9999,0.0328,0.2752,0.079,30.3172
1,RandomBabbler,0.0,0.0,-0.0898,0.0,0.08,0.08,0.0
2,RandomBabbler,0.7,-0.0898,-0.0118,0.0065,-0.1318,0.08,-0.0312
3,RandomBabbler,0.0,0.5984,0.0114,0.1075,-0.0216,-0.0327,-0.0068
4,RandomBabbler,-0.7,0.6098,-0.0399,0.001,0.0223,0.04,0.0119
5,RandomBabbler,1.0,-0.1301,0.0092,0.0022,0.0234,0.0405,0.0052
6,RandomBabbler,-1.0,0.8791,-0.1395,0.0108,0.0918,0.1372,0.6806
7,RandomBabbler,-0.4,-0.2603,-0.0073,0.0146,0.0867,0.1359,0.8124
8,RandomBabbler,-0.4,-0.6677,0.0152,0.0027,0.0727,0.117,0.7617
9,RandomBabbler,-1.0,-1.0525,0.1372,0.053,0.093,0.1206,1.2326
10,RandomBabbler,-0.4,-1.9154,0.3018,0.2644,0.1277,0.0878,2.0689
11,RandomBabbler,-0.4,-2.0136,0.3235,0.099,0.14,0.0837,2.5156
12,RandomBabbler,1.0,-2.0901,0.3114,0.0731,0.1426,0.0791,2.1936
13,RandomBabbler,1.0,-0.7787,0.0048,0.0631,0.1374,0.0786,3.9937
14,RandomBabbler,1.0,0.2261,-0.0045,0.027,0.137,0.0786,4.1339
15,RandomBabbler,-1.0,1.2216,-0.0508,0.0501,0.1288,0.0767,5.7693
16,RandomBabbler,0.7,0.1707,-0.1014,0.0198,0.1296,0.0768,5.0616
17,RandomBabbler,-0.4,0.7693,-0.1939,0.0542,0.1336,0.0784,2.4003
18,RandomBabbler,1.0,0.1754,0.1018,0.021,0.1324,0.0784,3.3596
19,RandomBabbler,0.0,1.2772,-0.0459,0.0412,0.1244,0.076,4.8628
20,RandomBabbler,1.0,1.2313,-0.0864,0.0379,0.1205,0.0753,5.5299
21,RandomBabbler,1.0,2.1449,-0.3478,0.0878,0.1279,0.0754,6.8401
22,RandomBabbler,0.4,2.7971,-0.6461,0.2318,0.1519,0.0785,19.2269
23,RandomBabbler,0.7,2.551,-0.5382,0.1232,0.1615,0.0795,22.9155
24,RandomBabbler,0.0,2.7128,-0.6502,0.1466,0.1736,0.0815,29.8561
25,RandomBabbler,0.4,2.0625,-0.3073,0.0115,0.1716,0.0808,30.0421
26,RandomBabbler,0.0,2.1552,-0.3811,0.0056,0.172,0.0809,30.0596
27,RandomBabbler,0.4,1.7741,-0.352,0.0505,0.1734,0.082,28.646
28,RandomBabbler,-0.4,1.8221,-0.2913,0.0438,0.1727,0.0822,28.6911
29,RandomBabbler,-0.4,1.1308,-0.13,0.0902,0.1716,0.0823,29.4049
30,RandomBabbler,0.4,0.6008,-0.0618,0.0734,0.1712,0.0823,29.5377
