step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,-0.0612,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.4612,0.0359,0.0199,0.0778,0.1688,0.0
3,Epistemic,-1.0,-1.4253,0.2123,0.2319,0.1422,0.1052,0.1577
4,Epistemic,-1.0,-2.213,0.3661,0.2005,0.1581,0.0793,-0.3338
5,Epistemic,-1.0,-2.8469,0.5819,0.1923,0.1827,0.074,1.072
6,Epistemic,-1.0,-3.265,0.8495,0.1927,0.2146,0.0771,8.2715
7,Epistemic,-1.0,-3.4154,0.9571,0.1668,0.235,0.0791,14.8029
8,Epistemic,-1.0,-3.4583,1.0117,0.1332,0.2489,0.0807,20.2014
9,Epistemic,-1.0,-3.4466,0.8895,0.1009,0.2507,0.0794,19.623
10,Epistemic,-1.0,-3.5571,0.9476,0.1129,0.2534,0.0785,19.6249
11,Epistemic,-1.0,-3.6095,1.0776,0.108,0.2601,0.0792,23.6498
12,Epistemic,-1.0,-3.5319,1.0217,0.0696,0.2638,0.0796,25.3137
13,Epistemic,-1.0,-3.5103,1.0624,0.055,0.268,0.0804,27.4613
14,Epistemic,-1.0,-3.4478,1.0001,0.0315,0.2702,0.0808,28.1492
15,Epistemic,-1.0,-3.4477,0.9458,0.0287,0.2705,0.0807,28.15
16,Epistemic,-1.0,-3.5019,0.9673,0.0418,0.271,0.0805,28.1363
17,Epistemic,-1.0,-3.5345,1.128,0.0479,0.2747,0.0813,30.7361
18,Epistemic,-1.0,-3.4066,0.9139,0.0078,0.2743,0.0812,30.6603
19,Epistemic,-1.0,-3.4926,0.9366,0.0319,0.2739,0.0808,30.217
20,Epistemic,-1.0,-3.556,0.9547,0.0483,0.2736,0.0805,29.4349
21,Epistemic,-1.0,-3.6013,1.0423,0.0586,0.2745,0.0805,30.0476
22,Epistemic,-1.0,-3.559,1.0206,0.0422,0.2752,0.0805,30.4041
23,Epistemic,-1.0,-3.5384,0.9844,0.0337,0.2754,0.0804,30.3233
24,Epistemic,-1.0,-3.554,1.0074,0.0364,0.2758,0.0803,30.4673
25,Epistemic,-1.0,-3.5466,1.02,0.0324,0.2764,0.0804,30.7827
26,Epistemic,-1.0,-3.5267,1.0296,0.025,0.2771,0.0805,31.1882
27,Epistemic,-1.0,-3.4971,1.0332,0.0154,0.2779,0.0807,31.5216
28,Epistemic,-1.0,-3.4639,0.9704,0.0054,0.278,0.0807,31.5322
29,Epistemic,-1.0,-3.4935,0.8869,0.0135,0.277,0.0804,31.0607
30,Epistemic,-1.0,-3.6066,1.0757,0.0461,0.2779,0.0805,32.0098
1,RandomBabbler,-0.4,0.0,-0.0612,0.0,0.08,0.08,0.0
2,RandomBabbler,-0.4,-0.4612,0.0359,0.0199,0.0778,0.1688,0.0
3,RandomBabbler,-1.0,-0.8253,0.1042,0.0507,0.1148,0.1544,0.0741
4,RandomBabbler,0.0,-1.7211,0.2113,0.2599,0.1209,0.0759,-0.5817
5,RandomBabbler,-0.7,-1.5098,0.1159,0.0096,0.1045,0.0669,-0.4412
6,RandomBabbler,0.7,-2.0939,0.3475,0.0745,0.1301,0.0739,1.2368
7,RandomBabbler,0.0,-1.0464,0.1115,0.0552,0.1279,0.0749,1.1669
8,RandomBabbler,0.0,-0.9349,0.1248,0.0541,0.1283,0.0764,0.4824
9,RandomBabbler,1.0,-0.8101,-0.0083,0.0538,0.1214,0.0753,2.2013
10,RandomBabbler,0.7,0.1816,-0.0673,0.0196,0.122,0.0754,1.7698
11,RandomBabbler,0.0,0.8144,-0.0178,0.0494,0.1172,0.0748,2.8323
12,RandomBabbler,0.4,0.7966,-0.0271,0.0459,0.1135,0.0744,3.5907
13,RandomBabbler,-0.4,1.1695,-0.0327,0.031,0.1062,0.072,4.5124
14,RandomBabbler,-0.7,0.7368,0.0057,0.0391,0.1024,0.0714,5.4761
15,RandomBabbler,-1.0,0.0425,-0.0052,0.0042,0.1024,0.0714,5.4711
16,RandomBabbler,0.0,-0.9627,0.0604,0.0324,0.1003,0.0712,5.74
17,RandomBabbler,0.7,-0.9023,0.1937,0.0325,0.1054,0.074,4.153
18,RandomBabbler,-0.4,-0.0086,-0.0144,0.0009,0.1054,0.074,4.1584
19,RandomBabbler,1.0,-0.4231,-0.0249,0.0314,0.1038,0.0738,4.8244
20,RandomBabbler,1.0,0.552,-0.0813,0.0348,0.1045,0.0742,4.2476
21,RandomBabbler,0.7,1.4707,-0.1683,0.0069,0.1055,0.0746,4.275
22,RandomBabbler,0.0,2.0024,-0.3135,0.0878,0.1138,0.0755,5.9948
23,RandomBabbler,0.4,1.6889,-0.2454,0.0233,0.117,0.0768,6.3447
24,RandomBabbler,-1.0,1.8435,-0.275,0.0451,0.1206,0.0774,6.9349
25,RandomBabbler,-0.4,0.5685,-0.0122,0.0435,0.1195,0.0773,7.5305
26,RandomBabbler,-0.7,0.1563,0.0327,0.0168,0.1193,0.0773,7.8186
27,RandomBabbler,-1.0,-0.511,0.0757,0.0408,0.1195,0.0775,7.2453
28,RandomBabbler,0.0,-1.4353,0.1753,0.012,0.1197,0.0778,7.2011
29,RandomBabbler,1.0,-1.26,0.0375,0.0272,0.1156,0.0763,8.2129
30,RandomBabbler,0.4,-0.2225,0.039,0.022,0.1157,0.0763,7.9996
