step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,0.002,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.398,0.0359,0.0192,0.0902,0.2268,0.0
3,Epistemic,-1.0,-1.362,0.1254,0.2978,0.0919,0.0687,-0.1261
4,Epistemic,-1.0,-2.2367,0.4178,0.1383,0.1596,0.0817,2.3273
5,Epistemic,-1.0,-2.8188,0.682,0.1995,0.2033,0.0846,7.3157
6,Epistemic,-1.0,-3.1369,0.8078,0.1942,0.2248,0.0833,10.7449
7,Epistemic,-1.0,-3.3291,0.9647,0.1746,0.2449,0.0848,17.0023
8,Epistemic,-1.0,-3.3644,0.8613,0.1356,0.2475,0.0822,15.8471
9,Epistemic,-1.0,-3.5031,0.9851,0.142,0.2545,0.0817,17.968
10,Epistemic,-1.0,-3.518,0.9548,0.1163,0.2574,0.0808,18.0431
11,Epistemic,-1.0,-3.5632,0.9765,0.1086,0.2599,0.0801,18.2427
12,Epistemic,-1.0,-3.5866,1.0199,0.0982,0.2631,0.08,19.5602
13,Epistemic,-1.0,-3.5667,1.0288,0.0789,0.2661,0.0801,20.9784
14,Epistemic,-1.0,-3.5379,1.0223,0.0612,0.2684,0.0803,22.0873
15,Epistemic,-1.0,-3.5156,1.0142,0.0485,0.2702,0.0804,22.9051
16,Epistemic,-1.0,-3.5014,1.0925,0.0401,0.2737,0.0812,24.7736
17,Epistemic,-1.0,-3.409,0.9728,0.0108,0.2746,0.0814,24.9107
18,Epistemic,-1.0,-3.4361,0.8648,0.0177,0.273,0.0808,24.3384
19,Epistemic,-1.0,-3.5713,1.0306,0.0559,0.2741,0.0808,24.9147
20,Epistemic,-1.0,-3.5407,0.9718,0.0429,0.2741,0.0806,24.595
21,Epistemic,-1.0,-3.5689,0.9932,0.0483,0.2743,0.0804,24.4293
22,Epistemic,-1.0,-3.5757,1.0882,0.0473,0.2761,0.0807,25.9212
23,Epistemic,-1.0,-3.4876,0.9619,0.0189,0.2761,0.0806,25.8469
24,Epistemic,-1.0,-3.5257,0.8969,0.0289,0.275,0.0802,24.8544
25,Epistemic,-1.0,-3.6288,1.069,0.058,0.276,0.0802,25.7834
26,Epistemic,-1.0,-3.5598,0.9992,0.0344,0.2762,0.0802,25.7789
27,Epistemic,-1.0,-3.5606,0.9555,0.0329,0.2758,0.0799,25.2225
28,Epistemic,-1.0,-3.6051,0.9937,0.0445,0.2758,0.0798,24.8321
29,Epistemic,-1.0,-3.6114,1.0121,0.0443,0.276,0.0797,24.7279
30,Epistemic,-1.0,-3.5993,1.0352,0.0387,0.2765,0.0797,25.0611
1,RandomBabbler,0.0,0.0,0.002,0.0,0.08,0.08,0.0
2,RandomBabbler,-1.0,0.002,0.0232,0.0002,0.08,0.08,0.0015
3,RandomBabbler,0.7,-0.9747,0.053,0.002,0.0543,0.0557,0.001
4,RandomBabbler,0.4,-0.2218,0.0216,0.0093,0.0564,0.0568,-0.0524
5,RandomBabbler,0.4,0.1998,0.0431,0.009,0.0459,0.0548,0.1052
6,RandomBabbler,0.7,0.6429,-0.0125,0.0069,0.0384,0.0509,0.1295
7,RandomBabbler,0.7,1.3304,-0.0635,0.039,0.0435,0.0397,0.1072
8,RandomBabbler,0.4,1.9669,-0.3538,0.068,0.1179,0.0801,4.884
9,RandomBabbler,0.7,2.0132,-0.3209,0.0872,0.133,0.0797,5.7699
10,RandomBabbler,-0.7,2.3923,-0.4931,0.1378,0.1578,0.0828,9.6711
11,RandomBabbler,1.0,1.1992,-0.1542,0.0702,0.1555,0.0835,9.6567
12,RandomBabbler,1.0,2.045,-0.3437,0.0312,0.1578,0.0832,9.7598
13,RandomBabbler,1.0,2.7012,-0.5727,0.181,0.1711,0.0814,12.8412
14,RandomBabbler,1.0,3.1286,-0.7621,0.2618,0.189,0.08,20.4334
15,RandomBabbler,-0.7,3.3665,-0.8812,0.2702,0.2052,0.0792,29.6704
16,RandomBabbler,-0.4,1.7852,-0.1433,0.1139,0.1979,0.0783,36.7207
17,RandomBabbler,0.7,1.242,-0.0803,0.125,0.1942,0.0781,41.7197
18,RandomBabbler,-1.0,1.8617,-0.357,0.0908,0.194,0.0789,40.2815
19,RandomBabbler,0.7,0.5047,-0.0102,0.0778,0.1933,0.0789,41.7958
20,RandomBabbler,1.0,1.1945,-0.1453,0.1183,0.1916,0.079,43.0129
21,RandomBabbler,0.7,2.0492,-0.3617,0.0609,0.1906,0.0793,43.0194
22,RandomBabbler,1.0,2.3875,-0.3907,0.0031,0.1885,0.0785,43.0854
23,RandomBabbler,1.0,2.9968,-0.7296,0.1403,0.1947,0.0789,47.8062
24,RandomBabbler,-0.7,3.2672,-0.9515,0.2066,0.2061,0.0808,63.418
25,RandomBabbler,1.0,1.6157,-0.1933,0.1221,0.2036,0.0807,67.1475
26,RandomBabbler,0.4,2.4224,-0.484,0.0198,0.2034,0.0808,67.1426
27,RandomBabbler,-0.4,2.3384,-0.4962,0.034,0.2039,0.0812,66.6543
28,RandomBabbler,-1.0,1.4422,-0.2125,0.1251,0.2028,0.0813,67.5821
29,RandomBabbler,0.4,0.2298,-0.0355,0.0423,0.2027,0.0813,67.4121
30,RandomBabbler,-0.7,0.5943,-0.0294,0.0918,0.2022,0.0813,69.0649
