step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,0.0243,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.3757,0.0132,0.0188,0.0351,0.0933,0.0
3,Epistemic,-1.0,-1.3625,0.0892,0.1255,0.0633,0.0483,0.0161
4,Epistemic,-1.0,-2.2733,0.4607,0.1057,0.1638,0.0845,4.5884
5,Epistemic,-1.0,-2.8125,0.6486,0.2074,0.1989,0.0828,7.9154
6,Epistemic,-1.0,-3.164,0.8196,0.1996,0.2229,0.0823,12.2626
7,Epistemic,-1.0,-3.3444,0.9044,0.1753,0.2375,0.0817,15.7298
8,Epistemic,-1.0,-3.44,1.0303,0.1502,0.2528,0.0834,22.0326
9,Epistemic,-1.0,-3.4097,0.9794,0.1073,0.2595,0.0836,24.2418
10,Epistemic,-1.0,-3.4302,1.007,0.0932,0.2651,0.0839,26.4332
11,Epistemic,-1.0,-3.4233,0.9233,0.0763,0.2657,0.0831,25.86
12,Epistemic,-1.0,-3.5,0.9569,0.0883,0.2667,0.0824,25.341
13,Epistemic,-1.0,-3.5431,0.9511,0.0893,0.2669,0.0815,24.1489
14,Epistemic,-1.0,-3.5919,1.02,0.0928,0.2687,0.0812,24.6449
15,Epistemic,-1.0,-3.5719,0.8778,0.0761,0.2666,0.0799,21.3997
16,Epistemic,-1.0,-3.6941,1.1791,0.1052,0.2714,0.0806,26.8434
17,Epistemic,-1.0,-3.5149,0.9968,0.0415,0.2724,0.0806,27.1807
18,Epistemic,-1.0,-3.5181,0.9958,0.0393,0.2731,0.0806,27.4415
19,Epistemic,-1.0,-3.5223,1.0397,0.0377,0.2746,0.0808,28.2695
20,Epistemic,-1.0,-3.4826,0.9515,0.0237,0.2745,0.0807,28.1208
21,Epistemic,-1.0,-3.5311,1.0117,0.0363,0.2753,0.0807,28.4507
22,Epistemic,-1.0,-3.5194,1.0333,0.0307,0.2763,0.0809,29.0229
23,Epistemic,-1.0,-3.486,0.8899,0.0194,0.2752,0.0804,28.414
24,Epistemic,-1.0,-3.5962,1.1281,0.0507,0.2772,0.0808,30.5959
25,Epistemic,-1.0,-3.4681,0.9708,0.0108,0.2773,0.0808,30.6126
26,Epistemic,-1.0,-3.4972,1.0123,0.0187,0.2779,0.0809,30.8489
27,Epistemic,-1.0,-3.4849,0.9174,0.0143,0.2773,0.0807,30.5307
28,Epistemic,-1.0,-3.5675,0.9862,0.0378,0.2772,0.0805,30.2166
29,Epistemic,-1.0,-3.5814,1.1176,0.0401,0.2787,0.0808,31.8322
30,Epistemic,-1.0,-3.4638,0.9324,0.0045,0.2783,0.0807,31.7712
1,RandomBabbler,0.7,0.0,0.0243,0.0,0.08,0.08,0.0
2,RandomBabbler,0.4,0.7243,-0.0401,0.016,0.0553,0.0764,0.0
3,RandomBabbler,0.4,1.0843,-0.1534,0.0298,0.1149,0.1215,0.4038
4,RandomBabbler,-1.0,1.3309,-0.0944,0.0623,0.0924,0.0769,-0.2696
5,RandomBabbler,-1.0,0.2365,0.0112,0.0176,0.0902,0.0767,-0.1021
6,RandomBabbler,1.0,-0.7523,0.064,0.0245,0.0895,0.079,-0.1788
7,RandomBabbler,-0.4,0.3117,0.0018,0.0202,0.0873,0.0788,-0.0241
8,RandomBabbler,-0.4,-0.0865,0.0842,0.007,0.0889,0.0789,-0.2493
9,RandomBabbler,-1.0,-0.4022,0.0623,0.023,0.0913,0.0804,-0.6019
10,RandomBabbler,1.0,-1.3399,0.2093,0.0221,0.1102,0.0943,-0.0491
11,RandomBabbler,1.0,-0.1306,-0.0128,0.0128,0.1097,0.0943,0.0571
12,RandomBabbler,-0.4,0.8565,-0.0818,0.0247,0.1082,0.0954,0.0539
13,RandomBabbler,0.7,0.3748,-0.0644,0.0271,0.1094,0.0962,-0.3532
14,RandomBabbler,1.0,1.0104,-0.0938,0.0124,0.1073,0.0957,-0.3074
15,RandomBabbler,-0.4,1.9166,-0.4367,0.1459,0.145,0.109,6.4106
16,RandomBabbler,0.0,1.0799,-0.0058,0.0295,0.1324,0.1033,7.7651
17,RandomBabbler,1.0,1.0741,-0.0838,0.023,0.128,0.1018,8.1537
18,RandomBabbler,0.0,1.9902,-0.3113,0.1485,0.1342,0.0931,7.5986
19,RandomBabbler,0.0,1.6789,-0.1783,0.037,0.1304,0.0883,6.793
20,RandomBabbler,-0.4,1.5006,-0.1989,0.0032,0.1306,0.0883,6.7948
21,RandomBabbler,-1.0,0.9017,-0.0508,0.046,0.1281,0.088,7.5745
22,RandomBabbler,0.0,-0.1491,0.0442,0.0171,0.1283,0.088,7.3433
23,RandomBabbler,-0.7,-0.1049,-0.0814,0.0125,0.1278,0.088,7.785
24,RandomBabbler,-1.0,-0.8863,0.1563,0.0442,0.1294,0.0892,6.6395
25,RandomBabbler,1.0,-1.73,0.248,0.0432,0.1309,0.0884,6.6817
26,RandomBabbler,-0.7,-0.4819,0.0525,0.0426,0.1307,0.0885,6.5001
27,RandomBabbler,-0.7,-1.1294,0.0478,0.0348,0.1269,0.0872,7.58
28,RandomBabbler,0.4,-1.7816,0.2219,0.0509,0.1266,0.085,7.0578
29,RandomBabbler,1.0,-1.1597,0.1991,0.0326,0.1284,0.0864,6.1757
30,RandomBabbler,0.7,0.0394,-0.0275,0.0049,0.1285,0.0864,6.1267
