step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,0.0123,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.3877,0.0598,0.019,0.1542,0.3979,0.0
3,Epistemic,-1.0,-1.3279,0.158,0.4967,0.1218,0.0919,-0.3918
4,Epistemic,-1.0,-2.1698,0.4239,0.1682,0.1741,0.0903,1.079
5,Epistemic,-1.0,-2.746,0.5367,0.2025,0.1855,0.0771,0.1265
6,Epistemic,-1.0,-3.2093,0.7963,0.1984,0.2118,0.0772,4.8089
7,Epistemic,-1.0,-3.413,0.9305,0.1762,0.2315,0.0783,10.5265
8,Epistemic,-1.0,-3.4825,1.0171,0.1438,0.2467,0.0801,16.5748
9,Epistemic,-1.0,-3.4654,1.0007,0.1065,0.2551,0.0808,19.7419
10,Epistemic,-1.0,-3.4647,1.043,0.0864,0.2627,0.082,23.1105
11,Epistemic,-1.0,-3.4217,0.9084,0.0608,0.2631,0.0813,22.679
12,Epistemic,-1.0,-3.5133,1.0871,0.0792,0.269,0.0823,26.1032
13,Epistemic,-1.0,-3.4263,0.945,0.0442,0.2698,0.0821,26.1219
14,Epistemic,-1.0,-3.4812,0.9725,0.0556,0.2707,0.0819,26.2335
15,Epistemic,-1.0,-3.5088,0.9384,0.0581,0.2704,0.0813,25.3881
16,Epistemic,-1.0,-3.5703,1.0439,0.0708,0.2724,0.0814,26.4981
17,Epistemic,-1.0,-3.5264,0.9963,0.0513,0.2732,0.0813,26.6912
18,Epistemic,-1.0,-3.5301,0.8965,0.0482,0.2718,0.0805,25.0633
19,Epistemic,-1.0,-3.6337,1.0142,0.0756,0.2723,0.0802,24.7585
20,Epistemic,-1.0,-3.6195,1.0445,0.0653,0.2734,0.0802,25.4004
21,Epistemic,-1.0,-3.575,1.0107,0.0474,0.2739,0.0801,25.5742
22,Epistemic,-1.0,-3.5642,0.962,0.0412,0.2737,0.0798,25.0336
23,Epistemic,-1.0,-3.6022,1.036,0.0499,0.2745,0.0798,25.5067
24,Epistemic,-1.0,-3.5662,1.0613,0.0365,0.2757,0.08,26.3972
25,Epistemic,-1.0,-3.5049,1.0613,0.0169,0.2769,0.0803,26.9579
26,Epistemic,-1.0,-3.4436,0.9489,0.001,0.2769,0.0803,26.9595
27,Epistemic,-1.0,-3.4947,1.008,0.0134,0.2774,0.0804,27.1318
28,Epistemic,-1.0,-3.4867,0.9817,0.0105,0.2776,0.0804,27.1692
29,Epistemic,-1.0,-3.505,0.932,0.0153,0.2771,0.0803,26.8841
30,Epistemic,-1.0,-3.573,0.9738,0.0345,0.2769,0.0801,26.4423
1,RandomBabbler,0.7,0.0,0.0123,0.0,0.08,0.08,0.0
2,RandomBabbler,0.7,0.7123,0.0072,0.0164,-0.0101,-0.0142,0.0
3,RandomBabbler,-0.7,1.4195,-0.1442,0.0142,0.0791,0.0665,0.6553
4,RandomBabbler,-0.7,0.5753,0.0207,0.0235,0.0658,0.0633,1.0753
5,RandomBabbler,0.7,-0.104,-0.0657,0.0062,0.0631,0.0631,1.2423
6,RandomBabbler,-1.0,0.5304,-0.0501,0.0157,0.066,0.0651,1.0866
7,RandomBabbler,-1.0,-0.5198,0.0202,0.0167,0.0638,0.0653,1.1216
8,RandomBabbler,-0.7,-1.4996,0.2268,0.0511,0.0985,0.0839,2.5862
9,RandomBabbler,1.0,-1.9728,0.3513,0.1324,0.1309,0.0878,5.4599
10,RandomBabbler,0.0,-0.6214,0.1135,0.0474,0.1329,0.089,4.3984
11,RandomBabbler,-1.0,-0.5079,-0.0076,0.0445,0.1292,0.0887,5.3124
12,RandomBabbler,-0.7,-1.5155,0.2833,0.008,0.1398,0.0948,5.5187
13,RandomBabbler,1.0,-1.9322,0.3046,0.0837,0.1439,0.0906,5.369
14,RandomBabbler,-0.7,-0.6276,0.0345,0.0546,0.1418,0.0906,5.9781
15,RandomBabbler,-1.0,-1.2932,0.0873,0.0319,0.135,0.0883,6.8797
16,RandomBabbler,-0.7,-2.2059,0.4134,0.1319,0.146,0.0872,8.9543
17,RandomBabbler,-1.0,-2.4925,0.4984,0.1778,0.1574,0.0847,11.5649
18,RandomBabbler,-1.0,-2.9941,0.6167,0.2883,0.1688,0.078,12.4439
19,RandomBabbler,-0.4,-3.3774,0.8705,0.3196,0.1892,0.0773,26.3155
20,RandomBabbler,0.7,-2.9069,0.6725,0.1033,0.1953,0.0777,28.8229
21,RandomBabbler,-1.0,-1.5344,0.1767,0.1167,0.1922,0.0777,31.7234
22,RandomBabbler,0.4,-2.3578,0.3905,0.0213,0.1899,0.0771,32.1247
23,RandomBabbler,0.4,-1.5673,0.1945,0.1082,0.1876,0.0772,34.1756
24,RandomBabbler,-0.4,-0.9729,0.1196,0.1095,0.1867,0.0773,34.5218
25,RandomBabbler,1.0,-1.2532,0.2042,0.1126,0.1862,0.0776,33.3308
26,RandomBabbler,0.4,-0.049,0.0005,0.0089,0.1862,0.0776,33.3458
27,RandomBabbler,-0.4,0.3514,0.0211,0.0558,0.1857,0.0776,34.6519
28,RandomBabbler,0.7,-0.0275,0.0092,0.005,0.1857,0.0776,34.6386
29,RandomBabbler,1.0,0.6817,-0.088,0.0906,0.1854,0.0776,34.3964
30,RandomBabbler,0.7,1.5937,-0.2507,0.0983,0.1844,0.0779,34.2178
