step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,0.0047,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.3953,0.075,0.0191,0.1897,0.48,0.0
3,Epistemic,-1.0,-1.3203,0.0929,0.5863,0.0802,0.0567,-0.4732
4,Epistemic,-1.0,-2.2274,0.4465,0.1027,0.1672,0.0863,2.8974
5,Epistemic,-1.0,-2.7809,0.6057,0.2026,0.194,0.0809,4.5208
6,Epistemic,-1.0,-3.1752,0.7935,0.1991,0.2168,0.0797,8.2031
7,Epistemic,-1.0,-3.3817,1.0099,0.1781,0.2427,0.0832,17.5114
8,Epistemic,-1.0,-3.3718,0.9174,0.1276,0.2498,0.0825,18.8833
9,Epistemic,-1.0,-3.4544,0.9525,0.1216,0.255,0.0818,20.0152
10,Epistemic,-1.0,-3.5019,1.0176,0.1108,0.2611,0.0821,22.5598
11,Epistemic,-1.0,-3.4844,1.0276,0.0868,0.266,0.0825,24.7773
12,Epistemic,-1.0,-3.4568,0.9544,0.0664,0.2672,0.0821,24.8214
13,Epistemic,-1.0,-3.5024,1.0107,0.0716,0.2697,0.0822,25.8107
14,Epistemic,-1.0,-3.4916,0.9266,0.0602,0.2692,0.0815,24.8475
15,Epistemic,-1.0,-3.565,0.9984,0.0758,0.2703,0.0812,24.8706
16,Epistemic,-1.0,-3.5666,0.9957,0.0686,0.271,0.0809,24.812
17,Epistemic,-1.0,-3.5709,0.9535,0.0635,0.2707,0.0803,23.7457
18,Epistemic,-1.0,-3.6174,0.9714,0.072,0.2706,0.0798,22.5923
19,Epistemic,-1.0,-3.646,0.9821,0.0745,0.2705,0.0793,21.4542
20,Epistemic,-1.0,-3.6639,1.062,0.0739,0.2718,0.0793,22.3934
21,Epistemic,-1.0,-3.6019,1.0293,0.05,0.2726,0.0793,22.8692
22,Epistemic,-1.0,-3.5726,1.0051,0.0383,0.2731,0.0793,23.0411
23,Epistemic,-1.0,-3.5675,1.0216,0.0346,0.2738,0.0793,23.4332
24,Epistemic,-1.0,-3.5459,0.9391,0.0265,0.2734,0.0791,22.9804
25,Epistemic,-1.0,-3.6068,1.0368,0.0428,0.2741,0.0791,23.457
26,Epistemic,-1.0,-3.5701,1.0315,0.0299,0.2748,0.0792,23.8917
27,Epistemic,-1.0,-3.5385,1.0392,0.0195,0.2756,0.0794,24.3191
28,Epistemic,-1.0,-3.4993,0.9373,0.0076,0.2753,0.0793,24.2289
29,Epistemic,-1.0,-3.562,0.995,0.0251,0.2754,0.0792,24.2473
30,Epistemic,-1.0,-3.567,0.9171,0.0255,0.2747,0.0789,23.4834
1,RandomBabbler,0.0,0.0,0.0047,0.0,0.08,0.08,0.0
2,RandomBabbler,0.4,0.0047,0.0625,0.0004,0.08,0.08,0.0095
3,RandomBabbler,-0.4,0.4672,-0.064,0.0199,0.1357,0.2933,0.0161
4,RandomBabbler,-0.7,0.0032,0.0496,0.0004,0.1349,0.2933,0.0246
5,RandomBabbler,0.7,-0.6472,0.0205,0.0355,0.0671,0.1012,-0.1167
6,RandomBabbler,0.0,0.0734,-0.0135,0.0044,0.0681,0.1015,-0.1357
7,RandomBabbler,0.0,0.0599,0.0947,0.0037,0.0589,0.1,-0.0025
8,RandomBabbler,0.4,0.1546,0.006,0.0067,0.0555,0.0991,0.0274
9,RandomBabbler,0.0,0.5605,-0.0273,0.0001,0.0533,0.0954,0.0273
10,RandomBabbler,0.0,0.5332,0.0137,0.0013,0.0356,0.0666,0.0362
11,RandomBabbler,-1.0,0.547,0.0324,0.0005,0.0175,0.0348,0.0235
12,RandomBabbler,0.7,-0.4206,0.0126,0.0012,0.0188,0.037,0.0206
13,RandomBabbler,-0.4,0.292,0.0226,0.0023,0.0143,0.0328,0.0401
14,RandomBabbler,-1.0,-0.0854,-0.0481,0.001,0.012,0.0322,0.0573
15,RandomBabbler,0.0,-1.1335,0.0845,0.0278,0.0377,0.0576,0.558
16,RandomBabbler,0.4,-1.0491,0.0661,0.0238,0.0443,0.0585,0.6615
17,RandomBabbler,0.0,-0.5829,-0.0394,0.006,0.036,0.0527,0.7698
18,RandomBabbler,0.4,-0.6224,-0.0444,0.002,0.0276,0.0459,0.7862
19,RandomBabbler,-1.0,-0.2668,-0.0757,0.0041,0.0232,0.0443,0.9009
20,RandomBabbler,-0.4,-1.3425,0.1322,0.0488,0.0431,0.058,2.116
21,RandomBabbler,1.0,-1.6102,0.1988,0.081,0.0652,0.0672,4.3067
22,RandomBabbler,-0.4,-0.4114,-0.0025,0.0155,0.0639,0.067,4.4371
23,RandomBabbler,0.4,-0.8139,0.0564,0.0076,0.0643,0.0676,4.4125
24,RandomBabbler,0.4,-0.3574,-0.0566,0.0143,0.0616,0.067,4.8132
25,RandomBabbler,0.7,-0.014,-0.004,0.0008,0.0615,0.067,4.8147
26,RandomBabbler,0.7,0.682,-0.0253,0.0108,0.0605,0.0668,4.8611
27,RandomBabbler,0.7,1.3567,-0.1097,0.0409,0.0635,0.0654,4.9631
28,RandomBabbler,-1.0,1.947,-0.3456,0.1245,0.0897,0.077,11.5033
29,RandomBabbler,0.7,0.6014,-0.0489,0.0261,0.0895,0.0772,11.4196
30,RandomBabbler,-0.7,1.2525,-0.2263,0.009,0.0973,0.0819,11.7478
