step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,-0.0339,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.4339,-0.0256,0.0197,-0.059,-0.1361,0.0
3,Epistemic,-1.0,-1.4595,0.1674,0.2037,0.1006,0.0769,0.7203
4,Epistemic,-1.0,-2.2921,0.402,0.1736,0.1525,0.0766,2.5193
5,Epistemic,-1.0,-2.89,0.6526,0.1989,0.1909,0.0776,6.7776
6,Epistemic,-1.0,-3.2375,0.7926,0.1956,0.2123,0.0766,10.4032
7,Epistemic,-1.0,-3.4449,0.9256,0.1775,0.2298,0.0772,15.571
8,Epistemic,-1.0,-3.5193,0.9716,0.1468,0.2411,0.0775,19.5445
9,Epistemic,-1.0,-3.5476,0.9848,0.1206,0.2484,0.0777,22.2139
10,Epistemic,-1.0,-3.5628,1.0482,0.1016,0.256,0.0787,26.0392
11,Epistemic,-1.0,-3.5147,0.9497,0.0718,0.258,0.0784,26.3835
12,Epistemic,-1.0,-3.565,1.0874,0.0764,0.2639,0.0794,29.8653
13,Epistemic,-1.0,-3.4776,0.841,0.0424,0.2616,0.0783,28.4003
14,Epistemic,-1.0,-3.6365,1.0796,0.084,0.2653,0.0787,31.0038
15,Epistemic,-1.0,-3.557,0.9813,0.0519,0.2662,0.0786,31.227
16,Epistemic,-1.0,-3.5756,1.0051,0.0526,0.2675,0.0786,31.7449
17,Epistemic,-1.0,-3.5705,0.9734,0.0467,0.2679,0.0784,31.6592
18,Epistemic,-1.0,-3.5971,0.9953,0.0507,0.2685,0.0783,31.7781
19,Epistemic,-1.0,-3.6019,1.0766,0.0483,0.2706,0.0786,33.3171
20,Epistemic,-1.0,-3.5252,1.0415,0.0231,0.2721,0.0789,33.9793
21,Epistemic,-1.0,-3.4837,1.0192,0.0102,0.2733,0.0792,34.2336
22,Epistemic,-1.0,-3.4645,0.9638,0.0043,0.2735,0.0793,34.2578
23,Epistemic,-1.0,-3.5007,0.9063,0.0142,0.2728,0.079,33.9446
24,Epistemic,-1.0,-3.5945,1.0164,0.0404,0.2733,0.079,34.1847
25,Epistemic,-1.0,-3.5781,1.091,0.0335,0.2748,0.0793,35.4173
26,Epistemic,-1.0,-3.4871,0.9553,0.0061,0.2748,0.0793,35.4033
27,Epistemic,-1.0,-3.5317,1.054,0.0184,0.2758,0.0795,35.9275
28,Epistemic,-1.0,-3.4777,0.9763,0.0025,0.276,0.0796,35.9427
29,Epistemic,-1.0,-3.5014,0.9807,0.009,0.2762,0.0796,35.9766
30,Epistemic,-1.0,-3.5207,1.0746,0.0141,0.2773,0.0799,36.4948
1,RandomBabbler,-1.0,0.0,-0.0339,0.0,0.08,0.08,0.0
2,RandomBabbler,-1.0,-1.0339,0.0448,0.0028,0.0434,0.0419,0.0
3,RandomBabbler,-0.4,-1.989,0.3135,0.0797,0.1333,0.0767,1.9009
4,RandomBabbler,-0.7,-2.0755,0.3264,0.0537,0.1444,0.0762,2.1647
5,RandomBabbler,-1.0,-2.4492,0.4643,0.1036,0.162,0.0768,3.6519
6,RandomBabbler,-0.4,-2.9849,0.6669,0.2007,0.1846,0.0758,7.8672
7,RandomBabbler,0.0,-2.718,0.5672,0.0581,0.1902,0.076,8.5166
8,RandomBabbler,-1.0,-2.1508,0.3509,0.0574,0.1868,0.076,9.1085
9,RandomBabbler,0.0,-2.7999,0.6051,0.0731,0.192,0.0763,10.2048
10,RandomBabbler,0.7,-2.1948,0.418,0.054,0.1918,0.0771,9.733
11,RandomBabbler,0.0,-1.0768,0.0542,0.1172,0.1886,0.0769,14.023
12,RandomBabbler,1.0,-1.0226,0.1543,0.1124,0.1878,0.0772,13.2245
13,RandomBabbler,-0.7,0.1318,-0.1278,0.0234,0.1881,0.0772,12.1491
14,RandomBabbler,-1.0,-0.6961,0.0604,0.0935,0.1871,0.0772,13.0289
15,RandomBabbler,-1.0,-1.6357,0.1832,0.0995,0.1834,0.077,15.7916
16,RandomBabbler,0.4,-2.4525,0.4635,0.0135,0.184,0.077,15.8254
17,RandomBabbler,-0.4,-1.589,0.1555,0.0978,0.1805,0.0768,19.1212
18,RandomBabbler,-0.4,-1.8335,0.2291,0.0729,0.1777,0.0765,20.9294
19,RandomBabbler,-1.0,-2.0045,0.3602,0.0488,0.1778,0.077,20.3973
20,RandomBabbler,1.0,-2.6443,0.6067,0.0685,0.1825,0.0781,22.9664
21,RandomBabbler,1.0,-1.0376,0.1344,0.1052,0.1817,0.0782,23.0559
22,RandomBabbler,0.4,0.0969,0.0028,0.0169,0.1817,0.0782,23.1367
23,RandomBabbler,-1.0,0.4997,-0.0941,0.0713,0.1817,0.0783,22.0264
24,RandomBabbler,0.0,-0.5945,0.011,0.0804,0.181,0.0783,23.8452
25,RandomBabbler,0.7,-0.5834,0.0941,0.079,0.1809,0.0783,22.9633
26,RandomBabbler,0.7,0.2106,-0.021,0.0346,0.1809,0.0783,22.9608
27,RandomBabbler,0.4,0.8896,-0.0072,0.0989,0.1792,0.0782,27.0409
28,RandomBabbler,0.7,1.2824,-0.1228,0.1011,0.1775,0.0782,29.2754
29,RandomBabbler,0.0,1.8596,-0.2768,0.0596,0.1763,0.0783,29.813
30,RandomBabbler,-0.4,1.5829,-0.1175,0.083,0.1734,0.0778,33.6694
