step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,0.025,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.375,-0.0782,0.0188,-0.2086,-0.5562,0.0
3,Epistemic,-1.0,-1.4532,0.1302,0.8714,0.071,0.0589,0.841
4,Epistemic,-1.0,-2.3231,0.4354,0.1531,0.1531,0.0778,4.7836
5,Epistemic,-1.0,-2.8877,0.7408,0.2064,0.2071,0.0852,12.7629
6,Epistemic,-1.0,-3.1469,0.7924,0.1925,0.2242,0.0827,14.9386
7,Epistemic,-1.0,-3.3544,0.8172,0.1785,0.2301,0.0788,13.956
8,Epistemic,-1.0,-3.5372,1.0166,0.1722,0.2445,0.0796,19.984
9,Epistemic,-1.0,-3.5206,0.9316,0.1257,0.2485,0.0785,20.3278
10,Epistemic,-1.0,-3.5889,1.0918,0.1195,0.2581,0.0798,25.9159
11,Epistemic,-1.0,-3.4972,0.9656,0.0735,0.2606,0.0797,26.5795
12,Epistemic,-1.0,-3.5315,1.0868,0.0733,0.2665,0.0807,29.9338
13,Epistemic,-1.0,-3.4447,0.9428,0.0398,0.2673,0.0806,30.0015
14,Epistemic,-1.0,-3.502,0.9298,0.0522,0.2671,0.0801,29.3989
15,Epistemic,-1.0,-3.5721,0.9473,0.0676,0.2669,0.0795,28.4152
16,Epistemic,-1.0,-3.6248,1.0331,0.0765,0.2685,0.0794,29.1765
17,Epistemic,-1.0,-3.5917,1.0543,0.0596,0.2705,0.0796,30.4958
18,Epistemic,-1.0,-3.5374,1.0605,0.039,0.2726,0.08,31.7182
19,Epistemic,-1.0,-3.4769,0.9804,0.019,0.2732,0.0801,31.8828
20,Epistemic,-1.0,-3.4964,0.9411,0.0234,0.273,0.0799,31.6558
21,Epistemic,-1.0,-3.5554,1.0363,0.039,0.2741,0.08,32.3358
22,Epistemic,-1.0,-3.5191,0.9189,0.0262,0.2733,0.0797,31.7578
23,Epistemic,-1.0,-3.6002,1.0622,0.0484,0.2745,0.0798,32.7444
24,Epistemic,-1.0,-3.538,0.9639,0.0276,0.2744,0.0796,32.5233
25,Epistemic,-1.0,-3.5741,1.0968,0.0366,0.276,0.08,33.8879
26,Epistemic,-1.0,-3.4774,1.0169,0.0072,0.2767,0.0802,34.0363
27,Epistemic,-1.0,-3.4604,0.9763,0.0022,0.277,0.0802,34.0511
28,Epistemic,-1.0,-3.4841,0.9201,0.0088,0.2764,0.08,33.8859
29,Epistemic,-1.0,-3.5641,1.0438,0.0314,0.2771,0.0801,34.4021
30,Epistemic,-1.0,-3.5203,1.0098,0.0174,0.2775,0.0802,34.5741
1,RandomBabbler,-0.4,0.0,0.025,0.0,0.08,0.08,0.0
2,RandomBabbler,-1.0,-0.375,-0.0782,0.0188,-0.2086,-0.5562,0.0
3,RandomBabbler,-0.7,-1.4532,0.1302,0.8714,0.071,0.0589,0.841
4,RandomBabbler,0.0,-2.0231,0.3311,0.0976,0.1307,0.0763,2.9959
5,RandomBabbler,-1.0,-1.692,0.3027,0.0029,0.1457,0.0845,2.8829
6,RandomBabbler,-0.7,-2.3892,0.4569,0.134,0.1631,0.0821,4.2809
7,RandomBabbler,0.4,-2.6323,0.4714,0.1397,0.1682,0.076,3.4427
8,RandomBabbler,-0.4,-1.761,0.2638,0.0606,0.1659,0.0767,3.4809
9,RandomBabbler,0.7,-1.8972,0.228,0.0386,0.1601,0.0754,4.3783
10,RandomBabbler,-1.0,-0.9692,0.1365,0.0844,0.1595,0.0759,3.5903
11,RandomBabbler,1.0,-1.8327,0.2559,0.0375,0.1575,0.0759,3.8286
12,RandomBabbler,-0.7,-0.5768,0.1157,0.0656,0.1579,0.0761,2.3165
13,RandomBabbler,0.4,-1.1611,0.1013,0.0808,0.1552,0.0761,3.61
14,RandomBabbler,1.0,-0.6598,-0.0165,0.0693,0.1529,0.0759,5.908
15,RandomBabbler,-0.4,0.3238,-0.0819,0.0415,0.1532,0.076,5.0239
16,RandomBabbler,0.7,-0.1581,-0.016,0.0223,0.153,0.076,5.2836
17,RandomBabbler,-0.7,0.5258,0.0001,0.0595,0.1518,0.076,6.4838
18,RandomBabbler,0.4,-0.174,0.0619,0.0241,0.152,0.076,6.0249
19,RandomBabbler,-1.0,0.2879,0.0067,0.0375,0.1516,0.076,6.4993
20,RandomBabbler,0.0,-0.7054,0.0029,0.0691,0.1496,0.0758,8.3923
21,RandomBabbler,1.0,-0.7026,0.0645,0.0676,0.1488,0.0759,8.5704
22,RandomBabbler,-1.0,0.3619,-0.0823,0.0439,0.1491,0.076,7.6845
23,RandomBabbler,-0.4,-0.7204,0.0668,0.0679,0.1483,0.0761,7.8609
24,RandomBabbler,-1.0,-1.0536,0.0513,0.0718,0.1454,0.0758,9.7807
25,RandomBabbler,-0.4,-2.0023,0.3956,0.013,0.1503,0.0781,10.2447
26,RandomBabbler,-1.0,-2.0068,0.3717,0.0127,0.1534,0.0793,10.5414
27,RandomBabbler,-0.4,-2.635,0.5738,0.1467,0.1618,0.08,15.463
28,RandomBabbler,0.7,-2.4612,0.4335,0.0866,0.1632,0.0789,15.234
29,RandomBabbler,1.0,-1.3277,0.1686,0.0777,0.1622,0.0791,15.5119
30,RandomBabbler,1.0,-0.1591,0.0204,0.0238,0.1622,0.0791,15.4497
