step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,-0.0723,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.4723,0.0295,0.0199,0.0624,0.1322,0.0
3,Epistemic,-1.0,-1.4428,0.1526,0.1851,0.1016,0.074,0.0416
4,Epistemic,-1.0,-2.2902,0.3956,0.1554,0.151,0.0752,1.6608
5,Epistemic,-1.0,-2.8946,0.7186,0.1932,0.2022,0.0825,8.6852
6,Epistemic,-1.0,-3.1759,0.8102,0.1898,0.2227,0.0814,12.1003
7,Epistemic,-1.0,-3.3657,0.8925,0.1726,0.2356,0.0804,14.8406
8,Epistemic,-1.0,-3.4732,1.0552,0.1516,0.2522,0.0825,22.3136
9,Epistemic,-1.0,-3.418,0.9099,0.1022,0.2549,0.0815,22.2196
10,Epistemic,-1.0,-3.5081,0.9214,0.1089,0.2562,0.0802,21.2694
11,Epistemic,-1.0,-3.5867,0.9605,0.1128,0.2579,0.0792,20.7272
12,Epistemic,-1.0,-3.6263,1.0257,0.1063,0.2612,0.079,22.1005
13,Epistemic,-1.0,-3.6006,1.0701,0.0839,0.2654,0.0795,24.7058
14,Epistemic,-1.0,-3.5305,1.0398,0.0539,0.2683,0.0799,26.1825
15,Epistemic,-1.0,-3.4907,1.0318,0.0373,0.2707,0.0804,27.2266
16,Epistemic,-1.0,-3.459,1.0498,0.0251,0.2733,0.081,28.163
17,Epistemic,-1.0,-3.4092,1.016,0.0093,0.2751,0.0814,28.4374
18,Epistemic,-1.0,-3.3932,0.9545,0.0042,0.2755,0.0815,28.4668
19,Epistemic,-1.0,-3.4387,1.014,0.0167,0.2768,0.0818,28.8311
20,Epistemic,-1.0,-3.4248,0.9727,0.0117,0.2772,0.0819,28.9148
21,Epistemic,-1.0,-3.452,0.9268,0.0188,0.2767,0.0816,28.6345
22,Epistemic,-1.0,-3.5252,1.0376,0.0391,0.2777,0.0818,29.2638
23,Epistemic,-1.0,-3.4875,0.9783,0.0259,0.2779,0.0817,29.2333
24,Epistemic,-1.0,-3.5092,0.977,0.0308,0.2779,0.0816,29.0763
25,Epistemic,-1.0,-3.5321,1.1011,0.036,0.2795,0.0819,30.4722
26,Epistemic,-1.0,-3.431,0.9831,0.0051,0.2798,0.082,30.5143
27,Epistemic,-1.0,-3.4479,0.9292,0.0097,0.2794,0.0818,30.3644
28,Epistemic,-1.0,-3.5187,0.9893,0.0298,0.2795,0.0817,30.2644
29,Epistemic,-1.0,-3.5294,1.1172,0.0317,0.281,0.0821,31.6668
30,Epistemic,-1.0,-3.4122,0.9217,0.0032,0.2806,0.082,31.7109
1,RandomBabbler,-0.4,0.0,-0.0723,0.0,0.08,0.08,0.0
2,RandomBabbler,-0.7,-0.4723,0.0295,0.0199,0.0624,0.1322,0.0
3,RandomBabbler,-0.7,-1.1428,0.0906,0.1013,0.0768,0.0711,-0.0274
4,RandomBabbler,0.0,-1.7522,0.2216,0.0838,0.11,0.072,0.4761
5,RandomBabbler,-0.7,-1.5306,0.2358,0.0004,0.1248,0.0814,0.4759
6,RandomBabbler,0.4,-1.9948,0.3217,0.0751,0.1381,0.0811,1.1458
7,RandomBabbler,-1.0,-1.2732,0.116,0.0443,0.132,0.0804,1.7252
8,RandomBabbler,-0.4,-2.1572,0.4624,0.0895,0.1543,0.0876,5.3657
9,RandomBabbler,-0.4,-2.0948,0.3263,0.0614,0.1546,0.0843,4.8597
10,RandomBabbler,0.7,-2.1685,0.313,0.0611,0.1528,0.0803,3.8656
11,RandomBabbler,1.0,-1.1554,0.0381,0.0693,0.147,0.0794,6.5748
12,RandomBabbler,0.0,-0.1174,-0.0252,0.0162,0.1468,0.0794,6.7968
13,RandomBabbler,0.4,-0.1426,0.0345,0.0193,0.1469,0.0794,6.6169
14,RandomBabbler,0.4,0.292,0.0358,0.0361,0.146,0.0793,7.4888
15,RandomBabbler,-0.7,0.7278,0.0146,0.0643,0.1429,0.079,9.7167
16,RandomBabbler,0.7,0.0424,0.0925,0.0059,0.1428,0.079,9.9425
17,RandomBabbler,-0.7,0.8348,0.0304,0.0641,0.1385,0.0784,12.857
18,RandomBabbler,0.0,0.1653,0.0312,0.0207,0.1382,0.0784,13.2191
19,RandomBabbler,0.0,0.1965,0.0649,0.0241,0.1375,0.0784,13.9884
20,RandomBabbler,-1.0,0.2613,0.029,0.0306,0.137,0.0784,14.5935
21,RandomBabbler,0.0,-0.7097,0.0138,0.0577,0.135,0.0783,15.8288
22,RandomBabbler,0.0,-0.6959,0.0822,0.056,0.1347,0.0785,15.4633
23,RandomBabbler,-1.0,-0.6136,0.0354,0.0531,0.1337,0.0785,15.8966
24,RandomBabbler,0.0,-1.5782,0.1912,0.0156,0.1328,0.0784,15.9664
25,RandomBabbler,0.4,-1.387,0.2569,0.0334,0.1357,0.0802,14.7893
26,RandomBabbler,-0.7,-0.7301,0.084,0.0563,0.1354,0.0804,14.4943
27,RandomBabbler,0.0,-1.3461,0.1231,0.0365,0.1332,0.0801,15.0591
28,RandomBabbler,0.0,-1.2229,0.1184,0.0432,0.1318,0.0801,15.4397
29,RandomBabbler,0.7,-1.1045,0.2183,0.0479,0.1338,0.0813,13.5904
30,RandomBabbler,-0.4,-0.1862,-0.007,0.0221,0.1337,0.0813,13.7748
