step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,0.0386,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.3614,-0.0222,0.0185,-0.0614,-0.1699,0.0
3,Epistemic,-1.0,-1.3836,0.069,0.2402,0.0428,0.0351,0.1588
4,Epistemic,-1.0,-2.3146,0.3762,0.089,0.1295,0.0662,3.5994
5,Epistemic,-1.0,-2.9384,0.6988,0.1915,0.1878,0.0765,11.9845
6,Epistemic,-1.0,-3.2396,0.8992,0.1943,0.2233,0.0812,21.2924
7,Epistemic,-1.0,-3.3403,0.7877,0.1595,0.227,0.0773,19.7768
8,Epistemic,-1.0,-3.5526,0.9488,0.1692,0.2371,0.0766,22.7103
9,Epistemic,-1.0,-3.6038,1.0575,0.1409,0.2486,0.0778,28.6913
10,Epistemic,-1.0,-3.5463,1.0099,0.0972,0.2546,0.0783,31.2767
11,Epistemic,-1.0,-3.5364,0.9607,0.0789,0.257,0.0781,31.8414
12,Epistemic,-1.0,-3.5757,1.1073,0.0791,0.2637,0.0793,35.9902
13,Epistemic,-1.0,-3.4684,0.9773,0.0392,0.2656,0.0795,36.5952
14,Epistemic,-1.0,-3.4911,0.9525,0.0417,0.2663,0.0794,36.662
15,Epistemic,-1.0,-3.5386,1.0553,0.0514,0.2692,0.0798,38.2987
16,Epistemic,-1.0,-3.4833,0.941,0.0311,0.2693,0.0797,38.1589
17,Epistemic,-1.0,-3.5423,1.1182,0.0456,0.2729,0.0804,40.5568
18,Epistemic,-1.0,-3.4241,0.9146,0.0088,0.2725,0.0803,40.4778
19,Epistemic,-1.0,-3.5095,1.0983,0.0324,0.2751,0.0809,42.0103
20,Epistemic,-1.0,-3.4113,1.0055,0.0027,0.2763,0.0812,42.0763
21,Epistemic,-1.0,-3.4057,0.899,0.001,0.2756,0.081,42.0607
22,Epistemic,-1.0,-3.5067,0.9876,0.0296,0.276,0.081,42.1312
23,Epistemic,-1.0,-3.5191,0.9715,0.0316,0.276,0.0808,41.9474
24,Epistemic,-1.0,-3.5475,1.011,0.0383,0.2764,0.0808,42.135
25,Epistemic,-1.0,-3.5365,1.0001,0.033,0.2767,0.0808,42.2111
26,Epistemic,-1.0,-3.5364,0.9378,0.0314,0.2762,0.0805,41.5368
27,Epistemic,-1.0,-3.5986,1.0637,0.0483,0.2771,0.0806,42.3786
28,Epistemic,-1.0,-3.5349,1.0224,0.0272,0.2776,0.0806,42.6847
29,Epistemic,-1.0,-3.5125,0.9003,0.0196,0.2767,0.0803,42.0496
30,Epistemic,-1.0,-3.6122,1.0403,0.0482,0.2772,0.0803,42.3555
1,RandomBabbler,0.0,0.0,0.0386,0.0,0.08,0.08,0.0
2,RandomBabbler,0.4,0.0386,-0.0328,0.003,0.8489,0.08,-0.213
3,RandomBabbler,1.0,0.4058,-0.0973,0.3313,0.2452,0.5926,-0.0937
4,RandomBabbler,0.0,1.3085,-0.1894,0.6938,0.1536,0.115,-1.0365
5,RandomBabbler,-1.0,1.1192,-0.0921,0.0279,0.1251,0.1006,-0.6251
6,RandomBabbler,-0.4,0.0271,0.0596,0.0033,0.1245,0.1006,-0.5441
7,RandomBabbler,-0.4,-0.3133,-0.097,0.0291,0.1113,0.0983,0.7642
8,RandomBabbler,1.0,-0.8104,-0.0084,0.0257,0.0908,0.0887,1.4083
9,RandomBabbler,-0.7,0.1813,0.0159,0.0135,0.0893,0.0886,1.5451
10,RandomBabbler,-0.7,-0.5028,0.024,0.0225,0.0868,0.0886,1.6264
11,RandomBabbler,1.0,-1.1788,0.0714,0.0209,0.0802,0.0783,1.382
12,RandomBabbler,1.0,-0.1074,0.0854,0.0077,0.0817,0.0784,1.1308
13,RandomBabbler,1.0,0.9779,-0.0616,0.0049,0.079,0.0768,1.1561
14,RandomBabbler,-1.0,1.9163,-0.3163,0.1308,0.1099,0.0827,4.553
15,RandomBabbler,1.0,0.6001,0.0248,0.0362,0.1048,0.0818,5.5525
16,RandomBabbler,1.0,1.6248,-0.2409,0.0456,0.1135,0.0841,6.2559
17,RandomBabbler,0.7,2.384,-0.3403,0.2074,0.1223,0.0712,5.1615
18,RandomBabbler,1.0,2.7437,-0.6256,0.2006,0.1524,0.077,16.3679
19,RandomBabbler,-0.7,3.1181,-0.6649,0.2729,0.1688,0.0731,20.8544
20,RandomBabbler,1.0,1.7532,-0.1713,0.0711,0.1632,0.0724,23.1686
21,RandomBabbler,-1.0,2.5819,-0.5622,0.0612,0.1711,0.0744,25.5014
22,RandomBabbler,-0.4,1.0197,-0.0793,0.0972,0.1691,0.0744,27.273
23,RandomBabbler,-0.4,0.5404,-0.0426,0.0696,0.1685,0.0744,27.6598
24,RandomBabbler,-0.7,0.0979,0.0034,0.0158,0.1685,0.0744,27.7358
25,RandomBabbler,0.7,-0.5987,0.0282,0.0742,0.1675,0.0744,28.7822
26,RandomBabbler,0.0,0.1295,-0.064,0.0205,0.1677,0.0744,28.352
27,RandomBabbler,0.4,0.0655,0.0273,0.0107,0.1676,0.0744,28.4928
28,RandomBabbler,-0.4,0.4929,0.0033,0.0645,0.1667,0.0744,29.8698
29,RandomBabbler,0.4,0.0962,-0.0875,0.0153,0.1669,0.0744,29.384
30,RandomBabbler,-0.7,0.4087,-0.0169,0.0558,0.1664,0.0744,29.9034
