step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,-0.0266,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.4266,0.0392,0.0196,0.0918,0.2153,0.0
3,Epistemic,-1.0,-1.3874,0.2097,0.287,0.146,0.1099,0.0428
4,Epistemic,-1.0,-2.1777,0.475,0.2031,0.196,0.1016,1.4987
5,Epistemic,-1.0,-2.7026,0.5168,0.2122,0.1935,0.0809,-1.8225
6,Epistemic,-1.0,-3.1858,0.776,0.2046,0.2144,0.0784,0.961
7,Epistemic,-1.0,-3.4099,0.8837,0.1804,0.2289,0.0774,4.0211
8,Epistemic,-1.0,-3.5262,0.9786,0.155,0.2414,0.0778,8.3538
9,Epistemic,-1.0,-3.5476,0.9993,0.1229,0.2497,0.0782,11.5339
10,Epistemic,-1.0,-3.5483,0.9421,0.0986,0.2524,0.0775,11.7653
11,Epistemic,-1.0,-3.6062,1.0547,0.098,0.2584,0.0782,14.9547
12,Epistemic,-1.0,-3.5515,0.9368,0.068,0.2591,0.0776,14.6058
13,Epistemic,-1.0,-3.6146,1.0739,0.0774,0.2635,0.0782,17.3125
14,Epistemic,-1.0,-3.5408,0.9574,0.0475,0.2642,0.078,17.3229
15,Epistemic,-1.0,-3.5833,1.0432,0.0549,0.2667,0.0783,18.6992
16,Epistemic,-1.0,-3.5401,1.0262,0.0376,0.2687,0.0787,19.5702
17,Epistemic,-1.0,-3.514,0.9827,0.0272,0.2695,0.0787,19.8221
18,Epistemic,-1.0,-3.5312,0.9677,0.0301,0.2698,0.0786,19.8332
19,Epistemic,-1.0,-3.5635,0.9766,0.0372,0.2701,0.0785,19.7849
20,Epistemic,-1.0,-3.5869,0.9718,0.0414,0.2702,0.0783,19.5103
21,Epistemic,-1.0,-3.6151,1.1271,0.0468,0.2727,0.0788,21.7548
22,Epistemic,-1.0,-3.4881,1.0053,0.008,0.2735,0.079,21.9068
23,Epistemic,-1.0,-3.4828,1.0686,0.0061,0.2752,0.0795,22.1702
24,Epistemic,-1.0,-3.4141,0.9532,0.0129,0.2754,0.0796,22.0721
25,Epistemic,-1.0,-3.461,0.9771,0.0004,0.2757,0.0797,22.0757
26,Epistemic,-1.0,-3.4838,0.9416,0.0067,0.2755,0.0796,22.0182
27,Epistemic,-1.0,-3.5422,0.9917,0.023,0.2757,0.0796,22.0561
28,Epistemic,-1.0,-3.5505,0.9282,0.0244,0.2751,0.0793,21.4714
29,Epistemic,-1.0,-3.6223,1.1023,0.0443,0.2763,0.0795,22.8946
30,Epistemic,-1.0,-3.52,1.0439,0.0128,0.2771,0.0797,23.2143
1,RandomBabbler,0.0,0.0,-0.0266,0.0,0.08,0.08,0.0
2,RandomBabbler,-0.7,-0.0266,0.0247,0.0021,0.9292,0.08,-0.1212
3,RandomBabbler,0.0,-0.7019,0.0951,0.6128,0.1367,0.1932,-0.0317
4,RandomBabbler,0.0,-0.6067,0.1251,0.0118,0.1664,0.2458,-0.202
5,RandomBabbler,-1.0,-0.4816,-0.049,0.0231,0.1095,0.1888,0.4583
6,RandomBabbler,-0.7,-1.5306,0.1514,0.2748,0.1023,0.0737,-0.7608
7,RandomBabbler,1.0,-2.0792,0.2994,0.1059,0.1255,0.0703,-0.1133
8,RandomBabbler,-1.0,-0.7798,0.0326,0.0551,0.1194,0.0701,0.6577
9,RandomBabbler,-0.7,-1.7473,0.2367,0.0052,0.1237,0.0721,0.6972
10,RandomBabbler,0.7,-2.2106,0.3258,0.0788,0.1308,0.0699,0.9982
11,RandomBabbler,-1.0,-1.1847,0.1266,0.0569,0.1289,0.0705,0.9885
12,RandomBabbler,0.7,-2.0581,0.2667,0.0335,0.129,0.0688,0.8299
13,RandomBabbler,0.0,-1.0914,0.1239,0.0589,0.1282,0.0694,0.5382
14,RandomBabbler,0.7,-0.9675,0.0293,0.0591,0.1244,0.069,2.0121
15,RandomBabbler,1.0,-0.2382,0.0205,0.0257,0.1243,0.069,1.9733
16,RandomBabbler,1.0,0.7824,-0.0254,0.055,0.1221,0.0689,2.9248
17,RandomBabbler,0.4,1.757,-0.252,0.0018,0.1244,0.0702,2.8983
18,RandomBabbler,1.0,1.9049,-0.3201,0.0178,0.1295,0.0725,3.3763
19,RandomBabbler,-0.7,2.5848,-0.5738,0.1499,0.1457,0.0766,11.6945
20,RandomBabbler,1.0,1.311,-0.195,0.0594,0.1458,0.0773,10.9086
21,RandomBabbler,-0.7,2.116,-0.2767,0.0375,0.1443,0.0755,10.2427
22,RandomBabbler,0.0,1.1393,-0.0719,0.0664,0.142,0.0753,11.7716
23,RandomBabbler,0.0,1.0675,0.0071,0.0658,0.1384,0.0747,14.9719
24,RandomBabbler,-0.7,1.0746,-0.0717,0.0625,0.1366,0.0746,16.0866
25,RandomBabbler,-1.0,0.3029,0.0115,0.0345,0.1363,0.0746,16.5782
26,RandomBabbler,0.0,-0.6856,0.0083,0.0584,0.1351,0.0745,17.8716
27,RandomBabbler,0.4,-0.6773,0.0246,0.0573,0.1342,0.0745,18.7395
28,RandomBabbler,0.7,-0.2527,-0.0752,0.0291,0.1336,0.0744,19.8382
29,RandomBabbler,0.4,0.3722,0.0416,0.0394,0.1329,0.0744,20.9621
30,RandomBabbler,-1.0,0.8137,-0.0003,0.0589,0.1312,0.0742,22.7791
