step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,-0.0463,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.4463,-0.0465,0.0198,-0.1042,-0.2336,0.0
3,Epistemic,-1.0,-1.4928,0.2101,0.3649,0.1207,0.0917,1.349
4,Epistemic,-1.0,-2.2827,0.408,0.2024,0.1603,0.0804,2.3146
5,Epistemic,-1.0,-2.8746,0.7466,0.2036,0.212,0.0872,9.7279
6,Epistemic,-1.0,-3.1281,0.82,0.1898,0.2311,0.0855,12.6696
7,Epistemic,-1.0,-3.3081,0.8514,0.1715,0.2389,0.0826,12.8444
8,Epistemic,-1.0,-3.4567,0.9977,0.161,0.2512,0.0829,17.28
9,Epistemic,-1.0,-3.4589,0.9698,0.1228,0.2569,0.0824,18.8452
10,Epistemic,-1.0,-3.4892,0.9447,0.1072,0.2592,0.0815,18.6752
11,Epistemic,-1.0,-3.5444,1.0541,0.1049,0.2649,0.0819,21.6397
12,Epistemic,-1.0,-3.4904,0.9434,0.0734,0.2655,0.0813,21.1923
13,Epistemic,-1.0,-3.547,1.1072,0.0807,0.2709,0.0822,24.7896
14,Epistemic,-1.0,-3.4398,0.995,0.0403,0.2727,0.0824,25.4181
15,Epistemic,-1.0,-3.4448,0.9312,0.038,0.2724,0.082,25.0449
16,Epistemic,-1.0,-3.5136,0.9787,0.0549,0.273,0.0817,24.9247
17,Epistemic,-1.0,-3.5349,1.0453,0.0565,0.2748,0.0819,26.0105
18,Epistemic,-1.0,-3.4897,0.9009,0.0386,0.2736,0.0813,24.9121
19,Epistemic,-1.0,-3.5888,1.0258,0.0653,0.2744,0.0812,25.1892
20,Epistemic,-1.0,-3.5629,0.9425,0.0527,0.2738,0.0807,23.9846
21,Epistemic,-1.0,-3.6204,1.0564,0.0663,0.2749,0.0807,24.7802
22,Epistemic,-1.0,-3.564,1.0158,0.045,0.2755,0.0806,25.0098
23,Epistemic,-1.0,-3.5482,1.078,0.0376,0.277,0.0809,26.1761
24,Epistemic,-1.0,-3.4702,0.9519,0.0132,0.2769,0.0808,26.0963
25,Epistemic,-1.0,-3.5183,0.989,0.0263,0.2771,0.0808,26.1132
26,Epistemic,-1.0,-3.5293,1.0653,0.0283,0.2782,0.081,26.9052
27,Epistemic,-1.0,-3.464,0.9219,0.0083,0.2777,0.0808,26.7597
28,Epistemic,-1.0,-3.5421,1.0654,0.0304,0.2787,0.081,27.5366
29,Epistemic,-1.0,-3.4766,0.9497,0.0103,0.2785,0.0809,27.4403
30,Epistemic,-1.0,-3.527,0.9367,0.0244,0.278,0.0807,26.9017
1,RandomBabbler,-1.0,0.0,-0.0463,0.0,0.08,0.08,0.0
2,RandomBabbler,-1.0,-1.0463,0.0251,0.0039,0.024,0.0229,0.0
3,RandomBabbler,-1.0,-2.0212,0.3587,0.0452,0.145,0.0835,3.1253
4,RandomBabbler,0.4,-2.6625,0.5583,0.2055,0.1824,0.08,5.5695
5,RandomBabbler,1.0,-1.7042,0.3178,0.0785,0.1832,0.0832,4.276
6,RandomBabbler,0.0,-0.3864,0.0492,0.0583,0.1826,0.0833,4.0984
7,RandomBabbler,-0.7,-0.3372,-0.015,0.0521,0.181,0.0833,5.1423
8,RandomBabbler,-1.0,-1.0522,0.1304,0.0982,0.1771,0.0838,5.5266
9,RandomBabbler,0.4,-1.9218,0.3081,0.0309,0.1741,0.0838,5.6974
10,RandomBabbler,1.0,-1.2137,0.0886,0.0879,0.1672,0.0832,8.2655
11,RandomBabbler,0.7,-0.1251,0.0503,0.0196,0.1674,0.0832,7.9582
12,RandomBabbler,0.0,0.6252,-0.0625,0.0721,0.1662,0.0833,8.1275
13,RandomBabbler,1.0,0.5627,0.0754,0.0671,0.162,0.083,11.6835
14,RandomBabbler,0.7,1.6381,-0.1662,0.0426,0.1555,0.0815,12.8441
15,RandomBabbler,0.4,2.1719,-0.3955,0.0467,0.1597,0.0819,13.3866
16,RandomBabbler,1.0,2.1763,-0.3879,0.0405,0.1622,0.0819,13.6672
17,RandomBabbler,-1.0,2.7885,-0.5764,0.1846,0.1704,0.0796,15.6614
18,RandomBabbler,0.4,1.212,-0.1908,0.0896,0.17,0.0802,14.6298
19,RandomBabbler,1.0,1.4212,-0.1661,0.0797,0.1676,0.0802,15.7151
20,RandomBabbler,0.4,2.2551,-0.4799,0.0298,0.1721,0.0817,16.6573
21,RandomBabbler,-1.0,2.1752,-0.3707,0.0123,0.172,0.0814,16.6131
22,RandomBabbler,0.7,0.8045,-0.0521,0.0857,0.1708,0.0814,18.0833
23,RandomBabbler,0.4,1.4523,-0.0979,0.0762,0.167,0.0809,21.3528
24,RandomBabbler,0.4,1.7544,-0.2577,0.0442,0.166,0.081,21.5749
25,RandomBabbler,1.0,1.8967,-0.2891,0.0237,0.1653,0.0809,21.7001
26,RandomBabbler,0.7,2.6076,-0.4751,0.1193,0.1669,0.0794,21.0806
27,RandomBabbler,-0.4,2.8325,-0.6798,0.1643,0.1742,0.0803,28.4946
28,RandomBabbler,-0.4,1.7526,-0.184,0.0588,0.1717,0.0798,30.5659
29,RandomBabbler,0.7,1.1686,-0.1265,0.0916,0.1706,0.0798,31.5839
30,RandomBabbler,-0.4,1.7421,-0.3012,0.0549,0.1707,0.0803,30.9083
