step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,-0.0254,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.4254,0.0066,0.0196,0.0154,0.0362,0.0
3,Epistemic,-1.0,-1.4188,0.1509,0.051,0.0989,0.0746,0.2649
4,Epistemic,-1.0,-2.2679,0.3703,0.1598,0.144,0.0723,1.5365
5,Epistemic,-1.0,-2.8976,0.702,0.1902,0.1964,0.0802,8.5564
6,Epistemic,-1.0,-3.1956,0.8046,0.1913,0.2182,0.0795,12.3288
7,Epistemic,-1.0,-3.391,0.9222,0.174,0.2347,0.0798,16.9204
8,Epistemic,-1.0,-3.4688,0.9326,0.1456,0.243,0.0791,18.9392
9,Epistemic,-1.0,-3.5362,1.0998,0.1296,0.2567,0.0813,26.3104
10,Epistemic,-1.0,-3.4364,0.9232,0.0773,0.2586,0.0807,26.3754
11,Epistemic,-1.0,-3.5132,1.0439,0.0874,0.2642,0.0813,29.1262
12,Epistemic,-1.0,-3.4693,1.0082,0.0625,0.2674,0.0817,30.4545
13,Epistemic,-1.0,-3.4612,0.9703,0.0528,0.2688,0.0816,30.8007
14,Epistemic,-1.0,-3.4909,1.0335,0.0558,0.2715,0.0819,32.1559
15,Epistemic,-1.0,-3.4573,0.9733,0.0406,0.2724,0.0819,32.3672
16,Epistemic,-1.0,-3.484,0.9476,0.0449,0.2724,0.0815,31.976
17,Epistemic,-1.0,-3.5364,1.0045,0.0566,0.2733,0.0814,32.2461
18,Epistemic,-1.0,-3.5319,1.017,0.0507,0.2744,0.0815,32.7431
19,Epistemic,-1.0,-3.5149,1.0425,0.0419,0.2759,0.0817,33.6384
20,Epistemic,-1.0,-3.4724,0.9874,0.0267,0.2764,0.0817,33.8006
21,Epistemic,-1.0,-3.4849,0.9852,0.0288,0.2768,0.0816,33.8838
22,Epistemic,-1.0,-3.4997,1.0023,0.0314,0.2773,0.0817,34.0975
23,Epistemic,-1.0,-3.4974,0.9653,0.029,0.2772,0.0815,33.8891
24,Epistemic,-1.0,-3.5322,0.9587,0.0377,0.2769,0.0812,33.3301
25,Epistemic,-1.0,-3.5734,0.9974,0.0479,0.277,0.0811,33.0381
26,Epistemic,-1.0,-3.576,1.0615,0.0462,0.278,0.0812,33.8781
27,Epistemic,-1.0,-3.5145,1.0098,0.0258,0.2784,0.0812,34.0754
28,Epistemic,-1.0,-3.5047,0.9492,0.0218,0.2781,0.081,33.7641
29,Epistemic,-1.0,-3.5555,0.9413,0.0358,0.2775,0.0807,32.8728
30,Epistemic,-1.0,-3.6142,0.951,0.0518,0.2769,0.0804,31.3345
1,RandomBabbler,-0.4,0.0,-0.0254,0.0,0.08,0.08,0.0
2,RandomBabbler,-0.4,-0.4254,0.0066,0.0196,0.0154,0.0362,0.0
3,RandomBabbler,-0.7,-0.8188,0.0435,0.0117,0.0451,0.0629,0.0355
4,RandomBabbler,-0.7,-1.4753,0.1329,0.0704,0.0775,0.0612,0.2832
5,RandomBabbler,-1.0,-2.0424,0.364,0.0973,0.1358,0.0813,3.3029
6,RandomBabbler,0.7,-2.6784,0.5615,0.2191,0.1727,0.0792,7.1909
7,RandomBabbler,-1.0,-1.4169,0.1629,0.0857,0.1656,0.0793,8.3623
8,RandomBabbler,-0.4,-2.254,0.3764,0.0295,0.1659,0.078,8.2592
9,RandomBabbler,-0.7,-2.2776,0.5144,0.0267,0.1776,0.0824,9.3431
10,RandomBabbler,0.0,-2.4632,0.4639,0.0622,0.1796,0.0811,9.2571
11,RandomBabbler,-1.0,-1.9993,0.3763,0.0351,0.1805,0.0822,8.8111
12,RandomBabbler,0.0,-2.623,0.5957,0.092,0.1879,0.0831,11.1802
13,RandomBabbler,0.0,-2.0274,0.3407,0.0394,0.1862,0.0831,11.4746
14,RandomBabbler,-0.7,-1.6866,0.2862,0.0777,0.1852,0.0836,11.1379
15,RandomBabbler,-1.0,-2.1004,0.37,0.0201,0.1845,0.0837,11.2045
16,RandomBabbler,0.0,-2.7304,0.5729,0.1198,0.1875,0.0825,11.6198
17,RandomBabbler,-1.0,-2.1574,0.3764,0.0206,0.1866,0.0824,11.7572
18,RandomBabbler,0.0,-2.781,0.6378,0.1183,0.191,0.0824,14.2881
19,RandomBabbler,-0.7,-2.1432,0.4216,0.0309,0.1914,0.0829,13.9633
20,RandomBabbler,0.7,-2.4216,0.492,0.0225,0.1922,0.0829,14.1082
21,RandomBabbler,-0.7,-1.2296,0.1346,0.1109,0.1907,0.083,16.1246
22,RandomBabbler,0.0,-1.795,0.2802,0.075,0.1895,0.0831,16.8381
23,RandomBabbler,1.0,-1.5148,0.1703,0.0965,0.1876,0.083,19.4163
24,RandomBabbler,-0.7,-0.3445,-0.0298,0.0548,0.1872,0.083,20.8842
25,RandomBabbler,-0.4,-1.0744,0.0682,0.1054,0.1857,0.0829,24.2233
26,RandomBabbler,1.0,-1.4061,0.1966,0.0972,0.1848,0.083,24.8251
27,RandomBabbler,-1.0,-0.2095,0.0252,0.0351,0.1847,0.083,24.7687
28,RandomBabbler,-1.0,-1.1843,0.0788,0.1023,0.183,0.0829,28.3487
29,RandomBabbler,-1.0,-2.1055,0.2846,0.0178,0.1809,0.0822,28.9651
30,RandomBabbler,0.7,-2.8209,0.5426,0.1437,0.1818,0.0807,26.9463
