step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,-0.0006,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.4006,-0.0208,0.0192,-0.052,-0.1297,0.0
3,Epistemic,-1.0,-1.4214,0.1805,0.1882,0.1138,0.088,0.7063
4,Epistemic,-1.0,-2.2409,0.4668,0.1867,0.1797,0.0923,3.4054
5,Epistemic,-1.0,-2.7741,0.6967,0.2115,0.2166,0.0911,7.1934
6,Epistemic,-1.0,-3.0774,0.7878,0.1962,0.2319,0.0871,8.4318
7,Epistemic,-1.0,-3.2895,0.867,0.1799,0.2417,0.0843,9.2397
8,Epistemic,-1.0,-3.4225,0.9226,0.161,0.2486,0.0826,10.0229
9,Epistemic,-1.0,-3.5,0.956,0.1414,0.2537,0.0814,10.7322
10,Epistemic,-1.0,-3.544,0.9508,0.1234,0.2563,0.0802,10.3646
11,Epistemic,-1.0,-3.5932,0.9512,0.1146,0.2575,0.079,9.3646
12,Epistemic,-1.0,-3.642,0.9679,0.1098,0.2587,0.078,8.4519
13,Epistemic,-1.0,-3.6741,1.131,0.1028,0.2646,0.0788,13.1516
14,Epistemic,-1.0,-3.5431,1.0,0.0522,0.2664,0.0789,13.8338
15,Epistemic,-1.0,-3.5431,1.0532,0.047,0.2692,0.0794,15.3062
16,Epistemic,-1.0,-3.4898,0.9014,0.0278,0.2683,0.079,14.7781
17,Epistemic,-1.0,-3.5884,1.042,0.0539,0.2701,0.0791,15.814
18,Epistemic,-1.0,-3.5464,1.004,0.0374,0.271,0.0792,16.1948
19,Epistemic,-1.0,-3.5424,1.0367,0.0336,0.2725,0.0794,16.9449
20,Epistemic,-1.0,-3.5057,0.9697,0.021,0.2727,0.0794,16.976
21,Epistemic,-1.0,-3.536,1.0466,0.0283,0.2741,0.0797,17.703
22,Epistemic,-1.0,-3.4894,1.0231,0.0135,0.2752,0.0799,18.0091
23,Epistemic,-1.0,-3.4663,1.0276,0.0064,0.2762,0.0802,18.1799
24,Epistemic,-1.0,-3.4387,0.8397,0.0016,0.2747,0.0798,18.2456
25,Epistemic,-1.0,-3.599,0.9745,0.0445,0.2745,0.0795,17.6333
26,Epistemic,-1.0,-3.6245,1.1216,0.0496,0.2762,0.0798,19.5622
27,Epistemic,-1.0,-3.5029,1.1107,0.012,0.278,0.0803,20.1961
28,Epistemic,-1.0,-3.3922,0.9459,0.0189,0.278,0.0804,20.1056
29,Epistemic,-1.0,-3.4464,0.9333,0.0035,0.2777,0.0803,20.1365
30,Epistemic,-1.0,-3.5131,1.0476,0.0154,0.2785,0.0805,20.5179
1,RandomBabbler,-1.0,0.0,-0.0006,0.0,0.08,0.08,0.0
2,RandomBabbler,0.0,-1.0006,0.0464,0.0,0.0464,0.0464,0.0
3,RandomBabbler,-0.4,-0.9541,0.0917,0.0021,0.0701,0.071,-0.0324
4,RandomBabbler,0.0,-1.2625,0.1926,0.0247,0.1076,0.0999,0.6211
5,RandomBabbler,0.7,-1.0699,0.1727,0.0007,0.1208,0.1117,0.5986
6,RandomBabbler,-0.4,-0.1972,0.0333,0.0195,0.1212,0.1119,0.4486
7,RandomBabbler,-0.7,-0.5639,0.0268,0.0328,0.1165,0.1114,0.7573
8,RandomBabbler,0.4,-1.2371,0.1079,0.0263,0.1097,0.0996,0.4011
9,RandomBabbler,1.0,-0.7292,0.0185,0.027,0.1033,0.0974,0.8701
10,RandomBabbler,0.0,0.2893,-0.0607,0.0217,0.1046,0.098,0.506
11,RandomBabbler,0.0,0.2286,-0.0859,0.0188,0.1065,0.0985,-0.0356
12,RandomBabbler,0.7,0.1427,-0.0948,0.0132,0.1081,0.0987,-0.4944
13,RandomBabbler,0.4,0.7478,0.0064,0.0257,0.0997,0.0947,0.1872
14,RandomBabbler,-0.4,1.1542,-0.1108,0.0111,0.0992,0.0928,0.151
15,RandomBabbler,1.0,0.6434,0.0159,0.0254,0.0938,0.0907,0.7862
16,RandomBabbler,0.4,1.6592,-0.2932,0.094,0.1124,0.0972,3.4987
17,RandomBabbler,0.7,1.7661,-0.2376,0.1048,0.1169,0.0899,3.1802
18,RandomBabbler,0.4,2.2285,-0.3994,0.1861,0.1321,0.0855,5.8645
19,RandomBabbler,-1.0,2.229,-0.3647,0.1303,0.1383,0.0816,6.1688
20,RandomBabbler,-1.0,0.8643,-0.0733,0.0585,0.1367,0.0817,6.5545
21,RandomBabbler,0.0,-0.2089,0.0498,0.025,0.1369,0.0818,6.2165
22,RandomBabbler,0.7,-0.1591,0.051,0.0197,0.1371,0.0818,5.9081
23,RandomBabbler,-0.4,0.592,0.0383,0.0525,0.1344,0.0815,7.8293
24,RandomBabbler,-0.4,0.2303,-0.1105,0.0266,0.1351,0.0816,6.8376
25,RandomBabbler,0.4,-0.2802,-0.0554,0.0315,0.1341,0.0815,7.808
26,RandomBabbler,-0.7,0.0644,0.0703,0.0083,0.1339,0.0815,8.056
27,RandomBabbler,0.7,-0.5653,0.1546,0.0497,0.1356,0.082,5.9847
28,RandomBabbler,-0.4,0.2893,0.0186,0.0324,0.135,0.082,6.5214
29,RandomBabbler,0.7,-0.0921,-0.0162,0.0117,0.1349,0.082,6.6283
30,RandomBabbler,1.0,0.5917,0.0323,0.0511,0.1324,0.0817,8.3661
