step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,-0.0393,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.4393,0.016,0.0197,0.0365,0.0832,0.0
3,Epistemic,-1.0,-1.4233,0.1378,0.1165,0.0916,0.0682,0.1265
4,Epistemic,-1.0,-2.2854,0.3895,0.1468,0.1469,0.0737,2.0331
5,Epistemic,-1.0,-2.8959,0.5402,0.1928,0.1679,0.0673,2.8912
6,Epistemic,-1.0,-3.3557,0.9231,0.1943,0.2125,0.0754,15.5728
7,Epistemic,-1.0,-3.4326,0.9802,0.1596,0.2346,0.0784,23.3083
8,Epistemic,-1.0,-3.4524,0.9758,0.1241,0.2459,0.0793,27.2649
9,Epistemic,-1.0,-3.4766,0.9575,0.1041,0.2516,0.0793,28.9672
10,Epistemic,-1.0,-3.5191,0.9718,0.097,0.2556,0.0792,30.2007
11,Epistemic,-1.0,-3.5473,1.0599,0.0893,0.2618,0.08,33.5402
12,Epistemic,-1.0,-3.4873,1.0496,0.0598,0.2666,0.0808,35.7948
13,Epistemic,-1.0,-3.4377,0.9889,0.0388,0.2688,0.0811,36.5342
14,Epistemic,-1.0,-3.4488,0.946,0.0381,0.2693,0.081,36.5329
15,Epistemic,-1.0,-3.5028,1.0317,0.0502,0.2716,0.0813,37.69
16,Epistemic,-1.0,-3.4711,1.0881,0.0366,0.275,0.0821,39.4095
17,Epistemic,-1.0,-3.383,0.8832,0.0088,0.274,0.0817,39.2417
18,Epistemic,-1.0,-3.4998,1.0397,0.0418,0.2757,0.0819,40.1729
19,Epistemic,-1.0,-3.4601,0.9024,0.0273,0.2747,0.0815,39.5115
20,Epistemic,-1.0,-3.5577,0.9682,0.0544,0.2745,0.0812,38.7794
21,Epistemic,-1.0,-3.5895,1.1412,0.0602,0.2772,0.0817,41.6312
22,Epistemic,-1.0,-3.4483,0.8863,0.0151,0.2761,0.0813,41.1923
23,Epistemic,-1.0,-3.562,0.9824,0.0476,0.2761,0.081,40.7462
24,Epistemic,-1.0,-3.5796,0.9376,0.0501,0.2754,0.0806,39.3164
25,Epistemic,-1.0,-3.642,1.0806,0.0662,0.2764,0.0806,40.4395
26,Epistemic,-1.0,-3.5613,0.9456,0.0383,0.2759,0.0803,39.5938
27,Epistemic,-1.0,-3.6158,1.0134,0.0527,0.2761,0.0802,39.3803
28,Epistemic,-1.0,-3.6024,1.0534,0.0461,0.2768,0.0802,40.0081
29,Epistemic,-1.0,-3.549,0.9959,0.0282,0.277,0.0802,40.0005
30,Epistemic,-1.0,-3.5531,1.1247,0.0283,0.2785,0.0806,41.3776
1,RandomBabbler,-0.4,0.0,-0.0393,0.0,0.08,0.08,0.0
2,RandomBabbler,0.4,-0.4393,0.016,0.0197,0.0365,0.0832,0.0
3,RandomBabbler,0.0,-0.0233,-0.0242,0.0008,0.0335,0.0828,0.0076
4,RandomBabbler,0.0,-0.0475,-0.0281,0.0014,0.0263,0.0811,0.0219
5,RandomBabbler,-0.4,-0.0756,-0.1303,0.0015,-0.0233,0.0611,0.0059
6,RandomBabbler,1.0,-0.6059,0.0516,0.0365,0.0467,0.1234,0.2753
7,RandomBabbler,-1.0,0.4457,0.0217,0.0037,0.022,0.08,0.196
8,RandomBabbler,-1.0,-0.5326,0.045,0.0109,0.0389,0.1016,0.2854
9,RandomBabbler,-0.7,-1.4876,0.1676,0.1671,0.0889,0.0772,1.0245
10,RandomBabbler,0.0,-2.02,0.3075,0.1354,0.1241,0.0758,2.4762
11,RandomBabbler,1.0,-1.7124,0.2879,0.0098,0.1367,0.0821,2.6708
12,RandomBabbler,-1.0,-0.4245,0.0911,0.0432,0.138,0.0826,1.7228
13,RandomBabbler,1.0,-1.3334,0.1857,0.0372,0.1382,0.0846,1.4489
14,RandomBabbler,0.0,-0.1477,-0.0038,0.0186,0.1379,0.0846,1.5597
15,RandomBabbler,0.0,-0.1515,0.052,0.019,0.1383,0.0847,1.2521
16,RandomBabbler,0.4,-0.0996,0.125,0.0129,0.1392,0.0847,0.6413
17,RandomBabbler,-0.4,0.4255,-0.0469,0.0439,0.1388,0.0849,0.4729
18,RandomBabbler,0.4,-0.0214,0.0599,0.0029,0.1389,0.0849,0.4045
19,RandomBabbler,0.0,0.4385,-0.0708,0.0446,0.1392,0.0852,-0.1688
20,RandomBabbler,-1.0,0.3677,-0.0552,0.0397,0.1393,0.0854,-0.5471
21,RandomBabbler,0.7,-0.6875,0.1482,0.0554,0.142,0.0869,-2.3292
22,RandomBabbler,-1.0,0.1607,-0.067,0.0206,0.1426,0.0869,-2.7785
23,RandomBabbler,0.7,-0.9063,0.0331,0.0578,0.1364,0.086,-1.3253
24,RandomBabbler,0.4,-0.1732,-0.085,0.021,0.1351,0.0859,-0.5041
25,RandomBabbler,0.0,0.1418,0.0179,0.0174,0.1347,0.0859,-0.3069
26,RandomBabbler,0.0,0.1597,-0.0711,0.0193,0.1353,0.086,-0.7657
27,RandomBabbler,0.0,0.0886,-0.0331,0.0113,0.1354,0.086,-0.887
28,RandomBabbler,0.0,0.0554,0.015,0.0072,0.1353,0.086,-0.8324
29,RandomBabbler,1.0,0.0704,-0.0121,0.0091,0.1353,0.086,-0.8583
30,RandomBabbler,-0.4,1.0583,0.0251,0.0469,0.1237,0.0822,1.5493
