step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,-0.047,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.447,0.0271,0.0198,0.0607,0.1357,0.0
3,Epistemic,-1.0,-1.4199,0.226,0.1875,0.1503,0.1123,0.3482
4,Epistemic,-1.0,-2.1939,0.4618,0.2109,0.1915,0.0984,1.2623
5,Epistemic,-1.0,-2.7321,0.6562,0.2113,0.2166,0.0914,2.5752
6,Epistemic,-1.0,-3.0759,0.7593,0.1982,0.2285,0.0856,2.5619
7,Epistemic,-1.0,-3.3166,0.8965,0.1836,0.2417,0.0839,4.9528
8,Epistemic,-1.0,-3.4201,0.9236,0.1549,0.2488,0.0823,5.9044
9,Epistemic,-1.0,-3.4966,0.9128,0.1367,0.2513,0.0804,4.8916
10,Epistemic,-1.0,-3.5838,1.0043,0.1313,0.2565,0.0799,6.5336
11,Epistemic,-1.0,-3.5794,1.0722,0.1052,0.263,0.0806,10.1695
12,Epistemic,-1.0,-3.5072,0.9965,0.0685,0.2657,0.0806,11.119
13,Epistemic,-1.0,-3.5108,0.9702,0.0609,0.2669,0.0804,11.2701
14,Epistemic,-1.0,-3.5405,0.9503,0.0627,0.2671,0.0799,10.6921
15,Epistemic,-1.0,-3.5902,1.0266,0.0706,0.2689,0.0798,11.5214
16,Epistemic,-1.0,-3.5636,0.9871,0.0557,0.2696,0.0796,11.5436
17,Epistemic,-1.0,-3.5765,1.0252,0.0546,0.2709,0.0797,12.221
18,Epistemic,-1.0,-3.5514,1.0332,0.0428,0.2724,0.0799,13.0082
19,Epistemic,-1.0,-3.5182,0.8769,0.0301,0.2708,0.0792,11.9313
20,Epistemic,-1.0,-3.6414,1.0563,0.0642,0.2721,0.0793,12.8404
21,Epistemic,-1.0,-3.5851,0.9555,0.043,0.2718,0.0789,12.1714
22,Epistemic,-1.0,-3.6296,1.0075,0.0534,0.2721,0.0788,12.0584
23,Epistemic,-1.0,-3.6221,0.9879,0.0478,0.2722,0.0786,11.6692
24,Epistemic,-1.0,-3.6342,1.1118,0.0485,0.2739,0.0789,13.4853
25,Epistemic,-1.0,-3.5223,1.0258,0.0138,0.2748,0.0791,13.7703
26,Epistemic,-1.0,-3.4965,1.0028,0.006,0.2753,0.0792,13.8598
27,Epistemic,-1.0,-3.4937,0.9396,0.005,0.275,0.0791,13.8129
28,Epistemic,-1.0,-3.5541,0.939,0.0218,0.2746,0.0789,13.4022
29,Epistemic,-1.0,-3.615,1.0266,0.0385,0.275,0.0789,13.6199
30,Epistemic,-1.0,-3.5884,1.0403,0.0291,0.2756,0.079,14.0565
1,RandomBabbler,-0.7,0.0,-0.047,0.0,0.08,0.08,0.0
2,RandomBabbler,-1.0,-0.747,0.0558,0.0151,0.0747,0.1,0.0
3,RandomBabbler,0.0,-1.6913,0.2935,0.1596,0.1574,0.1025,0.9126
4,RandomBabbler,-1.0,-1.3978,0.233,0.0197,0.1608,0.1077,0.7862
5,RandomBabbler,0.7,-2.1647,0.4339,0.1567,0.1793,0.098,1.2139
6,RandomBabbler,0.4,-1.0308,0.0874,0.0806,0.1702,0.0975,2.8756
7,RandomBabbler,0.0,-0.5434,0.0401,0.0637,0.1677,0.0976,3.3852
8,RandomBabbler,1.0,-0.5033,0.008,0.0597,0.1645,0.0975,4.4717
9,RandomBabbler,-0.7,0.5047,-0.0856,0.0582,0.1646,0.0979,3.7352
10,RandomBabbler,0.4,-0.2809,-0.0168,0.0385,0.1631,0.0979,4.4048
11,RandomBabbler,1.0,0.1023,0.0464,0.0157,0.1626,0.0979,4.7499
12,RandomBabbler,1.0,1.1486,-0.0931,0.0576,0.1545,0.0966,6.0808
13,RandomBabbler,1.0,2.0555,-0.3538,0.0906,0.1587,0.0924,5.881
14,RandomBabbler,1.0,2.7017,-0.6364,0.2459,0.1813,0.0899,11.8197
15,RandomBabbler,-0.7,3.0652,-0.7562,0.2886,0.1992,0.0857,16.7978
16,RandomBabbler,-0.7,1.609,-0.236,0.0988,0.1955,0.0858,18.0889
17,RandomBabbler,-0.4,0.673,-0.0344,0.0927,0.1938,0.0858,19.9514
18,RandomBabbler,-1.0,0.2386,0.0196,0.0414,0.1934,0.0858,20.6976
19,RandomBabbler,-1.0,-0.7418,-0.0694,0.0962,0.1892,0.0855,26.9083
20,RandomBabbler,-0.7,-1.8111,0.2579,0.0622,0.1855,0.0852,28.1333
21,RandomBabbler,-0.7,-2.2532,0.3334,0.0144,0.1814,0.0831,27.6569
22,RandomBabbler,0.4,-2.6197,0.5026,0.095,0.1827,0.0815,27.0262
23,RandomBabbler,-1.0,-1.7171,0.1742,0.0736,0.1784,0.0808,29.8699
24,RandomBabbler,0.7,-2.5429,0.5726,0.0687,0.1833,0.0818,31.9614
25,RandomBabbler,0.0,-1.2703,0.1624,0.1009,0.1819,0.0819,32.7442
26,RandomBabbler,-0.7,-1.1079,0.1229,0.101,0.1806,0.082,33.8562
27,RandomBabbler,0.4,-1.685,0.1903,0.0714,0.1777,0.0816,35.9921
28,RandomBabbler,0.7,-1.0947,0.0244,0.0967,0.1751,0.0814,40.6098
29,RandomBabbler,-1.0,-0.3703,-0.0079,0.0537,0.1747,0.0814,41.5932
30,RandomBabbler,0.4,-1.3782,0.1621,0.0861,0.1731,0.0814,42.7866
