step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,0.1085,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.2915,-0.0486,0.0165,-0.1667,-0.572,0.0
3,Epistemic,-1.0,-1.3401,0.16,0.8037,0.1064,0.0876,0.6986
4,Epistemic,-1.0,-2.1801,0.3672,0.1843,0.1508,0.0785,1.6732
5,Epistemic,-1.0,-2.813,0.5891,0.1972,0.1827,0.0756,4.0868
6,Epistemic,-1.0,-3.2239,0.8028,0.1972,0.2103,0.0765,9.3932
7,Epistemic,-1.0,-3.4211,0.9104,0.176,0.2281,0.077,14.3223
8,Epistemic,-1.0,-3.5107,0.9811,0.1486,0.2411,0.0778,19.0396
9,Epistemic,-1.0,-3.5297,1.016,0.1189,0.2505,0.0787,23.0644
10,Epistemic,-1.0,-3.5137,1.0383,0.0918,0.2581,0.0798,26.5121
11,Epistemic,-1.0,-3.4753,0.9762,0.0666,0.2613,0.0799,27.5658
12,Epistemic,-1.0,-3.4991,1.0337,0.0644,0.2655,0.0806,29.5409
13,Epistemic,-1.0,-3.4654,0.9817,0.0471,0.2675,0.0807,30.1773
14,Epistemic,-1.0,-3.4838,0.9742,0.0475,0.2687,0.0806,30.4963
15,Epistemic,-1.0,-3.5096,0.9724,0.0504,0.2695,0.0805,30.574
16,Epistemic,-1.0,-3.5372,0.9503,0.0538,0.2694,0.0801,29.9935
17,Epistemic,-1.0,-3.5869,0.9481,0.0638,0.269,0.0795,28.8324
18,Epistemic,-1.0,-3.6388,1.0528,0.0738,0.2705,0.0795,29.8452
19,Epistemic,-1.0,-3.586,1.0178,0.0521,0.2715,0.0795,30.2657
20,Epistemic,-1.0,-3.5681,1.0319,0.0431,0.2726,0.0796,30.9397
21,Epistemic,-1.0,-3.5363,1.0142,0.0312,0.2734,0.0797,31.3463
22,Epistemic,-1.0,-3.5221,0.9272,0.0253,0.2729,0.0794,30.8846
23,Epistemic,-1.0,-3.5949,0.9958,0.045,0.2731,0.0792,30.7553
24,Epistemic,-1.0,-3.5991,0.978,0.0437,0.273,0.079,30.3143
25,Epistemic,-1.0,-3.6211,1.0957,0.0478,0.2745,0.0793,31.8267
26,Epistemic,-1.0,-3.5255,0.9856,0.0177,0.2747,0.0793,31.888
27,Epistemic,-1.0,-3.5398,1.0054,0.021,0.2751,0.0793,32.0679
28,Epistemic,-1.0,-3.5345,0.9515,0.0185,0.2749,0.0792,31.8536
29,Epistemic,-1.0,-3.5829,0.9609,0.0317,0.2746,0.079,31.37
30,Epistemic,-1.0,-3.622,1.0174,0.0418,0.2749,0.0789,31.3996
1,RandomBabbler,0.0,0.0,0.1085,0.0,0.08,0.08,0.0
2,RandomBabbler,0.7,0.1085,-0.0563,0.0077,0.5193,4.7859,0.0
3,RandomBabbler,0.0,0.7522,-0.029,2.317,0.0483,0.0532,-0.088
4,RandomBabbler,0.0,0.7232,-0.0549,0.0071,0.0614,0.0771,-0.1251
5,RandomBabbler,-0.7,0.6683,-0.0797,0.0066,0.0781,0.1026,-0.2195
6,RandomBabbler,0.0,-0.1114,-0.0277,0.0074,0.0755,0.1021,-0.1244
7,RandomBabbler,-0.4,-0.1391,-0.0244,0.0085,0.0724,0.1015,-0.0228
8,RandomBabbler,-1.0,-0.5635,0.0204,0.0086,0.0664,0.0973,0.0218
9,RandomBabbler,0.7,-1.5431,0.2098,0.1292,0.1051,0.0894,1.031
10,RandomBabbler,1.0,-0.6333,0.0827,0.0307,0.1073,0.0922,0.6493
11,RandomBabbler,0.0,0.4495,-0.0062,0.0296,0.1034,0.0918,0.9575
12,RandomBabbler,-0.4,0.4433,0.0385,0.0278,0.0961,0.0902,1.6894
13,RandomBabbler,1.0,0.0818,0.0204,0.0073,0.0956,0.0901,1.7606
14,RandomBabbler,-0.4,1.1021,-0.0939,0.0041,0.0936,0.0879,1.742
15,RandomBabbler,-0.4,0.6082,-0.0426,0.0244,0.0923,0.0883,1.7607
16,RandomBabbler,0.0,0.1656,-0.0528,0.0129,0.0932,0.0885,1.5332
17,RandomBabbler,0.0,0.1128,-0.0822,0.0094,0.0944,0.0886,1.2446
18,RandomBabbler,-0.4,0.0306,-0.0065,0.0028,0.0945,0.0886,1.2389
19,RandomBabbler,-1.0,-0.3759,0.0004,0.023,0.0925,0.0884,1.4509
20,RandomBabbler,0.4,-1.3755,0.1647,0.0399,0.0984,0.088,1.6694
21,RandomBabbler,-0.4,-0.8108,0.0664,0.022,0.0973,0.0884,1.6889
22,RandomBabbler,0.0,-1.1444,0.0395,0.0045,0.0896,0.0814,1.5701
23,RandomBabbler,-1.0,-1.1049,0.0596,0.0004,0.0859,0.0783,1.5627
24,RandomBabbler,0.7,-2.0453,0.2764,0.1517,0.0987,0.0718,2.8142
25,RandomBabbler,0.4,-1.069,0.1381,0.0234,0.1007,0.0737,2.4088
26,RandomBabbler,-0.7,-0.5309,0.0139,0.0327,0.0995,0.0736,2.708
27,RandomBabbler,-0.7,-1.217,0.1214,0.0121,0.0995,0.0741,2.6791
28,RandomBabbler,0.4,-1.7956,0.2101,0.0603,0.1021,0.0721,2.7164
29,RandomBabbler,0.7,-1.1855,0.0463,0.0196,0.0983,0.0706,3.1832
30,RandomBabbler,-0.7,-0.4392,-0.0167,0.0296,0.0972,0.0705,3.7112
