step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,-0.0317,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.4317,0.0574,0.0196,0.1331,0.3083,0.0
3,Epistemic,-1.0,-1.3742,0.1071,0.3993,0.0829,0.0592,-0.3322
4,Epistemic,-1.0,-2.2671,0.4243,0.1161,0.1572,0.0798,2.5342
5,Epistemic,-1.0,-2.8427,0.5967,0.1977,0.185,0.0757,4.5097
6,Epistemic,-1.0,-3.246,0.839,0.197,0.215,0.0778,11.0803
7,Epistemic,-1.0,-3.407,0.979,0.1708,0.2374,0.0804,18.7691
8,Epistemic,-1.0,-3.428,0.9533,0.1308,0.2471,0.0806,21.7183
9,Epistemic,-1.0,-3.4747,0.9889,0.1144,0.2545,0.0809,24.3993
10,Epistemic,-1.0,-3.4858,0.9755,0.0959,0.2587,0.0808,25.6912
11,Epistemic,-1.0,-3.5103,0.9745,0.0873,0.2614,0.0805,26.372
12,Epistemic,-1.0,-3.5358,1.1294,0.0821,0.2688,0.0819,31.1265
13,Epistemic,-1.0,-3.4063,0.8658,0.035,0.2673,0.0811,30.2904
14,Epistemic,-1.0,-3.5406,1.0101,0.0706,0.2691,0.0811,31.0141
15,Epistemic,-1.0,-3.5304,1.09,0.0602,0.2728,0.0817,33.4273
16,Epistemic,-1.0,-3.4404,0.8938,0.0287,0.2717,0.0812,32.8091
17,Epistemic,-1.0,-3.5466,0.9733,0.0575,0.2719,0.0809,32.407
18,Epistemic,-1.0,-3.5733,1.0066,0.0607,0.2727,0.0807,32.5089
19,Epistemic,-1.0,-3.5667,0.971,0.054,0.2726,0.0804,31.9401
20,Epistemic,-1.0,-3.5956,1.0274,0.0587,0.2735,0.0803,32.33
21,Epistemic,-1.0,-3.5682,1.0311,0.0465,0.2744,0.0803,32.889
22,Epistemic,-1.0,-3.5371,0.9975,0.0345,0.2749,0.0803,33.0131
23,Epistemic,-1.0,-3.5396,0.9487,0.0333,0.2745,0.0801,32.4999
24,Epistemic,-1.0,-3.591,1.0858,0.0466,0.2759,0.0803,33.8589
25,Epistemic,-1.0,-3.5051,0.9314,0.0192,0.2755,0.0801,33.5286
26,Epistemic,-1.0,-3.5737,0.9838,0.0382,0.2755,0.0799,33.2438
27,Epistemic,-1.0,-3.5899,1.0337,0.041,0.276,0.0799,33.6258
28,Epistemic,-1.0,-3.5561,0.9749,0.0293,0.2759,0.0798,33.3876
29,Epistemic,-1.0,-3.5813,1.0859,0.0353,0.2771,0.08,34.4737
30,Epistemic,-1.0,-3.4954,0.8839,0.0092,0.2761,0.0797,34.1592
1,RandomBabbler,-1.0,0.0,-0.0317,0.0,0.08,0.08,0.0
2,RandomBabbler,-0.4,-1.0317,0.1277,0.0026,0.1238,0.12,0.0
3,RandomBabbler,0.0,-1.304,0.0921,0.0426,0.0911,0.0727,-0.3352
4,RandomBabbler,-0.4,-1.2119,0.1307,0.0036,0.0969,0.0784,-0.3559
5,RandomBabbler,0.0,-1.4812,0.1258,0.0284,0.0928,0.0692,-0.5542
6,RandomBabbler,0.0,-1.3555,0.1431,0.0013,0.0956,0.0712,-0.5469
7,RandomBabbler,0.0,-1.2124,0.1679,0.0113,0.1021,0.0768,-0.7842
8,RandomBabbler,-0.7,-1.0444,0.1005,0.0228,0.1015,0.0779,-0.8294
9,RandomBabbler,-0.4,-1.6439,0.2392,0.0435,0.1103,0.081,-0.11
10,RandomBabbler,0.4,-1.8047,0.264,0.0646,0.1173,0.081,0.5697
11,RandomBabbler,-0.7,-1.1407,0.0929,0.0284,0.1147,0.0806,0.8508
12,RandomBabbler,-0.7,-1.7479,0.3737,0.0456,0.129,0.0889,3.3792
13,RandomBabbler,1.0,-2.0742,0.2817,0.1149,0.1302,0.0823,1.957
14,RandomBabbler,-1.0,-0.7925,0.0575,0.0515,0.1288,0.0823,2.3568
15,RandomBabbler,-1.0,-1.735,0.3337,0.0243,0.1354,0.0858,3.2392
16,RandomBabbler,-1.0,-2.4012,0.4082,0.1695,0.1411,0.0812,3.3607
17,RandomBabbler,0.4,-2.993,0.6837,0.3048,0.159,0.0791,14.0176
18,RandomBabbler,-1.0,-1.9093,0.2767,0.0152,0.1579,0.0789,14.1246
19,RandomBabbler,0.7,-2.6326,0.5078,0.1311,0.1623,0.0778,15.3614
20,RandomBabbler,0.4,-1.4248,0.1555,0.0734,0.1604,0.0778,16.4672
21,RandomBabbler,-0.4,-0.8693,0.073,0.0807,0.1594,0.0778,17.2983
22,RandomBabbler,0.0,-1.1963,0.1111,0.0793,0.1578,0.0778,18.5355
23,RandomBabbler,0.4,-1.0852,0.0406,0.0796,0.1554,0.0776,21.3641
24,RandomBabbler,0.7,-0.6446,0.0875,0.0679,0.1553,0.0777,20.7869
25,RandomBabbler,-0.4,0.1428,-0.0531,0.0206,0.1554,0.0777,20.4475
26,RandomBabbler,-1.0,-0.3102,-0.0302,0.0407,0.155,0.0777,21.3903
27,RandomBabbler,-0.4,-1.3404,0.1465,0.0681,0.1536,0.0777,22.1083
28,RandomBabbler,0.7,-1.5939,0.1664,0.0474,0.1517,0.0774,23.1029
29,RandomBabbler,-1.0,-0.7275,0.1022,0.0694,0.1516,0.0775,22.3676
30,RandomBabbler,-0.7,-1.6253,0.1178,0.0416,0.1485,0.0767,24.0692
