step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,-0.0369,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.4369,0.059,0.0197,0.1351,0.3091,0.0
3,Epistemic,-1.0,-1.3779,0.1047,0.4008,0.0814,0.0577,-0.3444
4,Epistemic,-1.0,-2.2732,0.4405,0.1131,0.1614,0.0819,2.9277
5,Epistemic,-1.0,-2.8327,0.5802,0.2002,0.1842,0.0754,3.9812
6,Epistemic,-1.0,-3.2524,0.8857,0.1984,0.2203,0.0799,12.9722
7,Epistemic,-1.0,-3.3668,0.9029,0.1642,0.2349,0.0798,16.5892
8,Epistemic,-1.0,-3.4639,1.0308,0.1441,0.2502,0.0816,22.9769
9,Epistemic,-1.0,-3.4331,0.9852,0.1034,0.2573,0.0821,25.4736
10,Epistemic,-1.0,-3.4479,0.9537,0.0887,0.2604,0.0817,26.139
11,Epistemic,-1.0,-3.4942,0.9626,0.0879,0.2626,0.0813,26.4061
12,Epistemic,-1.0,-3.5315,1.0215,0.0861,0.266,0.0814,27.9426
13,Epistemic,-1.0,-3.51,0.9838,0.0686,0.2676,0.0812,28.3296
14,Epistemic,-1.0,-3.5262,0.9517,0.0656,0.2678,0.0806,27.7531
15,Epistemic,-1.0,-3.5745,1.0527,0.073,0.2704,0.0808,29.3095
16,Epistemic,-1.0,-3.5218,0.871,0.0504,0.2684,0.0799,27.369
17,Epistemic,-1.0,-3.6508,1.064,0.0845,0.2703,0.0799,28.6633
18,Epistemic,-1.0,-3.5869,1.1351,0.0578,0.2737,0.0805,31.6047
19,Epistemic,-1.0,-3.4518,0.9795,0.0148,0.2744,0.0807,31.7551
20,Epistemic,-1.0,-3.4723,0.8952,0.0197,0.2734,0.0802,31.2595
21,Epistemic,-1.0,-3.5771,1.0781,0.049,0.2751,0.0805,32.6551
22,Epistemic,-1.0,-3.499,0.9889,0.0232,0.2755,0.0805,32.785
23,Epistemic,-1.0,-3.5101,0.9564,0.0252,0.2753,0.0804,32.5639
24,Epistemic,-1.0,-3.5538,0.9804,0.0365,0.2754,0.0802,32.3378
25,Epistemic,-1.0,-3.5734,1.0284,0.0404,0.276,0.0802,32.7107
26,Epistemic,-1.0,-3.5449,1.0478,0.03,0.2769,0.0804,33.3359
27,Epistemic,-1.0,-3.4971,0.9738,0.0149,0.2769,0.0804,33.3252
28,Epistemic,-1.0,-3.5233,1.081,0.0218,0.2782,0.0806,34.1145
29,Epistemic,-1.0,-3.4423,0.9177,0.002,0.2777,0.0805,34.1442
30,Epistemic,-1.0,-3.5246,1.0367,0.0214,0.2784,0.0806,34.5318
1,RandomBabbler,-0.4,0.0,-0.0369,0.0,0.08,0.08,0.0
2,RandomBabbler,0.7,-0.4369,0.059,0.0197,0.1351,0.3091,0.0
3,RandomBabbler,0.0,0.3221,-0.0555,0.0114,0.1481,0.3606,-0.0659
4,RandomBabbler,0.4,0.2666,0.0214,0.0139,0.1037,0.2965,0.1321
5,RandomBabbler,-0.4,0.6881,-0.0996,0.069,0.1268,0.2266,0.1384
6,RandomBabbler,0.7,0.1885,0.0366,0.0159,0.1138,0.2209,0.4439
7,RandomBabbler,0.4,0.9251,-0.0724,0.0838,0.0962,0.1221,-0.1948
8,RandomBabbler,-0.7,1.2527,-0.0547,0.071,0.0712,0.0602,-0.8298
9,RandomBabbler,0.7,0.498,0.0225,0.0205,0.0631,0.0576,-0.4802
10,RandomBabbler,0.7,1.2205,-0.1165,0.0088,0.0727,0.0655,-0.3765
11,RandomBabbler,0.7,1.804,-0.2745,0.0822,0.1038,0.0777,1.8582
12,RandomBabbler,-1.0,2.2296,-0.3739,0.1548,0.1278,0.0762,4.379
13,RandomBabbler,-0.4,0.8557,-0.0604,0.0535,0.1248,0.0763,4.8295
14,RandomBabbler,0.0,0.3953,-0.0555,0.0374,0.125,0.0765,4.4568
15,RandomBabbler,-1.0,0.3398,0.0213,0.0336,0.1234,0.0764,5.0816
16,RandomBabbler,0.0,-0.6389,-0.0886,0.0477,0.1161,0.0752,7.6772
17,RandomBabbler,0.4,-0.7275,0.04,0.0447,0.114,0.0752,8.0592
18,RandomBabbler,1.0,-0.2875,0.1124,0.0266,0.1155,0.0754,7.0653
19,RandomBabbler,0.0,0.8249,-0.0282,0.044,0.112,0.075,7.8222
20,RandomBabbler,0.4,0.7967,-0.1202,0.0416,0.1135,0.0761,6.9635
21,RandomBabbler,0.4,1.0766,-0.0383,0.034,0.1084,0.0748,7.797
22,RandomBabbler,0.0,1.4383,-0.156,0.0012,0.1084,0.0749,7.7967
23,RandomBabbler,0.4,1.2822,-0.1608,0.016,0.1097,0.0761,7.6142
24,RandomBabbler,-0.7,1.5214,-0.2151,0.0091,0.1128,0.0777,7.7568
25,RandomBabbler,0.4,0.6063,-0.0225,0.0399,0.1117,0.0776,8.1647
26,RandomBabbler,0.0,0.9838,-0.0349,0.0347,0.1087,0.077,8.9265
27,RandomBabbler,-0.7,0.9488,-0.0766,0.0339,0.1078,0.0771,9.0526
28,RandomBabbler,-1.0,0.1723,0.0856,0.0163,0.1071,0.077,9.6751
29,RandomBabbler,0.4,-0.7422,0.0138,0.037,0.1053,0.0768,10.3563
30,RandomBabbler,-0.4,-0.3283,0.0515,0.0263,0.1055,0.0768,10.0401
