step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
11,A_to_B_zero_shot,0.71,-0.85,4.2,-16.3458,-1.192,-16.901,-1.7471,0.7904,1.0,1.0
12,A_to_B_zero_shot,0.71,-0.85,4.2,-17.6151,-0.7142,-18.9646,-2.0637,1.9064,1.0,1.0
13,A_to_B_zero_shot,0.71,-0.85,4.2,-20.0801,-1.1154,-21.1305,-2.1658,1.4807,1.0,1.0
14,A_to_B_zero_shot,0.71,-0.85,4.2,-22.5687,-1.4382,-23.136,-2.0055,0.8009,1.0,1.0
15,A_to_B_zero_shot,0.71,-0.85,4.2,-24.0654,-0.9294,-25.3954,-2.2594,1.8769,1.0,1.0
16,A_to_B_zero_shot,0.71,-0.85,4.2,-26.8968,-1.5014,-27.4864,-2.091,0.8354,1.0,1.0
17,A_to_B_zero_shot,0.71,-0.85,4.2,-28.6483,-1.1619,-29.6492,-2.1628,1.4206,1.0,1.0
18,A_to_B_zero_shot,0.71,-0.85,4.2,-30.7845,-1.1353,-31.9528,-2.3036,1.6517,1.0,1.0
19,A_to_B_zero_shot,0.71,-0.85,4.2,-33.2575,-1.3047,-34.3108,-2.358,1.4823,1.0,1.0
20,A_to_B_zero_shot,0.71,-0.85,4.2,-35.6496,-1.3388,-36.7212,-2.4104,1.5148,1.0,1.0
21,A_to_B_zero_shot,0.71,-0.85,4.2,-38.0229,-1.3016,-39.2522,-2.5309,1.7412,1.0,1.0
22,A_to_B_zero_shot,0.71,-0.85,4.2,-40.9514,-1.6992,-41.5771,-2.325,0.8857,1.0,1.0
23,A_to_B_zero_shot,0.71,-0.85,4.2,-43.1695,-1.5924,-43.6815,-2.1043,0.723,1.0,1.0
24,A_to_B_zero_shot,0.71,-0.85,4.2,-45.0155,-1.334,-45.6933,-2.0119,0.9639,1.0,1.0
25,A_to_B_zero_shot,0.71,-0.85,4.2,-46.8265,-1.1332,-47.759,-2.0657,1.3298,1.0,1.0
26,A_to_B_zero_shot,0.71,-0.85,4.2,-48.8482,-1.0891,-49.9544,-2.1953,1.5649,1.0,1.0
27,A_to_B_zero_shot,0.71,-0.85,4.2,-51.4172,-1.4629,-51.9821,-2.0277,0.8008,1.0,1.0
28,A_to_B_zero_shot,0.71,-0.85,4.2,-53.2808,-1.2987,-53.9074,-1.9253,0.8944,1.0,1.0
29,A_to_B_zero_shot,0.71,-0.85,4.2,-54.8647,-0.9573,-56.0115,-2.104,1.6285,1.0,1.0
30,A_to_B_zero_shot,0.71,-0.85,4.2,-57.1488,-1.1373,-58.2195,-2.2081,1.5159,1.0,1.0
