step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.7622,0.7622,0.7622,0.7622,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,1.9691,1.2069,1.9691,1.2069,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,3.4563,1.4873,3.4563,1.4873,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,5.513,2.0567,5.513,2.0567,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,7.9065,2.3935,7.9065,2.3935,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,10.7785,2.8721,10.7785,2.8721,0.005,1.0,1.0
7,A_to_A,0.88,0.85,9.8,14.0411,3.2626,14.0411,3.2626,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,17.6271,3.586,17.6271,3.586,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,21.2897,3.6627,21.2897,3.6627,0.005,1.0,1.0
10,A_to_A,0.88,0.85,9.8,25.0507,3.761,25.0507,3.761,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,29.1268,4.0761,29.1268,4.0761,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,33.2814,4.1546,33.2814,4.1546,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,37.402,4.1206,37.402,4.1206,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,41.6424,4.2404,41.6424,4.2404,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,45.8388,4.1964,45.8388,4.1964,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,50.0803,4.2416,50.0803,4.2416,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,54.6422,4.5619,54.6422,4.5619,0.005,1.0,1.0
18,A_to_A,0.88,0.85,9.8,59.3603,4.718,59.3603,4.718,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,64.0903,4.73,64.0903,4.73,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,68.8964,4.8061,68.8964,4.8061,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,73.8248,4.9284,73.8248,4.9284,0.005,1.0,1.0
22,A_to_A,0.88,0.85,9.8,79.0017,5.1769,79.0017,5.1769,0.005,1.0,1.0
23,A_to_A,0.88,0.85,9.8,83.9945,4.9928,83.9945,4.9928,0.005,1.0,1.0
24,A_to_A,0.88,0.85,9.8,88.9424,4.948,88.9424,4.948,0.005,1.0,1.0
25,A_to_A,0.88,0.85,9.8,93.972,5.0296,93.972,5.0296,0.005,1.0,1.0
26,A_to_A,0.88,0.85,9.8,99.0463,5.0743,99.0463,5.0743,0.005,1.0,1.0
27,A_to_A,0.88,0.85,9.8,103.9864,4.94,103.9864,4.94,0.005,1.0,1.0
28,A_to_A,0.88,0.85,9.8,108.842,4.8556,108.842,4.8556,0.005,1.0,1.0
29,A_to_A,0.88,0.85,9.8,113.7455,4.9035,113.7455,4.9035,0.005,1.0,1.0
30,A_to_A,0.88,0.85,9.8,118.8535,5.108,118.8535,5.108,0.005,1.0,1.0
31,A_to_A,0.88,0.85,9.8,124.0702,5.2168,124.0702,5.2168,0.005,1.0,1.0
32,A_to_A,0.88,0.85,9.8,129.0932,5.023,129.0932,5.023,0.005,1.0,1.0
33,A_to_A,0.88,0.85,9.8,134.0799,4.9867,134.0799,4.9867,0.005,1.0,1.0
34,A_to_A,0.88,0.85,9.8,139.0233,4.9434,139.0233,4.9434,0.005,1.0,1.0
35,A_to_A,0.88,0.85,9.8,143.959,4.9356,143.959,4.9356,0.005,1.0,1.0
36,A_to_A,0.88,0.85,9.8,149.1522,5.1933,149.1522,5.1933,0.005,1.0,1.0
37,A_to_A,0.88,0.85,9.8,154.1702,5.018,154.1702,5.018,0.005,1.0,1.0
