step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.4821,0.4821,0.4821,0.4821,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,1.4398,0.9577,1.4398,0.9577,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,2.9181,1.4783,2.9181,1.4783,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,4.9792,2.0611,4.9792,2.0611,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,7.2578,2.2787,7.2578,2.2787,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,9.872,2.6142,9.872,2.6142,0.005,1.0,1.0
7,A_to_A,0.88,0.85,9.8,12.9214,3.0494,12.9214,3.0494,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,16.3366,3.4151,16.3366,3.4151,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,19.8641,3.5276,19.8641,3.5276,0.005,1.0,1.0
10,A_to_A,0.88,0.85,9.8,23.4064,3.5422,23.4064,3.5422,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,26.9594,3.553,26.9594,3.553,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,30.673,3.7136,30.673,3.7136,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,34.4581,3.7851,34.4581,3.7851,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,38.3081,3.8501,38.3081,3.8501,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,42.3073,3.9992,42.3073,3.9992,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,46.3497,4.0424,46.3497,4.0424,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,50.425,4.0753,50.425,4.0753,0.005,1.0,1.0
18,A_to_A,0.88,0.85,9.8,54.4453,4.0204,54.4453,4.0204,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,58.7643,4.3189,58.7643,4.3189,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,63.0689,4.3046,63.0689,4.3046,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,67.7038,4.6349,67.7038,4.6349,0.005,1.0,1.0
22,A_to_A,0.88,0.85,9.8,72.3489,4.6451,72.3489,4.6451,0.005,1.0,1.0
23,A_to_A,0.88,0.85,9.8,77.1683,4.8193,77.1683,4.8193,0.005,1.0,1.0
24,A_to_A,0.88,0.85,9.8,82.0137,4.8454,82.0137,4.8454,0.005,1.0,1.0
25,A_to_A,0.88,0.85,9.8,87.0554,5.0417,87.0554,5.0417,0.005,1.0,1.0
26,A_to_A,0.88,0.85,9.8,92.1669,5.1114,92.1669,5.1114,0.005,1.0,1.0
27,A_to_A,0.88,0.85,9.8,97.465,5.2981,97.465,5.2981,0.005,1.0,1.0
28,A_to_A,0.88,0.85,9.8,102.8027,5.3377,102.8027,5.3377,0.005,1.0,1.0
29,A_to_A,0.88,0.85,9.8,107.9395,5.1368,107.9395,5.1368,0.005,1.0,1.0
30,A_to_A,0.88,0.85,9.8,113.061,5.1215,113.061,5.1215,0.005,1.0,1.0
31,A_to_A,0.88,0.85,9.8,118.0664,5.0054,118.0664,5.0054,0.005,1.0,1.0
32,A_to_A,0.88,0.85,9.8,123.1829,5.1164,123.1829,5.1164,0.005,1.0,1.0
33,A_to_A,0.88,0.85,9.8,128.2696,5.0867,128.2696,5.0867,0.005,1.0,1.0
34,A_to_A,0.88,0.85,9.8,133.5018,5.2322,133.5018,5.2322,0.005,1.0,1.0
35,A_to_A,0.88,0.85,9.8,138.7525,5.2507,138.7525,5.2507,0.005,1.0,1.0
36,A_to_A,0.88,0.85,9.8,143.8106,5.0582,143.8106,5.0582,0.005,1.0,1.0
37,A_to_A,0.88,0.85,9.8,148.7053,4.8947,148.7053,4.8947,0.005,1.0,1.0
38,A_to_A,0.88,0.85,9.8,153.6897,4.9844,153.6897,4.9844,0.005,1.0,1.0
39,A_to_A,0.88,0.85,9.8,158.6683,4.9786,158.6683,4.9786,0.005,1.0,1.0
40,A_to_A,0.88,0.85,9.8,163.8918,5.2235,163.8918,5.2235,0.005,1.0,1.0
1,A_to_B_zero_shot,0.71,-0.85,4.2,0.7525,0.7525,-0.7525,-0.7525,2.1187,1.0,1.0
2,A_to_B_zero_shot,0.71,-0.85,4.2,-0.891,-0.1385,-1.8104,-1.0579,1.2978,1.0,1.0
3,A_to_B_zero_shot,0.71,-0.85,4.2,-2.098,-0.2876,-3.2049,-1.3945,1.5716,1.0,1.0
4,A_to_B_zero_shot,0.71,-0.85,4.2,-3.8119,-0.607,-4.8151,-1.6102,1.4168,1.0,1.0
5,A_to_B_zero_shot,0.71,-0.85,4.2,-5.6926,-0.8775,-6.4978,-1.6827,1.1267,1.0,1.0
6,A_to_B_zero_shot,0.71,-0.85,4.2,-7.5511,-1.0533,-8.1199,-1.6221,0.8007,1.0,1.0
7,A_to_B_zero_shot,0.71,-0.85,4.2,-8.7894,-0.6694,-10.0297,-1.9098,1.7586,1.0,1.0
8,A_to_B_zero_shot,0.71,-0.85,4.2,-10.9706,-0.9409,-12.1254,-2.0957,1.6237,1.0,1.0
9,A_to_B_zero_shot,0.71,-0.85,4.2,-13.2007,-1.0753,-14.3822,-2.2568,1.6645,1.0,1.0
10,A_to_B_zero_shot,0.71,-0.85,4.2,-15.7621,-1.3799,-16.5906,-2.2084,1.171,1.0,1.0
11,A_to_B_zero_shot,0.71,-0.85,4.2,-18.0851,-1.4946,-18.6074,-2.0168,0.7431,1.0,1.0
12,A_to_B_zero_shot,0.71,-0.85,4.2,-19.8723,-1.2649,-20.5493,-1.9419,0.9527,1.0,1.0
13,A_to_B_zero_shot,0.71,-0.85,4.2,-21.6186,-1.0693,-22.5675,-2.0182,1.3373,1.0,1.0
14,A_to_B_zero_shot,0.71,-0.85,4.2,-23.7715,-1.204,-24.5726,-2.005,1.1333,1.0,1.0
15,A_to_B_zero_shot,0.71,-0.85,4.2,-25.6831,-1.1106,-26.65,-2.0774,1.3624,1.0,1.0
16,A_to_B_zero_shot,0.71,-0.85,4.2,-27.8584,-1.2084,-28.7447,-2.0947,1.2485,1.0,1.0
17,A_to_B_zero_shot,0.71,-0.85,4.2,-30.1511,-1.4064,-30.6688,-1.9241,0.7325,1.0,1.0
18,A_to_B_zero_shot,0.71,-0.85,4.2,-31.6886,-1.0198,-32.7083,-2.0395,1.4452,1.0,1.0
19,A_to_B_zero_shot,0.71,-0.85,4.2,-33.7122,-1.0038,-34.9473,-2.239,1.7494,1.0,1.0
20,A_to_B_zero_shot,0.71,-0.85,4.2,-36.1456,-1.1983,-37.309,-2.3617,1.6367,1.0,1.0
21,A_to_B_zero_shot,0.71,-0.85,4.2,-38.8537,-1.5448,-39.5192,-2.2103,0.9453,1.0,1.0
22,A_to_B_zero_shot,0.71,-0.85,4.2,-41.0039,-1.4847,-41.5489,-2.0297,0.7645,1.0,1.0
23,A_to_B_zero_shot,0.71,-0.85,4.2,-42.9029,-1.354,-43.4221,-1.8732,0.7425,1.0,1.0
24,A_to_B_zero_shot,0.71,-0.85,4.2,-44.5394,-1.1173,-45.2831,-1.861,1.0525,1.0,1.0
25,A_to_B_zero_shot,0.71,-0.85,4.2,-46.4492,-1.1662,-47.0759,-1.7928,0.883,1.0,1.0
26,A_to_B_zero_shot,0.71,-0.85,4.2,-48.1991,-1.1232,-48.8034,-1.7275,0.8514,1.0,1.0
27,A_to_B_zero_shot,0.71,-0.85,4.2,-49.8307,-1.0273,-50.5227,-1.7193,0.9757,1.0,1.0
28,A_to_B_zero_shot,0.71,-0.85,4.2,-51.4948,-0.972,-52.2845,-1.7617,1.1163,1.0,1.0
29,A_to_B_zero_shot,0.71,-0.85,4.2,-53.1074,-0.8229,-54.2627,-1.9782,1.6297,1.0,1.0
30,A_to_B_zero_shot,0.71,-0.85,4.2,-55.3772,-1.1145,-56.2936,-2.0309,1.2972,1.0,1.0
31,A_to_B_zero_shot,0.71,-0.85,4.2,-57.6458,-1.3522,-58.1706,-1.877,0.7383,1.0,1.0
32,A_to_B_zero_shot,0.71,-0.85,4.2,-59.3174,-1.1468,-60.0082,-1.8376,0.9803,1.0,1.0
33,A_to_B_zero_shot,0.71,-0.85,4.2,-61.154,-1.1458,-61.7841,-1.7759,0.8959,1.0,1.0
34,A_to_B_zero_shot,0.71,-0.85,4.2,-62.833,-1.0489,-63.5589,-1.7748,1.023,1.0,1.0
35,A_to_B_zero_shot,0.71,-0.85,4.2,-64.4382,-0.8794,-65.5013,-1.9425,1.5039,1.0,1.0
36,A_to_B_zero_shot,0.71,-0.85,4.2,-66.7781,-1.2768,-67.3131,-1.8118,0.7556,1.0,1.0
37,A_to_B_zero_shot,0.71,-0.85,4.2,-68.4202,-1.1071,-69.0867,-1.7736,0.942,1.0,1.0
38,A_to_B_zero_shot,0.71,-0.85,4.2,-69.923,-0.8363,-71.0704,-1.9837,1.6198,1.0,1.0
39,A_to_B_zero_shot,0.71,-0.85,4.2,-72.1028,-1.0324,-73.192,-2.1217,1.537,1.0,1.0
40,A_to_B_zero_shot,0.71,-0.85,4.2,-74.2195,-1.0274,-75.538,-2.346,1.8638,1.0,1.0
1,A_to_C_zero_shot,0.12,0.51,15.7,0.7641,0.7641,0.4584,0.4584,0.4287,1.0,1.0
2,A_to_C_zero_shot,0.12,0.51,15.7,1.5625,1.104,0.9338,0.4754,0.8887,1.0,1.0
3,A_to_C_zero_shot,0.12,0.51,15.7,1.945,1.0112,1.3466,0.4127,0.8424,1.0,1.0
4,A_to_C_zero_shot,0.12,0.51,15.7,2.4029,1.0564,1.812,0.4654,0.8337,1.0,1.0
5,A_to_C_zero_shot,0.12,0.51,15.7,2.6715,0.8596,2.1378,0.3258,0.7508,1.0,1.0
6,A_to_C_zero_shot,0.12,0.51,15.7,3.2217,1.0838,2.6552,0.5174,0.8136,1.0,1.0
7,A_to_C_zero_shot,0.12,0.51,15.7,3.6657,1.0105,3.0504,0.3952,0.8729,1.0,1.0
8,A_to_C_zero_shot,0.12,0.51,15.7,4.2224,1.172,3.5923,0.5419,0.8877,1.0,1.0
9,A_to_C_zero_shot,0.12,0.51,15.7,4.8104,1.218,4.1021,0.5097,0.9984,1.0,1.0
10,A_to_C_zero_shot,0.12,0.51,15.7,4.9792,0.8772,4.4204,0.3183,0.7922,1.0,1.0
11,A_to_C_zero_shot,0.12,0.51,15.7,5.499,1.0786,4.9377,0.5173,0.8028,1.0,1.0
