step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.502,0.502,0.502,0.502,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,1.453,0.9509,1.453,0.9509,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,2.9228,1.4699,2.9228,1.4699,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,4.8361,1.9133,4.8361,1.9133,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,7.0572,2.2211,7.0572,2.2211,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,9.5746,2.5174,9.5746,2.5174,0.005,1.0,1.0
7,A_to_A,0.88,0.85,9.8,12.5018,2.9272,12.5018,2.9272,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,15.9039,3.4021,15.9039,3.4021,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,19.4224,3.5185,19.4224,3.5185,0.005,1.0,1.0
10,A_to_A,0.88,0.85,9.8,23.1883,3.7659,23.1883,3.7659,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,27.0131,3.8248,27.0131,3.8248,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,31.1592,4.146,31.1592,4.146,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,35.3245,4.1654,35.3245,4.1654,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,39.8297,4.5052,39.8297,4.5052,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,44.313,4.4832,44.313,4.4832,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,48.9354,4.6225,48.9354,4.6225,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,53.6521,4.7166,53.6521,4.7166,0.005,1.0,1.0
18,A_to_A,0.88,0.85,9.8,58.3566,4.7045,58.3566,4.7045,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,62.9703,4.6138,62.9703,4.6138,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,67.5172,4.5468,67.5172,4.5468,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,72.234,4.7169,72.234,4.7169,0.005,1.0,1.0
22,A_to_A,0.88,0.85,9.8,76.8978,4.6638,76.8978,4.6638,0.005,1.0,1.0
23,A_to_A,0.88,0.85,9.8,81.7185,4.8208,81.7185,4.8208,0.005,1.0,1.0
24,A_to_A,0.88,0.85,9.8,86.59,4.8714,86.59,4.8714,0.005,1.0,1.0
25,A_to_A,0.88,0.85,9.8,91.3448,4.7549,91.3448,4.7549,0.005,1.0,1.0
26,A_to_A,0.88,0.85,9.8,96.1811,4.8363,96.1811,4.8363,0.005,1.0,1.0
27,A_to_A,0.88,0.85,9.8,101.0064,4.8253,101.0064,4.8253,0.005,1.0,1.0
28,A_to_A,0.88,0.85,9.8,105.9093,4.9028,105.9093,4.9028,0.005,1.0,1.0
29,A_to_A,0.88,0.85,9.8,110.6865,4.7772,110.6865,4.7772,0.005,1.0,1.0
30,A_to_A,0.88,0.85,9.8,115.3489,4.6624,115.3489,4.6624,0.005,1.0,1.0
31,A_to_A,0.88,0.85,9.8,120.1524,4.8035,120.1524,4.8035,0.005,1.0,1.0
32,A_to_A,0.88,0.85,9.8,125.1913,5.039,125.1913,5.039,0.005,1.0,1.0
33,A_to_A,0.88,0.85,9.8,130.3183,5.1269,130.3183,5.1269,0.005,1.0,1.0
34,A_to_A,0.88,0.85,9.8,135.5446,5.2264,135.5446,5.2264,0.005,1.0,1.0
35,A_to_A,0.88,0.85,9.8,140.7927,5.2481,140.7927,5.2481,0.005,1.0,1.0
36,A_to_A,0.88,0.85,9.8,146.129,5.3362,146.129,5.3362,0.005,1.0,1.0
37,A_to_A,0.88,0.85,9.8,151.6257,5.4967,151.6257,5.4967,0.005,1.0,1.0
38,A_to_A,0.88,0.85,9.8,156.9648,5.3392,156.9648,5.3392,0.005,1.0,1.0
39,A_to_A,0.88,0.85,9.8,162.2652,5.3004,162.2652,5.3004,0.005,1.0,1.0
40,A_to_A,0.88,0.85,9.8,167.6528,5.3876,167.6528,5.3876,0.005,1.0,1.0
1,A_to_B_zero_shot,0.71,-0.85,4.2,0.486,0.486,-0.486,-0.486,1.3695,1.0,1.0
2,A_to_B_zero_shot,0.71,-0.85,4.2,-0.3606,0.1254,-1.3842,-0.8982,1.4558,1.0,1.0
3,A_to_B_zero_shot,0.71,-0.85,4.2,-1.696,-0.3118,-2.5004,-1.1163,1.1439,1.0,1.0
4,A_to_B_zero_shot,0.71,-0.85,4.2,-3.05,-0.5496,-3.7257,-1.2253,0.9553,1.0,1.0
5,A_to_B_zero_shot,0.71,-0.85,4.2,-4.1361,-0.4104,-5.2634,-1.5377,1.5961,1.0,1.0
6,A_to_B_zero_shot,0.71,-0.85,4.2,-5.8776,-0.6142,-7.0942,-1.8308,1.7228,1.0,1.0
7,A_to_B_zero_shot,0.71,-0.85,4.2,-8.0031,-0.9089,-9.0962,-2.002,1.5405,1.0,1.0
8,A_to_B_zero_shot,0.71,-0.85,4.2,-10.1955,-1.0993,-11.1801,-2.0839,1.395,1.0,1.0
9,A_to_B_zero_shot,0.71,-0.85,4.2,-12.3938,-1.2138,-13.2797,-2.0996,1.2596,1.0,1.0
10,A_to_B_zero_shot,0.71,-0.85,4.2,-14.3749,-1.0952,-15.5228,-2.2431,1.6284,1.0,1.0
11,A_to_B_zero_shot,0.71,-0.85,4.2,-16.8923,-1.3696,-17.7197,-2.197,1.1644,1.0,1.0
12,A_to_B_zero_shot,0.71,-0.85,4.2,-19.0274,-1.3077,-19.9051,-2.1854,1.2452,1.0,1.0
13,A_to_B_zero_shot,0.71,-0.85,4.2,-21.2268,-1.3217,-22.0583,-2.1532,1.1836,1.0,1.0
14,A_to_B_zero_shot,0.71,-0.85,4.2,-23.464,-1.4057,-24.0762,-2.0179,0.8582,1.0,1.0
15,A_to_B_zero_shot,0.71,-0.85,4.2,-25.3537,-1.2776,-26.007,-1.9309,0.9266,1.0,1.0
16,A_to_B_zero_shot,0.71,-0.85,4.2,-26.9708,-0.9638,-28.1133,-2.1063,1.6034,1.0,1.0
17,A_to_B_zero_shot,0.71,-0.85,4.2,-29.4156,-1.3023,-30.1599,-2.0466,1.0613,1.0,1.0
18,A_to_B_zero_shot,0.71,-0.85,4.2,-31.1407,-0.9807,-32.4333,-2.2734,1.8315,1.0,1.0
19,A_to_B_zero_shot,0.71,-0.85,4.2,-33.6865,-1.2532,-34.7949,-2.3615,1.5663,1.0,1.0
20,A_to_B_zero_shot,0.71,-0.85,4.2,-36.2255,-1.4306,-37.1191,-2.3243,1.2505,1.0,1.0
21,A_to_B_zero_shot,0.71,-0.85,4.2,-38.3442,-1.2251,-39.5896,-2.4705,1.7612,1.0,1.0
22,A_to_B_zero_shot,0.71,-0.85,4.2,-40.9819,-1.3923,-42.1255,-2.5358,1.6192,1.0,1.0
23,A_to_B_zero_shot,0.71,-0.85,4.2,-43.6351,-1.5096,-44.6478,-2.5224,1.433,1.0,1.0
24,A_to_B_zero_shot,0.71,-0.85,4.2,-46.315,-1.6672,-46.9912,-2.3434,0.9538,1.0,1.0
25,A_to_B_zero_shot,0.71,-0.85,4.2,-48.3789,-1.3876,-49.3297,-2.3384,1.3487,1.0,1.0
26,A_to_B_zero_shot,0.71,-0.85,4.2,-50.7062,-1.3765,-51.6712,-2.3415,1.3665,1.0,1.0
27,A_to_B_zero_shot,0.71,-0.85,4.2,-52.9086,-1.2374,-54.1568,-2.4856,1.7643,1.0,1.0
28,A_to_B_zero_shot,0.71,-0.85,4.2,-55.7458,-1.589,-56.52,-2.3632,1.0899,1.0,1.0
29,A_to_B_zero_shot,0.71,-0.85,4.2,-57.9566,-1.4366,-58.8408,-2.3208,1.2496,1.0,1.0
30,A_to_B_zero_shot,0.71,-0.85,4.2,-60.4534,-1.6126,-60.9183,-2.0775,0.6409,1.0,1.0
31,A_to_B_zero_shot,0.71,-0.85,4.2,-61.9281,-1.0098,-63.2116,-2.2934,1.8157,1.0,1.0
32,A_to_B_zero_shot,0.71,-0.85,4.2,-64.6958,-1.4842,-65.3739,-2.1622,0.9574,1.0,1.0
33,A_to_B_zero_shot,0.71,-0.85,4.2,-66.7354,-1.3615,-67.4503,-2.0764,1.0117,1.0,1.0
34,A_to_B_zero_shot,0.71,-0.85,4.2,-68.7946,-1.3443,-69.4075,-1.9572,0.8697,1.0,1.0
35,A_to_B_zero_shot,0.71,-0.85,4.2,-70.4176,-1.0101,-71.5094,-2.1019,1.5418,1.0,1.0
36,A_to_B_zero_shot,0.71,-0.85,4.2,-72.5756,-1.0662,-73.7851,-2.2758,1.7115,1.0,1.0
37,A_to_B_zero_shot,0.71,-0.85,4.2,-75.0079,-1.2227,-76.1809,-2.3957,1.6583,1.0,1.0
38,A_to_B_zero_shot,0.71,-0.85,4.2,-77.5344,-1.3536,-78.6365,-2.4557,1.568,1.0,1.0
39,A_to_B_zero_shot,0.71,-0.85,4.2,-80.1472,-1.5106,-81.0304,-2.3939,1.2558,1.0,1.0
40,A_to_B_zero_shot,0.71,-0.85,4.2,-82.3403,-1.3099,-83.5268,-2.4964,1.682,1.0,1.0
1,A_to_C_zero_shot,0.12,0.51,15.7,0.8019,0.8019,0.4812,0.4812,0.4565,1.0,1.0
2,A_to_C_zero_shot,0.12,0.51,15.7,1.7444,1.2632,1.0428,0.5616,0.9913,1.0,1.0
3,A_to_C_zero_shot,0.12,0.51,15.7,2.0017,0.959,1.389,0.3462,0.8624,1.0,1.0
4,A_to_C_zero_shot,0.12,0.51,15.7,2.3902,1.0012,1.8485,0.4595,0.7709,1.0,1.0
5,A_to_C_zero_shot,0.12,0.51,15.7,2.9029,1.0544,2.2937,0.4452,0.8688,1.0,1.0
6,A_to_C_zero_shot,0.12,0.51,15.7,3.4755,1.1819,2.8212,0.5275,0.9207,1.0,1.0
7,A_to_C_zero_shot,0.12,0.51,15.7,3.9979,1.1768,3.312,0.4909,0.9691,1.0,1.0
8,A_to_C_zero_shot,0.12,0.51,15.7,4.4439,1.1319,3.7909,0.4789,0.9238,1.0,1.0
9,A_to_C_zero_shot,0.12,0.51,15.7,5.0349,1.244,4.3419,0.551,0.9862,1.0,1.0
10,A_to_C_zero_shot,0.12,0.51,15.7,5.2593,0.9174,4.6675,0.3256,0.8525,1.0,1.0
11,A_to_C_zero_shot,0.12,0.51,15.7,5.5478,0.8803,5.0629,0.3953,0.6859,1.0,1.0
12,A_to_C_zero_shot,0.12,0.51,15.7,6.0811,1.0183,5.5125,0.4497,0.7962,1.0,1.0
13,A_to_C_zero_shot,0.12,0.51,15.7,6.4524,0.9399,5.893,0.3805,0.7912,1.0,1.0
14,A_to_C_zero_shot,0.12,0.51,15.7,6.927,1.034,6.3581,0.4651,0.8072,1.0,1.0
15,A_to_C_zero_shot,0.12,0.51,15.7,7.2002,0.8421,6.6736,0.3155,0.7502,1.0,1.0
16,A_to_C_zero_shot,0.12,0.51,15.7,7.566,0.8923,7.0803,0.4067,0.6926,1.0,1.0
17,A_to_C_zero_shot,0.12,0.51,15.7,7.8705,0.7902,7.3885,0.3082,0.6715,1.0,1.0
18,A_to_C_zero_shot,0.12,0.51,15.7,8.3022,0.9137,7.811,0.4225,0.6999,1.0,1.0
19,A_to_C_zero_shot,0.12,0.51,15.7,8.7219,0.9109,8.1851,0.3742,0.7629,1.0,1.0
20,A_to_C_zero_shot,0.12,0.51,15.7,9.0424,0.8573,8.5468,0.3617,0.7053,1.0,1.0
21,A_to_C_zero_shot,0.12,0.51,15.7,9.407,0.8601,8.9153,0.3685,0.7016,1.0,1.0
22,A_to_C_zero_shot,0.12,0.51,15.7,10.0019,1.0865,9.4169,0.5016,0.8298,1.0,1.0
23,A_to_C_zero_shot,0.12,0.51,15.7,10.4986,1.0816,9.8613,0.4443,0.8981,1.0,1.0
24,A_to_C_zero_shot,0.12,0.51,15.7,11.099,1.2378,10.4226,0.5614,0.9539,1.0,1.0
25,A_to_C_zero_shot,0.12,0.51,15.7,11.4635,1.0409,10.8181,0.3955,0.9135,1.0,1.0
