step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.7277,0.7277,0.7277,0.7277,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,2.2174,1.4897,2.2174,1.4897,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,4.0358,1.8184,4.0358,1.8184,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,6.3831,2.3472,6.3831,2.3472,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,8.938,2.5549,8.938,2.5549,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,11.9368,2.9988,11.9368,2.9988,0.005,1.0,1.0
7,A_to_A,0.88,0.85,9.8,15.1883,3.2515,15.1883,3.2515,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,18.5238,3.3355,18.5238,3.3355,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,22.1037,3.5799,22.1037,3.5799,0.005,1.0,1.0
10,A_to_A,0.88,0.85,9.8,25.8678,3.7641,25.8678,3.7641,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,29.7347,3.8669,29.7347,3.8669,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,33.8858,4.1511,33.8858,4.1511,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,38.3221,4.4363,38.3221,4.4363,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,42.7809,4.4588,42.7809,4.4588,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,47.36,4.5791,47.36,4.5791,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,52.2075,4.8476,52.2075,4.8476,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,57.0328,4.8252,57.0328,4.8252,0.005,1.0,1.0
18,A_to_A,0.88,0.85,9.8,61.7451,4.7124,61.7451,4.7124,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,66.5997,4.8546,66.5997,4.8546,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,71.7183,5.1186,71.7183,5.1186,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,77.0131,5.2948,77.0131,5.2948,0.005,1.0,1.0
22,A_to_A,0.88,0.85,9.8,82.4905,5.4774,82.4905,5.4774,0.005,1.0,1.0
23,A_to_A,0.88,0.85,9.8,87.7754,5.2849,87.7754,5.2849,0.005,1.0,1.0
24,A_to_A,0.88,0.85,9.8,92.9119,5.1365,92.9119,5.1365,0.005,1.0,1.0
25,A_to_A,0.88,0.85,9.8,98.0608,5.1489,98.0608,5.1489,0.005,1.0,1.0
26,A_to_A,0.88,0.85,9.8,103.0727,5.0119,103.0727,5.0119,0.005,1.0,1.0
27,A_to_A,0.88,0.85,9.8,108.123,5.0503,108.123,5.0503,0.005,1.0,1.0
28,A_to_A,0.88,0.85,9.8,113.2183,5.0954,113.2183,5.0954,0.005,1.0,1.0
29,A_to_A,0.88,0.85,9.8,118.2304,5.012,118.2304,5.012,0.005,1.0,1.0
30,A_to_A,0.88,0.85,9.8,123.3396,5.1093,123.3396,5.1093,0.005,1.0,1.0
31,A_to_A,0.88,0.85,9.8,128.5365,5.1968,128.5365,5.1968,0.005,1.0,1.0
32,A_to_A,0.88,0.85,9.8,133.7062,5.1697,133.7062,5.1697,0.005,1.0,1.0
33,A_to_A,0.88,0.85,9.8,138.8798,5.1736,138.8798,5.1736,0.005,1.0,1.0
34,A_to_A,0.88,0.85,9.8,143.9365,5.0566,143.9365,5.0566,0.005,1.0,1.0
35,A_to_A,0.88,0.85,9.8,149.0554,5.1189,149.0554,5.1189,0.005,1.0,1.0
36,A_to_A,0.88,0.85,9.8,154.0909,5.0355,154.0909,5.0355,0.005,1.0,1.0
37,A_to_A,0.88,0.85,9.8,159.1049,5.014,159.1049,5.014,0.005,1.0,1.0
38,A_to_A,0.88,0.85,9.8,164.0751,4.9702,164.0751,4.9702,0.005,1.0,1.0
39,A_to_A,0.88,0.85,9.8,169.0646,4.9895,169.0646,4.9895,0.005,1.0,1.0
40,A_to_A,0.88,0.85,9.8,174.3007,5.2362,174.3007,5.2362,0.005,1.0,1.0
1,A_to_B_zero_shot,0.71,-0.85,4.2,0.7274,0.7274,-0.7274,-0.7274,2.0596,1.0,1.0
2,A_to_B_zero_shot,0.71,-0.85,4.2,-0.6975,0.0299,-1.9138,-1.1864,1.7143,1.0,1.0
3,A_to_B_zero_shot,0.71,-0.85,4.2,-2.3587,-0.445,-3.3552,-1.4414,1.4064,1.0,1.0
4,A_to_B_zero_shot,0.71,-0.85,4.2,-4.0698,-0.7147,-4.9323,-1.5772,1.2219,1.0,1.0
5,A_to_B_zero_shot,0.71,-0.85,4.2,-5.7703,-0.838,-6.602,-1.6697,1.1705,1.0,1.0
6,A_to_B_zero_shot,0.71,-0.85,4.2,-7.307,-0.705,-8.5518,-1.9498,1.7698,1.0,1.0
7,A_to_B_zero_shot,0.71,-0.85,4.2,-9.5701,-1.0183,-10.6336,-2.0818,1.5079,1.0,1.0
8,A_to_B_zero_shot,0.71,-0.85,4.2,-11.8097,-1.1761,-12.7676,-2.134,1.355,1.0,1.0
9,A_to_B_zero_shot,0.71,-0.85,4.2,-13.9263,-1.1587,-15.0018,-2.2343,1.5148,1.0,1.0
10,A_to_B_zero_shot,0.71,-0.85,4.2,-16.1583,-1.1565,-17.3978,-2.396,1.7564,1.0,1.0
11,A_to_B_zero_shot,0.71,-0.85,4.2,-18.9676,-1.5698,-19.6377,-2.2398,0.9414,1.0,1.0
12,A_to_B_zero_shot,0.71,-0.85,4.2,-21.0483,-1.4107,-21.7884,-2.1507,1.0522,1.0,1.0
13,A_to_B_zero_shot,0.71,-0.85,4.2,-22.9494,-1.161,-24.0469,-2.2586,1.5513,1.0,1.0
14,A_to_B_zero_shot,0.71,-0.85,4.2,-25.4128,-1.3659,-26.2721,-2.2252,1.2158,1.0,1.0
15,A_to_B_zero_shot,0.71,-0.85,4.2,-27.7763,-1.5042,-28.3059,-2.0338,0.7511,1.0,1.0
16,A_to_B_zero_shot,0.71,-0.85,4.2,-29.4456,-1.1397,-30.4,-2.0941,1.3403,1.0,1.0
17,A_to_B_zero_shot,0.71,-0.85,4.2,-31.4356,-1.0356,-32.694,-2.294,1.7809,1.0,1.0
18,A_to_B_zero_shot,0.71,-0.85,4.2,-34.213,-1.5191,-34.8224,-2.1284,0.867,1.0,1.0
19,A_to_B_zero_shot,0.71,-0.85,4.2,-36.2497,-1.4273,-36.7792,-1.9568,0.7496,1.0,1.0
20,A_to_B_zero_shot,0.71,-0.85,4.2,-37.6791,-0.8999,-38.9907,-2.2115,1.8535,1.0,1.0
21,A_to_B_zero_shot,0.71,-0.85,4.2,-40.2752,-1.2845,-41.2225,-2.2318,1.3392,1.0,1.0
22,A_to_B_zero_shot,0.71,-0.85,4.2,-42.3759,-1.1534,-43.6177,-2.3952,1.7546,1.0,1.0
23,A_to_B_zero_shot,0.71,-0.85,4.2,-44.9631,-1.3454,-46.0806,-2.4629,1.5829,1.0,1.0
24,A_to_B_zero_shot,0.71,-0.85,4.2,-47.7631,-1.6825,-48.3141,-2.2335,0.7811,1.0,1.0
25,A_to_B_zero_shot,0.71,-0.85,4.2,-49.6404,-1.3263,-50.5391,-2.225,1.2789,1.0,1.0
26,A_to_B_zero_shot,0.71,-0.85,4.2,-51.8612,-1.322,-52.7549,-2.2158,1.2682,1.0,1.0
27,A_to_B_zero_shot,0.71,-0.85,4.2,-53.9805,-1.2256,-55.0523,-2.2974,1.5155,1.0,1.0
28,A_to_B_zero_shot,0.71,-0.85,4.2,-56.4563,-1.404,-57.3012,-2.2489,1.2023,1.0,1.0
29,A_to_B_zero_shot,0.71,-0.85,4.2,-58.5797,-1.2785,-59.5985,-2.2973,1.428,1.0,1.0
30,A_to_B_zero_shot,0.71,-0.85,4.2,-60.8355,-1.237,-62.0143,-2.4157,1.6751,1.0,1.0
31,A_to_B_zero_shot,0.71,-0.85,4.2,-63.3612,-1.3469,-64.5083,-2.4941,1.6205,1.0,1.0
32,A_to_B_zero_shot,0.71,-0.85,4.2,-66.2129,-1.7046,-66.7693,-2.261,0.7896,1.0,1.0
33,A_to_B_zero_shot,0.71,-0.85,4.2,-68.278,-1.5087,-68.8555,-2.0862,0.8207,1.0,1.0
34,A_to_B_zero_shot,0.71,-0.85,4.2,-69.8964,-1.0409,-71.1318,-2.2762,1.7462,1.0,1.0
35,A_to_B_zero_shot,0.71,-0.85,4.2,-72.6111,-1.4794,-73.2715,-2.1398,0.9312,1.0,1.0
36,A_to_B_zero_shot,0.71,-0.85,4.2,-74.599,-1.3275,-75.3463,-2.0748,1.0543,1.0,1.0
37,A_to_B_zero_shot,0.71,-0.85,4.2,-76.4294,-1.0831,-77.5622,-2.2158,1.5925,1.0,1.0
38,A_to_B_zero_shot,0.71,-0.85,4.2,-78.9862,-1.424,-79.6613,-2.0992,0.9472,1.0,1.0
39,A_to_B_zero_shot,0.71,-0.85,4.2,-80.9686,-1.3073,-81.6917,-2.0303,1.0257,1.0,1.0
40,A_to_B_zero_shot,0.71,-0.85,4.2,-82.6366,-0.9449,-83.975,-2.2833,1.8941,1.0,1.0
1,A_to_C_zero_shot,0.12,0.51,15.7,0.6646,0.6646,0.3988,0.3988,0.3715,1.0,1.0
2,A_to_C_zero_shot,0.12,0.51,15.7,1.4976,1.0988,0.8954,0.4966,0.8524,1.0,1.0
3,A_to_C_zero_shot,0.12,0.51,15.7,2.0502,1.1549,1.3857,0.4903,0.9407,1.0,1.0
4,A_to_C_zero_shot,0.12,0.51,15.7,2.3159,0.9302,1.7438,0.3581,0.8104,1.0,1.0
5,A_to_C_zero_shot,0.12,0.51,15.7,2.8312,1.0874,2.2501,0.5063,0.8213,1.0,1.0
6,A_to_C_zero_shot,0.12,0.51,15.7,3.2202,0.9701,2.6256,0.3755,0.8374,1.0,1.0
7,A_to_C_zero_shot,0.12,0.51,15.7,3.5116,0.886,3.004,0.3784,0.7143,1.0,1.0
8,A_to_C_zero_shot,0.12,0.51,15.7,3.8633,0.8593,3.3652,0.3612,0.6969,1.0,1.0
