step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.6468,0.6468,0.6468,0.6468,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,1.7642,1.1173,1.7642,1.1173,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,3.498,1.7338,3.498,1.7338,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,5.4956,1.9976,5.4956,1.9976,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,7.6899,2.1943,7.6899,2.1943,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,10.1532,2.4633,10.1532,2.4633,0.005,1.0,1.0
7,A_to_A,0.88,0.85,9.8,12.959,2.8059,12.959,2.8059,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,16.2549,3.2959,16.2549,3.2959,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,19.7509,3.496,19.7509,3.496,0.005,1.0,1.0
10,A_to_A,0.88,0.85,9.8,23.5978,3.8469,23.5978,3.8469,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,27.7801,4.1823,27.7801,4.1823,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,32.123,4.3429,32.123,4.3429,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,36.7757,4.6527,36.7757,4.6527,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,41.6701,4.8944,41.6701,4.8944,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,46.6737,5.0036,46.6737,5.0036,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,51.9013,5.2276,51.9013,5.2276,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,57.128,5.2267,57.128,5.2267,0.005,1.0,1.0
18,A_to_A,0.88,0.85,9.8,62.4977,5.3697,62.4977,5.3697,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,67.9938,5.496,67.9938,5.496,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,73.4135,5.4197,73.4135,5.4197,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,78.6298,5.2163,78.6298,5.2163,0.005,1.0,1.0
22,A_to_A,0.88,0.85,9.8,84.0529,5.4231,84.0529,5.4231,0.005,1.0,1.0
23,A_to_A,0.88,0.85,9.8,89.4095,5.3567,89.4095,5.3567,0.005,1.0,1.0
24,A_to_A,0.88,0.85,9.8,94.65,5.2404,94.65,5.2404,0.005,1.0,1.0
25,A_to_A,0.88,0.85,9.8,99.9232,5.2732,99.9232,5.2732,0.005,1.0,1.0
26,A_to_A,0.88,0.85,9.8,105.1415,5.2183,105.1415,5.2183,0.005,1.0,1.0
27,A_to_A,0.88,0.85,9.8,110.2721,5.1307,110.2721,5.1307,0.005,1.0,1.0
28,A_to_A,0.88,0.85,9.8,115.4688,5.1966,115.4688,5.1966,0.005,1.0,1.0
29,A_to_A,0.88,0.85,9.8,120.7029,5.2341,120.7029,5.2341,0.005,1.0,1.0
30,A_to_A,0.88,0.85,9.8,126.0139,5.3109,126.0139,5.3109,0.005,1.0,1.0
31,A_to_A,0.88,0.85,9.8,131.502,5.4882,131.502,5.4882,0.005,1.0,1.0
32,A_to_A,0.88,0.85,9.8,137.1429,5.6409,137.1429,5.6409,0.005,1.0,1.0
33,A_to_A,0.88,0.85,9.8,142.7777,5.6348,142.7777,5.6348,0.005,1.0,1.0
34,A_to_A,0.88,0.85,9.8,148.4815,5.7038,148.4815,5.7038,0.005,1.0,1.0
35,A_to_A,0.88,0.85,9.8,154.0737,5.5922,154.0737,5.5922,0.005,1.0,1.0
36,A_to_A,0.88,0.85,9.8,159.6889,5.6152,159.6889,5.6152,0.005,1.0,1.0
37,A_to_A,0.88,0.85,9.8,165.3651,5.6762,165.3651,5.6762,0.005,1.0,1.0
38,A_to_A,0.88,0.85,9.8,171.2046,5.8395,171.2046,5.8395,0.005,1.0,1.0
39,A_to_A,0.88,0.85,9.8,177.1551,5.9505,177.1551,5.9505,0.005,1.0,1.0
40,A_to_A,0.88,0.85,9.8,183.1081,5.953,183.1081,5.953,0.005,1.0,1.0
1,A_to_B_zero_shot,0.71,-0.85,4.2,0.5963,0.5963,-0.5963,-0.5963,1.6851,1.0,1.0
2,A_to_B_zero_shot,0.71,-0.85,4.2,-0.4452,0.1511,-1.6955,-1.0992,1.7555,1.0,1.0
3,A_to_B_zero_shot,0.71,-0.85,4.2,-2.0713,-0.3759,-3.0673,-1.3718,1.4098,1.0,1.0
4,A_to_B_zero_shot,0.71,-0.85,4.2,-3.7854,-0.7181,-4.5304,-1.4631,1.0571,1.0,1.0
5,A_to_B_zero_shot,0.71,-0.85,4.2,-5.346,-0.8156,-6.0411,-1.5107,0.9853,1.0,1.0
6,A_to_B_zero_shot,0.71,-0.85,4.2,-6.7173,-0.6762,-7.7669,-1.7258,1.4937,1.0,1.0
7,A_to_B_zero_shot,0.71,-0.85,4.2,-8.5185,-0.7516,-9.7593,-1.9924,1.7628,1.0,1.0
8,A_to_B_zero_shot,0.71,-0.85,4.2,-11.0667,-1.3073,-11.62,-1.8606,0.7781,1.0,1.0
9,A_to_B_zero_shot,0.71,-0.85,4.2,-12.4388,-0.8188,-13.7596,-2.1396,1.875,1.0,1.0
10,A_to_B_zero_shot,0.71,-0.85,4.2,-14.8609,-1.1013,-16.0602,-2.3007,1.7009,1.0,1.0
11,A_to_B_zero_shot,0.71,-0.85,4.2,-17.3804,-1.3202,-18.3981,-2.3379,1.4377,1.0,1.0
12,A_to_B_zero_shot,0.71,-0.85,4.2,-19.9943,-1.5961,-20.5192,-2.1211,0.7435,1.0,1.0
13,A_to_B_zero_shot,0.71,-0.85,4.2,-21.6903,-1.171,-22.7207,-2.2015,1.4576,1.0,1.0
14,A_to_B_zero_shot,0.71,-0.85,4.2,-24.1203,-1.3996,-24.8215,-2.1008,0.9978,1.0,1.0
15,A_to_B_zero_shot,0.71,-0.85,4.2,-26.1757,-1.3542,-26.8075,-1.986,0.8912,1.0,1.0
16,A_to_B_zero_shot,0.71,-0.85,4.2,-27.9233,-1.1158,-28.8494,-2.042,1.3175,1.0,1.0
17,A_to_B_zero_shot,0.71,-0.85,4.2,-30.0544,-1.205,-30.8911,-2.0417,1.177,1.0,1.0
18,A_to_B_zero_shot,0.71,-0.85,4.2,-32.0437,-1.1526,-32.9849,-2.0938,1.3316,1.0,1.0
19,A_to_B_zero_shot,0.71,-0.85,4.2,-34.2133,-1.2284,-35.0857,-2.1007,1.2419,1.0,1.0
20,A_to_B_zero_shot,0.71,-0.85,4.2,-36.4119,-1.3263,-37.0995,-2.0139,0.9707,1.0,1.0
21,A_to_B_zero_shot,0.71,-0.85,4.2,-38.3115,-1.212,-39.0896,-1.9901,1.1023,1.0,1.0
22,A_to_B_zero_shot,0.71,-0.85,4.2,-40.4039,-1.3142,-40.9397,-1.85,0.7622,1.0,1.0
23,A_to_B_zero_shot,0.71,-0.85,4.2,-41.8263,-0.8866,-42.9946,-2.0549,1.6475,1.0,1.0
24,A_to_B_zero_shot,0.71,-0.85,4.2,-43.9982,-1.0036,-45.2583,-2.2637,1.7799,1.0,1.0
25,A_to_B_zero_shot,0.71,-0.85,4.2,-46.6857,-1.4274,-47.4303,-2.172,1.0429,1.0,1.0
26,A_to_B_zero_shot,0.71,-0.85,4.2,-48.6803,-1.2501,-49.6336,-2.2033,1.3426,1.0,1.0
27,A_to_B_zero_shot,0.71,-0.85,4.2,-50.887,-1.2534,-51.8835,-2.2499,1.3973,1.0,1.0
28,A_to_B_zero_shot,0.71,-0.85,4.2,-53.1176,-1.2341,-54.2267,-2.3432,1.5815,1.0,1.0
29,A_to_B_zero_shot,0.71,-0.85,4.2,-55.7348,-1.5081,-56.4443,-2.2176,0.9993,1.0,1.0
30,A_to_B_zero_shot,0.71,-0.85,4.2,-57.7503,-1.3061,-58.6642,-2.2199,1.2977,1.0,1.0
31,A_to_B_zero_shot,0.71,-0.85,4.2,-59.9703,-1.3061,-60.8877,-2.2235,1.2998,1.0,1.0
32,A_to_B_zero_shot,0.71,-0.85,4.2,-62.1203,-1.2325,-63.1906,-2.3029,1.5198,1.0,1.0
33,A_to_B_zero_shot,0.71,-0.85,4.2,-64.467,-1.2764,-65.5758,-2.3852,1.5629,1.0,1.0
34,A_to_B_zero_shot,0.71,-0.85,4.2,-67.0354,-1.4596,-67.9086,-2.3328,1.2365,1.0,1.0
35,A_to_B_zero_shot,0.71,-0.85,4.2,-69.3085,-1.3999,-70.2177,-2.3092,1.2851,1.0,1.0
36,A_to_B_zero_shot,0.71,-0.85,4.2,-71.7129,-1.4951,-72.3942,-2.1765,0.9637,1.0,1.0
37,A_to_B_zero_shot,0.71,-0.85,4.2,-73.4647,-1.0705,-74.7843,-2.3901,1.8688,1.0,1.0
38,A_to_B_zero_shot,0.71,-0.85,4.2,-76.1431,-1.3587,-77.2259,-2.4416,1.5264,1.0,1.0
39,A_to_B_zero_shot,0.71,-0.85,4.2,-78.8597,-1.6338,-79.4742,-2.2483,0.8684,1.0,1.0
40,A_to_B_zero_shot,0.71,-0.85,4.2,-80.7305,-1.2563,-81.7927,-2.3185,1.5082,1.0,1.0
1,A_to_C_zero_shot,0.12,0.51,15.7,0.4367,0.4367,0.262,0.262,0.2363,1.0,1.0
2,A_to_C_zero_shot,0.12,0.51,15.7,1.1778,0.9158,0.7046,0.4426,0.6712,1.0,1.0
3,A_to_C_zero_shot,0.12,0.51,15.7,1.9411,1.2365,1.2659,0.5613,0.9637,1.0,1.0
4,A_to_C_zero_shot,0.12,0.51,15.7,2.5408,1.2749,1.8018,0.5359,1.0514,1.0,1.0
5,A_to_C_zero_shot,0.12,0.51,15.7,2.7096,0.9077,2.1278,0.326,0.8145,1.0,1.0
6,A_to_C_zero_shot,0.12,0.51,15.7,2.9341,0.8062,2.4786,0.3507,0.6422,1.0,1.0
7,A_to_C_zero_shot,0.12,0.51,15.7,3.4882,1.0096,2.9412,0.4627,0.7787,1.0,1.0
8,A_to_C_zero_shot,0.12,0.51,15.7,3.9553,1.0141,3.3609,0.4197,0.8334,1.0,1.0
9,A_to_C_zero_shot,0.12,0.51,15.7,4.18,0.8191,3.6812,0.3202,0.7024,1.0,1.0
10,A_to_C_zero_shot,0.12,0.51,15.7,4.6169,0.9358,4.1119,0.4308,0.7133,1.0,1.0
11,A_to_C_zero_shot,0.12,0.51,15.7,5.0306,0.9186,4.4873,0.3754,0.7646,1.0,1.0
12,A_to_C_zero_shot,0.12,0.51,15.7,5.591,1.1037,4.9964,0.509,0.8461,1.0,1.0
13,A_to_C_zero_shot,0.12,0.51,15.7,6.2839,1.2875,5.5612,0.5648,1.0215,1.0,1.0
14,A_to_C_zero_shot,0.12,0.51,15.7,6.802,1.2408,6.0752,0.5141,1.0281,1.0,1.0
15,A_to_C_zero_shot,0.12,0.51,15.7,7.0968,1.0216,6.4784,0.4032,0.875,1.0,1.0
16,A_to_C_zero_shot,0.12,0.51,15.7,7.2725,0.7941,6.7904,0.3119,0.6724,1.0,1.0
17,A_to_C_zero_shot,0.12,0.51,15.7,7.8005,1.0101,7.2692,0.4788,0.7504,1.0,1.0
