step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.6541,0.6541,0.6541,0.6541,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,1.9325,1.2784,1.9325,1.2784,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,3.5718,1.6393,3.5718,1.6393,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,5.712,2.1402,5.712,2.1402,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,8.4406,2.7286,8.4406,2.7286,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,11.6887,3.248,11.6887,3.248,0.005,1.0,1.0
7,A_to_A,0.88,0.85,9.8,15.0751,3.3864,15.0751,3.3864,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,18.8379,3.7629,18.8379,3.7629,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,22.8291,3.9911,22.8291,3.9911,0.005,1.0,1.0
10,A_to_A,0.88,0.85,9.8,27.0444,4.2153,27.0444,4.2153,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,31.4063,4.3619,31.4063,4.3619,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,36.0121,4.6058,36.0121,4.6058,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,40.7757,4.7637,40.7757,4.7637,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,45.6791,4.9034,45.6791,4.9034,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,50.6906,5.0115,50.6906,5.0115,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,55.7358,5.0452,55.7358,5.0452,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,60.7321,4.9962,60.7321,4.9962,0.005,1.0,1.0
18,A_to_A,0.88,0.85,9.8,65.6608,4.9288,65.6608,4.9288,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,70.4573,4.7965,70.4573,4.7965,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,75.4303,4.973,75.4303,4.973,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,80.4057,4.9754,80.4057,4.9754,0.005,1.0,1.0
22,A_to_A,0.88,0.85,9.8,85.4316,5.0259,85.4316,5.0259,0.005,1.0,1.0
23,A_to_A,0.88,0.85,9.8,90.3586,4.927,90.3586,4.927,0.005,1.0,1.0
24,A_to_A,0.88,0.85,9.8,95.486,5.1274,95.486,5.1274,0.005,1.0,1.0
25,A_to_A,0.88,0.85,9.8,100.8262,5.3402,100.8262,5.3402,0.005,1.0,1.0
26,A_to_A,0.88,0.85,9.8,106.3489,5.5227,106.3489,5.5227,0.005,1.0,1.0
27,A_to_A,0.88,0.85,9.8,112.0355,5.6866,112.0355,5.6866,0.005,1.0,1.0
28,A_to_A,0.88,0.85,9.8,117.861,5.8255,117.861,5.8255,0.005,1.0,1.0
29,A_to_A,0.88,0.85,9.8,123.5202,5.6592,123.5202,5.6592,0.005,1.0,1.0
30,A_to_A,0.88,0.85,9.8,129.2122,5.692,129.2122,5.692,0.005,1.0,1.0
31,A_to_A,0.88,0.85,9.8,134.9378,5.7255,134.9378,5.7255,0.005,1.0,1.0
32,A_to_A,0.88,0.85,9.8,140.5798,5.642,140.5798,5.642,0.005,1.0,1.0
33,A_to_A,0.88,0.85,9.8,146.0656,5.4858,146.0656,5.4858,0.005,1.0,1.0
34,A_to_A,0.88,0.85,9.8,151.5016,5.436,151.5016,5.436,0.005,1.0,1.0
35,A_to_A,0.88,0.85,9.8,157.0247,5.523,157.0247,5.523,0.005,1.0,1.0
36,A_to_A,0.88,0.85,9.8,162.4715,5.4468,162.4715,5.4468,0.005,1.0,1.0
37,A_to_A,0.88,0.85,9.8,167.9556,5.484,167.9556,5.484,0.005,1.0,1.0
38,A_to_A,0.88,0.85,9.8,173.4801,5.5246,173.4801,5.5246,0.005,1.0,1.0
39,A_to_A,0.88,0.85,9.8,179.062,5.5819,179.062,5.5819,0.005,1.0,1.0
40,A_to_A,0.88,0.85,9.8,184.7056,5.6436,184.7056,5.6436,0.005,1.0,1.0
1,A_to_B_zero_shot,0.71,-0.85,4.2,0.8316,0.8316,-0.8316,-0.8316,2.3478,1.0,1.0
2,A_to_B_zero_shot,0.71,-0.85,4.2,-0.8454,-0.0139,-2.14,-1.3084,1.8299,1.0,1.0
3,A_to_B_zero_shot,0.71,-0.85,4.2,-2.8155,-0.6756,-3.5447,-1.4047,1.0306,1.0,1.0
4,A_to_B_zero_shot,0.71,-0.85,4.2,-4.1209,-0.5762,-5.202,-1.6573,1.53,1.0,1.0
5,A_to_B_zero_shot,0.71,-0.85,4.2,-6.1276,-0.9256,-6.9116,-1.7096,1.1019,1.0,1.0
6,A_to_B_zero_shot,0.71,-0.85,4.2,-7.7209,-0.8094,-8.8204,-1.9088,1.5604,1.0,1.0
7,A_to_B_zero_shot,0.71,-0.85,4.2,-10.0595,-1.2391,-10.6164,-1.796,0.7871,1.0,1.0
8,A_to_B_zero_shot,0.71,-0.85,4.2,-11.422,-0.8056,-12.6664,-2.05,1.76,1.0,1.0
9,A_to_B_zero_shot,0.71,-0.85,4.2,-13.8344,-1.168,-14.7579,-2.0915,1.3084,1.0,1.0
10,A_to_B_zero_shot,0.71,-0.85,4.2,-15.8237,-1.0657,-17.0177,-2.2598,1.6855,1.0,1.0
11,A_to_B_zero_shot,0.71,-0.85,4.2,-18.5224,-1.5047,-19.106,-2.0883,0.8287,1.0,1.0
12,A_to_B_zero_shot,0.71,-0.85,4.2,-20.4877,-1.3816,-21.0449,-1.9389,0.7844,1.0,1.0
13,A_to_B_zero_shot,0.71,-0.85,4.2,-21.9372,-0.8923,-23.2354,-2.1905,1.8377,1.0,1.0
