step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.8313,0.8313,0.8313,0.8313,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,2.0239,1.1926,2.0239,1.1926,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,3.8535,1.8296,3.8535,1.8296,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,6.0195,2.166,6.0195,2.166,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,8.6082,2.5886,8.6082,2.5886,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,11.3784,2.7703,11.3784,2.7703,0.005,1.0,1.0
7,A_to_A,0.88,0.85,9.8,14.4243,3.0459,14.4243,3.0459,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,17.9525,3.5282,17.9525,3.5282,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,21.8858,3.9333,21.8858,3.9333,0.005,1.0,1.0
10,A_to_A,0.88,0.85,9.8,25.8861,4.0003,25.8861,4.0003,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,29.8466,3.9605,29.8466,3.9605,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,33.8923,4.0456,33.8923,4.0456,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,38.0389,4.1466,38.0389,4.1466,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,42.3512,4.3123,42.3512,4.3123,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,46.6713,4.3201,46.6713,4.3201,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,50.9561,4.2848,50.9561,4.2848,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,55.3686,4.4125,55.3686,4.4125,0.005,1.0,1.0
18,A_to_A,0.88,0.85,9.8,59.7539,4.3853,59.7539,4.3853,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,64.4177,4.6638,64.4177,4.6638,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,69.3322,4.9145,69.3322,4.9145,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,74.4061,5.0739,74.4061,5.0739,0.005,1.0,1.0
