step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.5786,0.5786,0.5786,0.5786,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,1.7027,1.1241,1.7027,1.1241,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,3.291,1.5882,3.291,1.5882,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,5.3835,2.0925,5.3835,2.0925,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,7.6542,2.2707,7.6542,2.2707,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,10.1378,2.4836,10.1378,2.4836,0.005,1.0,1.0
7,A_to_A,0.88,0.85,9.8,13.0643,2.9265,13.0643,2.9265,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,16.471,3.4067,16.471,3.4067,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,20.0016,3.5306,20.0016,3.5306,0.005,1.0,1.0
10,A_to_A,0.88,0.85,9.8,23.8172,3.8156,23.8172,3.8156,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,27.6116,3.7944,27.6116,3.7944,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,31.5015,3.8899,31.5015,3.8899,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,35.445,3.9435,35.445,3.9435,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,39.6751,4.2301,39.6751,4.2301,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,43.9704,4.2953,43.9704,4.2953,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,48.5783,4.6079,48.5783,4.6079,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,53.1828,4.6045,53.1828,4.6045,0.0052,1.0,1.0
18,A_to_A,0.88,0.85,9.8,58.0136,4.8308,58.0136,4.8308,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,63.0256,5.012,63.0256,5.012,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,67.9269,4.9012,67.9269,4.9012,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,72.7942,4.8674,72.7942,4.8674,0.005,1.0,1.0
22,A_to_A,0.88,0.85,9.8,77.7997,5.0055,77.7997,5.0055,0.005,1.0,1.0
23,A_to_A,0.88,0.85,9.8,82.9389,5.1392,82.9389,5.1392,0.005,1.0,1.0
24,A_to_A,0.88,0.85,9.8,88.0953,5.1564,88.0953,5.1564,0.005,1.0,1.0
25,A_to_A,0.88,0.85,9.8,93.4484,5.3531,93.4484,5.3531,0.005,1.0,1.0
26,A_to_A,0.88,0.85,9.8,98.7772,5.3288,98.7772,5.3288,0.005,1.0,1.0
27,A_to_A,0.88,0.85,9.8,104.152,5.3749,104.152,5.3749,0.005,1.0,1.0
28,A_to_A,0.88,0.85,9.8,109.3681,5.2161,109.3681,5.2161,0.005,1.0,1.0
29,A_to_A,0.88,0.85,9.8,114.4819,5.1138,114.4819,5.1138,0.005,1.0,1.0
30,A_to_A,0.88,0.85,9.8,119.6363,5.1544,119.6363,5.1544,0.005,1.0,1.0
31,A_to_A,0.88,0.85,9.8,124.8773,5.2411,124.8773,5.2411,0.005,1.0,1.0
32,A_to_A,0.88,0.85,9.8,130.1317,5.2544,130.1317,5.2544,0.005,1.0,1.0
33,A_to_A,0.88,0.85,9.8,135.5855,5.4538,135.5855,5.4538,0.005,1.0,1.0
34,A_to_A,0.88,0.85,9.8,141.157,5.5715,141.157,5.5715,0.005,1.0,1.0
35,A_to_A,0.88,0.85,9.8,146.5818,5.4248,146.5818,5.4248,0.005,1.0,1.0
36,A_to_A,0.88,0.85,9.8,151.8322,5.2504,151.8322,5.2504,0.005,1.0,1.0
37,A_to_A,0.88,0.85,9.8,156.8815,5.0493,156.8815,5.0493,0.005,1.0,1.0
38,A_to_A,0.88,0.85,9.8,161.7981,4.9166,161.7981,4.9166,0.005,1.0,1.0
39,A_to_A,0.88,0.85,9.8,166.8416,5.0435,166.8416,5.0435,0.005,1.0,1.0
40,A_to_A,0.88,0.85,9.8,171.7701,4.9284,171.7701,4.9284,0.005,1.0,1.0
1,A_to_B_zero_shot,0.71,-0.85,4.2,0.6963,0.6963,-0.6963,-0.6963,1.9693,1.0,1.0
2,A_to_B_zero_shot,0.71,-0.85,4.2,-0.8793,-0.183,-1.6204,-0.9241,1.0512,1.0,1.0
3,A_to_B_zero_shot,0.71,-0.85,4.2,-1.7853,-0.1649,-2.9248,-1.3044,1.6135,1.0,1.0
4,A_to_B_zero_shot,0.71,-0.85,4.2,-3.5851,-0.6603,-4.3385,-1.4137,1.0643,1.0,1.0
5,A_to_B_zero_shot,0.71,-0.85,4.2,-4.9926,-0.654,-5.9323,-1.5938,1.3344,1.0,1.0
6,A_to_B_zero_shot,0.71,-0.85,4.2,-6.5995,-0.6672,-7.7992,-1.8669,1.6981,1.0,1.0
7,A_to_B_zero_shot,0.71,-0.85,4.2,-8.8213,-1.0221,-9.7456,-1.9463,1.3083,1.0,1.0
8,A_to_B_zero_shot,0.71,-0.85,4.2,-10.9491,-1.2035,-11.6367,-1.8911,0.9727,1.0,1.0
9,A_to_B_zero_shot,0.71,-0.85,4.2,-12.5924,-0.9557,-13.688,-2.0513,1.5547,1.0,1.0
10,A_to_B_zero_shot,0.71,-0.85,4.2,-15.0242,-1.3362,-15.6133,-1.9253,0.8304,1.0,1.0
11,A_to_B_zero_shot,0.71,-0.85,4.2,-16.7908,-1.1775,-17.497,-1.8837,0.9967,1.0,1.0
12,A_to_B_zero_shot,0.71,-0.85,4.2,-18.6804,-1.1834,-19.3087,-1.8117,0.8897,1.0,1.0
13,A_to_B_zero_shot,0.71,-0.85,4.2,-20.2935,-0.9848,-21.2044,-1.8957,1.2902,1.0,1.0
14,A_to_B_zero_shot,0.71,-0.85,4.2,-22.0724,-0.868,-23.3507,-2.1462,1.8046,1.0,1.0
15,A_to_B_zero_shot,0.71,-0.85,4.2,-24.442,-1.0913,-25.6718,-2.3212,1.736,1.0,1.0
16,A_to_B_zero_shot,0.71,-0.85,4.2,-27.211,-1.5392,-27.8233,-2.1515,0.8674,1.0,1.0
17,A_to_B_zero_shot,0.71,-0.85,4.2,-29.008,-1.1846,-30.0595,-2.2362,1.4917,1.0,1.0
18,A_to_B_zero_shot,0.71,-0.85,4.2,-31.5137,-1.4542,-32.1609,-2.1014,0.9065,1.0,1.0
19,A_to_B_zero_shot,0.71,-0.85,4.2,-33.4039,-1.2429,-34.2592,-2.0983,1.2139,1.0,1.0
20,A_to_B_zero_shot,0.71,-0.85,4.2,-35.5554,-1.2961,-36.2994,-2.0402,1.0528,1.0,1.0
21,A_to_B_zero_shot,0.71,-0.85,4.2,-37.6171,-1.3177,-38.2255,-1.9261,0.8744,1.0,1.0
22,A_to_B_zero_shot,0.71,-0.85,4.2,-39.3659,-1.1404,-40.1476,-1.9221,1.1129,1.0,1.0
23,A_to_B_zero_shot,0.71,-0.85,4.2,-41.2021,-1.0544,-42.1494,-2.0018,1.3343,1.0,1.0
24,A_to_B_zero_shot,0.71,-0.85,4.2,-43.2355,-1.086,-44.2462,-2.0968,1.4282,1.0,1.0
25,A_to_B_zero_shot,0.71,-0.85,4.2,-45.4529,-1.2066,-46.3735,-2.1273,1.2999,1.0,1.0
26,A_to_B_zero_shot,0.71,-0.85,4.2,-47.5517,-1.1782,-48.5777,-2.2042,1.4511,1.0,1.0
27,A_to_B_zero_shot,0.71,-0.85,4.2,-49.8081,-1.2304,-50.8518,-2.2742,1.4754,1.0,1.0
28,A_to_B_zero_shot,0.71,-0.85,4.2,-52.2316,-1.3798,-53.088,-2.2362,1.2069,1.0,1.0
29,A_to_B_zero_shot,0.71,-0.85,4.2,-54.2882,-1.2002,-55.4434,-2.3554,1.6335,1.0,1.0
30,A_to_B_zero_shot,0.71,-0.85,4.2,-56.9488,-1.5054,-57.683,-2.2396,1.0367,1.0,1.0
31,A_to_B_zero_shot,0.71,-0.85,4.2,-59.156,-1.473,-59.771,-2.088,0.8685,1.0,1.0
32,A_to_B_zero_shot,0.71,-0.85,4.2,-61.0172,-1.2462,-61.8447,-2.0737,1.1654,1.0,1.0
33,A_to_B_zero_shot,0.71,-0.85,4.2,-63.1498,-1.3051,-63.8368,-1.9921,0.9639,1.0,1.0
34,A_to_B_zero_shot,0.71,-0.85,4.2,-64.8967,-1.0599,-65.9444,-2.1076,1.484,1.0,1.0
35,A_to_B_zero_shot,0.71,-0.85,4.2,-67.2799,-1.3355,-67.96,-2.0156,0.9563,1.0,1.0
36,A_to_B_zero_shot,0.71,-0.85,4.2,-69.2851,-1.3251,-69.8397,-1.8796,0.7885,1.0,1.0
37,A_to_B_zero_shot,0.71,-0.85,4.2,-70.6852,-0.8456,-71.9827,-2.143,1.8418,1.0,1.0
38,A_to_B_zero_shot,0.71,-0.85,4.2,-73.381,-1.3983,-73.9919,-2.0092,0.8649,1.0,1.0
39,A_to_B_zero_shot,0.71,-0.85,4.2,-74.9285,-0.9366,-76.2498,-2.2579,1.8673,1.0,1.0
40,A_to_B_zero_shot,0.71,-0.85,4.2,-77.5978,-1.348,-78.492,-2.2422,1.2613,1.0,1.0
1,A_to_C_zero_shot,0.12,0.51,15.7,0.7843,0.7843,0.4706,0.4706,0.4482,1.0,1.0
2,A_to_C_zero_shot,0.12,0.51,15.7,1.5811,1.1105,0.9449,0.4743,0.8939,1.0,1.0
3,A_to_C_zero_shot,0.12,0.51,15.7,2.1027,1.1579,1.4461,0.5012,0.9338,1.0,1.0
4,A_to_C_zero_shot,0.12,0.51,15.7,2.5736,1.1275,1.9181,0.472,0.924,1.0,1.0
5,A_to_C_zero_shot,0.12,0.51,15.7,3.0977,1.1796,2.4333,0.5152,0.9362,1.0,1.0
6,A_to_C_zero_shot,0.12,0.51,15.7,3.5584,1.1251,2.8982,0.4649,0.9335,1.0,1.0
7,A_to_C_zero_shot,0.12,0.51,15.7,3.8807,0.9825,3.298,0.3999,0.8222,1.0,1.0
8,A_to_C_zero_shot,0.12,0.51,15.7,4.4602,1.1621,3.8322,0.5341,0.88,1.0,1.0
9,A_to_C_zero_shot,0.12,0.51,15.7,4.7734,0.9413,4.179,0.3468,0.8521,1.0,1.0
10,A_to_C_zero_shot,0.12,0.51,15.7,5.2196,1.0406,4.6619,0.4829,0.7904,1.0,1.0
11,A_to_C_zero_shot,0.12,0.51,15.7,5.9357,1.2738,5.2292,0.5673,1.004,1.0,1.0
12,A_to_C_zero_shot,0.12,0.51,15.7,6.2194,0.9902,5.5919,0.3627,0.8761,1.0,1.0
13,A_to_C_zero_shot,0.12,0.51,15.7,6.415,0.8231,5.9378,0.3459,0.6685,1.0,1.0
14,A_to_C_zero_shot,0.12,0.51,15.7,6.7171,0.7794,6.2642,0.3265,0.635,1.0,1.0
15,A_to_C_zero_shot,0.12,0.51,15.7,7.3795,1.1153,6.8002,0.536,0.8197,1.0,1.0
16,A_to_C_zero_shot,0.12,0.51,15.7,7.8823,1.0821,7.2308,0.4306,0.9247,1.0,1.0
17,A_to_C_zero_shot,0.12,0.51,15.7,8.1121,0.8813,7.5839,0.3531,0.7487,1.0,1.0
18,A_to_C_zero_shot,0.12,0.51,15.7,8.3335,0.7496,7.8896,0.3057,0.6289,1.0,1.0
19,A_to_C_zero_shot,0.12,0.51,15.7,8.6476,0.758,8.2197,0.3301,0.6015,1.0,1.0
20,A_to_C_zero_shot,0.12,0.51,15.7,9.2635,1.0439,8.7113,0.4917,0.7731,1.0,1.0
21,A_to_C_zero_shot,0.12,0.51,15.7,9.7464,1.0351,9.1318,0.4205,0.8693,1.0,1.0
22,A_to_C_zero_shot,0.12,0.51,15.7,10.2943,1.1626,9.6578,0.526,0.8978,1.0,1.0
23,A_to_C_zero_shot,0.12,0.51,15.7,10.7199,1.0621,10.0804,0.4227,0.9079,1.0,1.0
24,A_to_C_zero_shot,0.12,0.51,15.7,10.9596,0.8792,10.4355,0.3551,0.7447,1.0,1.0
25,A_to_C_zero_shot,0.12,0.51,15.7,11.4887,1.0532,10.9226,0.4871,0.8,1.0,1.0
26,A_to_C_zero_shot,0.12,0.51,15.7,11.858,0.9354,11.2851,0.3625,0.8109,1.0,1.0
27,A_to_C_zero_shot,0.12,0.51,15.7,12.0632,0.7781,11.6041,0.3189,0.6543,1.0,1.0
28,A_to_C_zero_shot,0.12,0.51,15.7,12.6427,1.0386,12.0971,0.4931,0.77,1.0,1.0
29,A_to_C_zero_shot,0.12,0.51,15.7,13.2083,1.1111,12.5626,0.4655,0.9061,1.0,1.0
30,A_to_C_zero_shot,0.12,0.51,15.7,13.6323,1.0697,13.0145,0.4519,0.8779,1.0,1.0
31,A_to_C_zero_shot,0.12,0.51,15.7,13.8556,0.8411,13.3348,0.3203,0.7412,1.0,1.0
32,A_to_C_zero_shot,0.12,0.51,15.7,14.3187,0.9839,13.7944,0.4596,0.7412,1.0,1.0
33,A_to_C_zero_shot,0.12,0.51,15.7,14.8011,1.0067,14.2109,0.4165,0.8376,1.0,1.0
34,A_to_C_zero_shot,0.12,0.51,15.7,15.0264,0.8155,14.5303,0.3193,0.7009,1.0,1.0
35,A_to_C_zero_shot,0.12,0.51,15.7,15.2544,0.7241,14.8344,0.3042,0.586,1.0,1.0
36,A_to_C_zero_shot,0.12,0.51,15.7,15.7173,0.8828,15.24,0.4056,0.6806,1.0,1.0
37,A_to_C_zero_shot,0.12,0.51,15.7,16.4178,1.1777,15.7812,0.5412,0.9084,1.0,1.0
38,A_to_C_zero_shot,0.12,0.51,15.7,16.7537,0.9725,16.1439,0.3627,0.8725,1.0,1.0
39,A_to_C_zero_shot,0.12,0.51,15.7,17.2638,1.1199,16.6679,0.524,0.845,1.0,1.0
40,A_to_C_zero_shot,0.12,0.51,15.7,17.8149,1.1471,17.1423,0.4745,0.9574,1.0,1.0
1,A_to_B_prime_adapt,0.71,-0.85,4.2,0.8378,0.8378,-0.8378,-0.8378,2.3679,0.6,1.0
2,A_to_B_prime_adapt,0.71,-0.85,4.2,-1.1281,-0.2904,-1.8794,-1.0416,1.0634,0.28,1.0
3,A_to_B_prime_adapt,0.71,-0.85,4.2,-1.9889,-0.1095,-3.4261,-1.5467,2.0313,0.024,1.0
4,A_to_B_prime_adapt,0.71,-0.85,4.2,-3.9504,-0.5243,-5.3611,-1.935,1.995,-0.1808,1.0
5,A_to_B_prime_adapt,0.71,-0.85,4.2,-6.5056,-1.1444,-7.2934,-1.9323,1.1132,-0.3446,1.0
6,A_to_B_prime_adapt,0.71,-0.85,4.2,-8.4402,-1.1468,-9.2189,-1.9255,1.1004,-0.4757,1.0
7,A_to_B_prime_adapt,0.71,-0.85,4.2,-10.426,-1.2071,-11.0733,-1.8544,0.9147,-0.5806,-1.0
8,A_to_B_prime_adapt,0.71,-0.85,4.2,-13.4827,-2.4094,-13.0742,-2.0009,0.5781,-0.6645,-1.0
9,A_to_B_prime_adapt,0.71,-0.85,4.2,-15.4683,-2.3941,-15.0934,-2.0192,0.5314,-0.7316,-1.0
10,A_to_B_prime_adapt,0.71,-0.85,4.2,-17.6664,-2.5729,-17.3447,-2.2513,0.4557,-0.7853,-1.0
11,A_to_B_prime_adapt,0.71,-0.85,4.2,-19.9352,-2.5906,-19.6302,-2.2856,0.4311,-0.8282,-1.0
12,A_to_B_prime_adapt,0.71,-0.85,4.2,-22.3483,-2.7181,-22.085,-2.4548,0.3731,-0.8626,-1.0
13,A_to_B_prime_adapt,0.71,-0.85,4.2,-24.6821,-2.5971,-24.4417,-2.3567,0.34,-0.89,-1.0
14,A_to_B_prime_adapt,0.71,-0.85,4.2,-27.0821,-2.6404,-26.8859,-2.4442,0.2772,-0.912,-1.0
15,A_to_B_prime_adapt,0.71,-0.85,4.2,-29.599,-2.7132,-29.426,-2.5401,0.2447,-0.9296,-1.0
16,A_to_B_prime_adapt,0.71,-0.85,4.2,-32.0837,-2.6577,-31.9308,-2.5048,0.2171,-0.9437,-1.0
17,A_to_B_prime_adapt,0.71,-0.85,4.2,-34.6674,-2.7366,-34.5391,-2.6084,0.1814,-0.955,-1.0
18,A_to_B_prime_adapt,0.71,-0.85,4.2,-36.9785,-2.4393,-36.8649,-2.3258,0.1603,-0.964,-1.0
19,A_to_B_prime_adapt,0.71,-0.85,4.2,-39.405,-2.54,-39.3189,-2.454,0.1197,-0.9712,-1.0
20,A_to_B_prime_adapt,0.71,-0.85,4.2,-41.7546,-2.4357,-41.6774,-2.3585,0.1106,-0.9769,-1.0
21,A_to_B_prime_adapt,0.71,-0.85,4.2,-44.1949,-2.5175,-44.1318,-2.4545,0.0897,-0.9816,-1.0
22,A_to_B_prime_adapt,0.71,-0.85,4.2,-46.557,-2.4251,-46.5012,-2.3693,0.0815,-0.9852,-1.0
23,A_to_B_prime_adapt,0.71,-0.85,4.2,-48.6559,-2.1548,-48.6101,-2.109,0.0649,-0.9882,-1.0
24,A_to_B_prime_adapt,0.71,-0.85,4.2,-50.7451,-2.135,-50.7105,-2.1003,0.0494,-0.9906,-1.0
25,A_to_B_prime_adapt,0.71,-0.85,4.2,-53.0629,-2.3525,-53.0336,-2.3231,0.0438,-0.9924,-1.0
