step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.8181,0.8181,0.8181,0.8181,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,1.9985,1.1804,1.9985,1.1804,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,3.7138,1.7154,3.7138,1.7154,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,5.7038,1.9899,5.7038,1.9899,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,7.9615,2.2577,7.9615,2.2577,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,10.5666,2.6052,10.5666,2.6052,0.005,1.0,1.0
7,A_to_A,0.88,0.85,9.8,13.2947,2.7281,13.2947,2.7281,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,16.2995,3.0047,16.2995,3.0047,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,19.5865,3.287,19.5865,3.287,0.005,1.0,1.0
10,A_to_A,0.88,0.85,9.8,22.9286,3.3421,22.9286,3.3421,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,26.6274,3.6988,26.6274,3.6988,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,30.5713,3.9439,30.5713,3.9439,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,34.8795,4.3082,34.8795,4.3082,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,39.2524,4.3729,39.2524,4.3729,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,43.7687,4.5163,43.7687,4.5163,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,48.2044,4.4358,48.2044,4.4358,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,52.7343,4.5299,52.7343,4.5299,0.005,1.0,1.0
18,A_to_A,0.88,0.85,9.8,57.3359,4.6015,57.3359,4.6015,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,62.0832,4.7473,62.0832,4.7473,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,66.8233,4.7401,66.8233,4.7401,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,71.7664,4.943,71.7664,4.943,0.005,1.0,1.0
22,A_to_A,0.88,0.85,9.8,76.5832,4.8168,76.5832,4.8168,0.005,1.0,1.0
23,A_to_A,0.88,0.85,9.8,81.2635,4.6803,81.2635,4.6803,0.005,1.0,1.0
24,A_to_A,0.88,0.85,9.8,86.1559,4.8925,86.1559,4.8925,0.005,1.0,1.0
25,A_to_A,0.88,0.85,9.8,91.0269,4.871,91.0269,4.871,0.005,1.0,1.0
26,A_to_A,0.88,0.85,9.8,95.8679,4.841,95.8679,4.841,0.005,1.0,1.0
27,A_to_A,0.88,0.85,9.8,100.8834,5.0155,100.8834,5.0155,0.005,1.0,1.0
28,A_to_A,0.88,0.85,9.8,105.7676,4.8842,105.7676,4.8842,0.005,1.0,1.0
29,A_to_A,0.88,0.85,9.8,110.8238,5.0562,110.8238,5.0562,0.005,1.0,1.0
30,A_to_A,0.88,0.85,9.8,115.7995,4.9756,115.7995,4.9756,0.005,1.0,1.0
