step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.5261,0.5261,0.5261,0.5261,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,1.6708,1.1447,1.6708,1.1447,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,3.369,1.6982,3.369,1.6982,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,5.6444,2.2754,5.6444,2.2754,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,8.182,2.5376,8.182,2.5376,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,11.0399,2.8579,11.0399,2.8579,0.0066,1.0,1.0
7,A_to_A,0.88,0.85,9.8,14.3353,3.2955,14.3353,3.2955,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,17.7243,3.389,17.7243,3.389,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,21.4015,3.6771,21.4015,3.6771,0.005,1.0,1.0
10,A_to_A,0.88,0.85,9.8,25.3774,3.9759,25.3774,3.9759,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,29.5866,4.2092,29.5866,4.2092,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,33.9668,4.3803,33.9668,4.3803,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,38.3745,4.4077,38.3745,4.4077,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,42.8792,4.5047,42.8792,4.5047,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,47.5738,4.6946,47.5738,4.6946,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,52.5216,4.9477,52.5216,4.9477,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,57.4684,4.9469,57.4684,4.9469,0.005,1.0,1.0
18,A_to_A,0.88,0.85,9.8,62.6443,5.1759,62.6443,5.1759,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,67.9976,5.3533,67.9976,5.3533,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,73.2257,5.2281,73.2257,5.2281,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,78.6617,5.4361,78.6617,5.4361,0.005,1.0,1.0
22,A_to_A,0.88,0.85,9.8,83.9984,5.3367,83.9984,5.3367,0.005,1.0,1.0
23,A_to_A,0.88,0.85,9.8,89.3353,5.3368,89.3353,5.3368,0.005,1.0,1.0
24,A_to_A,0.88,0.85,9.8,94.7053,5.3701,94.7053,5.3701,0.005,1.0,1.0
25,A_to_A,0.88,0.85,9.8,100.1043,5.399,100.1043,5.399,0.005,1.0,1.0
26,A_to_A,0.88,0.85,9.8,105.6752,5.5709,105.6752,5.5709,0.005,1.0,1.0
27,A_to_A,0.88,0.85,9.8,111.3666,5.6914,111.3666,5.6914,0.005,1.0,1.0
28,A_to_A,0.88,0.85,9.8,116.8693,5.5027,116.8693,5.5027,0.005,1.0,1.0
29,A_to_A,0.88,0.85,9.8,122.5025,5.6332,122.5025,5.6332,0.005,1.0,1.0
30,A_to_A,0.88,0.85,9.8,128.1265,5.6241,128.1265,5.6241,0.005,1.0,1.0
31,A_to_A,0.88,0.85,9.8,133.8041,5.6775,133.8041,5.6775,0.005,1.0,1.0
32,A_to_A,0.88,0.85,9.8,139.469,5.665,139.469,5.665,0.005,1.0,1.0
33,A_to_A,0.88,0.85,9.8,145.0003,5.5313,145.0003,5.5313,0.005,1.0,1.0
34,A_to_A,0.88,0.85,9.8,150.7136,5.7132,150.7136,5.7132,0.005,1.0,1.0
35,A_to_A,0.88,0.85,9.8,156.2038,5.4902,156.2038,5.4902,0.005,1.0,1.0
36,A_to_A,0.88,0.85,9.8,161.5243,5.3205,161.5243,5.3205,0.005,1.0,1.0
37,A_to_A,0.88,0.85,9.8,166.7562,5.2319,166.7562,5.2319,0.005,1.0,1.0
38,A_to_A,0.88,0.85,9.8,171.8041,5.0479,171.8041,5.0479,0.005,1.0,1.0
39,A_to_A,0.88,0.85,9.8,176.9324,5.1283,176.9324,5.1283,0.005,1.0,1.0
40,A_to_A,0.88,0.85,9.8,182.011,5.0786,182.011,5.0786,0.005,1.0,1.0
1,A_to_B_zero_shot,0.71,-0.85,4.2,0.7994,0.7994,-0.7994,-0.7994,2.2669,1.0,1.0
2,A_to_B_zero_shot,0.71,-0.85,4.2,-0.6535,0.1459,-2.2163,-1.4169,2.2095,1.0,1.0
3,A_to_B_zero_shot,0.71,-0.85,4.2,-2.9066,-0.6903,-3.7789,-1.5626,1.2397,1.0,1.0
4,A_to_B_zero_shot,0.71,-0.85,4.2,-4.7157,-0.9368,-5.3267,-1.5478,0.8673,1.0,1.0
5,A_to_B_zero_shot,0.71,-0.85,4.2,-6.1799,-0.8532,-6.9346,-1.6078,1.0615,1.0,1.0
6,A_to_B_zero_shot,0.71,-0.85,4.2,-7.8581,-0.9235,-8.5675,-1.6329,1.0071,1.0,1.0
7,A_to_B_zero_shot,0.71,-0.85,4.2,-9.5615,-0.994,-10.1699,-1.6024,0.8634,1.0,1.0
8,A_to_B_zero_shot,0.71,-0.85,4.2,-10.7476,-0.5777,-12.1401,-1.9702,1.966,1.0,1.0
9,A_to_B_zero_shot,0.71,-0.85,4.2,-13.0677,-0.9277,-14.345,-2.2049,1.8023,1.0,1.0
10,A_to_B_zero_shot,0.71,-0.85,4.2,-15.6393,-1.2943,-16.5565,-2.2115,1.301,1.0,1.0
