step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.6173,0.6173,0.6173,0.6173,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,1.7834,1.1661,1.7834,1.1661,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,3.4503,1.667,3.4503,1.667,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,5.5599,2.1095,5.5599,2.1095,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,8.1089,2.5491,8.1089,2.5491,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,10.9061,2.7971,10.9061,2.7971,0.005,1.0,1.0
7,A_to_A,0.88,0.85,9.8,13.8311,2.925,13.8311,2.925,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,16.8479,3.0168,16.8479,3.0168,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,20.3451,3.4972,20.3451,3.4972,0.005,1.0,1.0
10,A_to_A,0.88,0.85,9.8,24.1093,3.7642,24.1093,3.7642,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,27.9137,3.8044,27.9137,3.8044,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,31.7119,3.7982,31.7119,3.7982,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,35.5601,3.8482,35.5601,3.8482,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,39.5687,4.0086,39.5687,4.0086,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,43.7085,4.1398,43.7085,4.1398,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,48.0487,4.3402,48.0487,4.3402,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,52.5055,4.4567,52.5055,4.4567,0.005,1.0,1.0
18,A_to_A,0.88,0.85,9.8,56.9706,4.4652,56.9706,4.4652,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,61.7489,4.7783,61.7489,4.7783,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,66.6797,4.9308,66.6797,4.9308,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,71.5778,4.8981,71.5778,4.8981,0.005,1.0,1.0
22,A_to_A,0.88,0.85,9.8,76.3429,4.7651,76.3429,4.7651,0.005,1.0,1.0
23,A_to_A,0.88,0.85,9.8,81.2869,4.944,81.2869,4.944,0.005,1.0,1.0
24,A_to_A,0.88,0.85,9.8,86.2269,4.94,86.2269,4.94,0.005,1.0,1.0
25,A_to_A,0.88,0.85,9.8,91.4062,5.1794,91.4062,5.1794,0.005,1.0,1.0
26,A_to_A,0.88,0.85,9.8,96.4782,5.072,96.4782,5.072,0.005,1.0,1.0
27,A_to_A,0.88,0.85,9.8,101.7534,5.2752,101.7534,5.2752,0.005,1.0,1.0
28,A_to_A,0.88,0.85,9.8,106.9895,5.2361,106.9895,5.2361,0.005,1.0,1.0
29,A_to_A,0.88,0.85,9.8,112.0532,5.0638,112.0532,5.0638,0.005,1.0,1.0
30,A_to_A,0.88,0.85,9.8,117.049,4.9958,117.049,4.9958,0.005,1.0,1.0
31,A_to_A,0.88,0.85,9.8,121.9074,4.8583,121.9074,4.8583,0.005,1.0,1.0
32,A_to_A,0.88,0.85,9.8,126.9299,5.0225,126.9299,5.0225,0.005,1.0,1.0
33,A_to_A,0.88,0.85,9.8,131.8248,4.8949,131.8248,4.8949,0.005,1.0,1.0
34,A_to_A,0.88,0.85,9.8,136.5828,4.758,136.5828,4.758,0.005,1.0,1.0
35,A_to_A,0.88,0.85,9.8,141.5336,4.9508,141.5336,4.9508,0.005,1.0,1.0
36,A_to_A,0.88,0.85,9.8,146.5054,4.9718,146.5054,4.9718,0.005,1.0,1.0
37,A_to_A,0.88,0.85,9.8,151.3867,4.8813,151.3867,4.8813,0.005,1.0,1.0
38,A_to_A,0.88,0.85,9.8,156.3808,4.9941,156.3808,4.9941,0.005,1.0,1.0
39,A_to_A,0.88,0.85,9.8,161.2501,4.8693,161.2501,4.8693,0.005,1.0,1.0
40,A_to_A,0.88,0.85,9.8,166.0747,4.8247,166.0747,4.8247,0.005,1.0,1.0
1,A_to_B_zero_shot,0.71,-0.85,4.2,0.8376,0.8376,-0.8376,-0.8376,2.3706,1.0,1.0
2,A_to_B_zero_shot,0.71,-0.85,4.2,-0.7737,0.0639,-2.2334,-1.3958,2.0604,1.0,1.0
3,A_to_B_zero_shot,0.71,-0.85,4.2,-2.9472,-0.7137,-3.739,-1.5056,1.1121,1.0,1.0
4,A_to_B_zero_shot,0.71,-0.85,4.2,-4.3661,-0.6271,-5.5057,-1.7667,1.6177,1.0,1.0
5,A_to_B_zero_shot,0.71,-0.85,4.2,-6.5928,-1.0871,-7.2278,-1.722,0.9014,1.0,1.0
6,A_to_B_zero_shot,0.71,-0.85,4.2,-8.2084,-0.9806,-8.9852,-1.7574,1.0983,1.0,1.0
7,A_to_B_zero_shot,0.71,-0.85,4.2,-9.7783,-0.7931,-10.9863,-2.0011,1.7064,1.0,1.0
8,A_to_B_zero_shot,0.71,-0.85,4.2,-12.2911,-1.3048,-12.8633,-1.877,0.8129,1.0,1.0
9,A_to_B_zero_shot,0.71,-0.85,4.2,-14.0518,-1.1885,-14.6593,-1.796,0.8559,1.0,1.0
10,A_to_B_zero_shot,0.71,-0.85,4.2,-15.5592,-0.8999,-16.615,-1.9557,1.4912,1.0,1.0
11,A_to_B_zero_shot,0.71,-0.85,4.2,-17.753,-1.138,-18.5865,-1.9715,1.1666,1.0,1.0
12,A_to_B_zero_shot,0.71,-0.85,4.2,-19.6909,-1.1043,-20.6169,-2.0304,1.3132,1.0,1.0
13,A_to_B_zero_shot,0.71,-0.85,4.2,-21.7344,-1.1175,-22.7276,-2.1107,1.4068,1.0,1.0
14,A_to_B_zero_shot,0.71,-0.85,4.2,-24.0946,-1.3669,-24.7167,-1.9891,0.8775,1.0,1.0
15,A_to_B_zero_shot,0.71,-0.85,4.2,-25.6561,-0.9394,-26.9401,-2.2234,1.8174,1.0,1.0
16,A_to_B_zero_shot,0.71,-0.85,4.2,-28.391,-1.4509,-29.0244,-2.0843,0.8923,1.0,1.0
17,A_to_B_zero_shot,0.71,-0.85,4.2,-30.1193,-1.0949,-31.2434,-2.2191,1.5929,1.0,1.0
18,A_to_B_zero_shot,0.71,-0.85,4.2,-32.3674,-1.124,-33.6478,-2.4044,1.8095,1.0,1.0
19,A_to_B_zero_shot,0.71,-0.85,4.2,-34.9637,-1.3159,-36.1548,-2.507,1.6803,1.0,1.0
20,A_to_B_zero_shot,0.71,-0.85,4.2,-37.8919,-1.737,-38.4039,-2.2491,0.721,1.0,1.0
21,A_to_B_zero_shot,0.71,-0.85,4.2,-39.9417,-1.5378,-40.4423,-2.0383,0.7115,1.0,1.0
22,A_to_B_zero_shot,0.71,-0.85,4.2,-41.5115,-1.0693,-42.6139,-2.1717,1.5581,1.0,1.0
23,A_to_B_zero_shot,0.71,-0.85,4.2,-43.9907,-1.3768,-44.69,-2.0761,0.9919,1.0,1.0
24,A_to_B_zero_shot,0.71,-0.85,4.2,-45.9673,-1.2772,-46.7137,-2.0237,1.0497,1.0,1.0
25,A_to_B_zero_shot,0.71,-0.85,4.2,-47.9951,-1.2813,-48.6501,-1.9364,0.9261,1.0,1.0
26,A_to_B_zero_shot,0.71,-0.85,4.2,-49.8321,-1.182,-50.5471,-1.8969,1.0092,1.0,1.0
27,A_to_B_zero_shot,0.71,-0.85,4.2,-51.5536,-1.0066,-52.5566,-2.0095,1.4226,1.0,1.0
28,A_to_B_zero_shot,0.71,-0.85,4.2,-53.7809,-1.2243,-54.5275,-1.9709,1.0503,1.0,1.0
29,A_to_B_zero_shot,0.71,-0.85,4.2,-55.447,-0.9195,-56.7417,-2.2142,1.8313,1.0,1.0
30,A_to_B_zero_shot,0.71,-0.85,4.2,-58.1508,-1.4091,-58.8532,-2.1115,0.9942,1.0,1.0
31,A_to_B_zero_shot,0.71,-0.85,4.2,-60.0968,-1.2437,-60.9667,-2.1136,1.2331,1.0,1.0
32,A_to_B_zero_shot,0.71,-0.85,4.2,-62.245,-1.2782,-63.0491,-2.0824,1.1384,1.0,1.0
33,A_to_B_zero_shot,0.71,-0.85,4.2,-64.2134,-1.1643,-65.1958,-2.1467,1.3925,1.0,1.0
34,A_to_B_zero_shot,0.71,-0.85,4.2,-66.2812,-1.0854,-67.5236,-2.3278,1.7605,1.0,1.0
35,A_to_B_zero_shot,0.71,-0.85,4.2,-68.7303,-1.2067,-70.018,-2.4944,1.8168,1.0,1.0
36,A_to_B_zero_shot,0.71,-0.85,4.2,-71.5397,-1.5217,-72.4624,-2.4444,1.2985,1.0,1.0
37,A_to_B_zero_shot,0.71,-0.85,4.2,-74.1289,-1.6665,-74.6826,-2.2202,0.784,1.0,1.0
38,A_to_B_zero_shot,0.71,-0.85,4.2,-75.8245,-1.1419,-77.0708,-2.3882,1.7627,1.0,1.0
39,A_to_B_zero_shot,0.71,-0.85,4.2,-78.4495,-1.3787,-79.4893,-2.4185,1.4716,1.0,1.0
40,A_to_B_zero_shot,0.71,-0.85,4.2,-80.9222,-1.4329,-81.9018,-2.4125,1.3851,1.0,1.0
1,A_to_C_zero_shot,0.12,0.51,15.7,0.63,0.63,0.378,0.378,0.3558,1.0,1.0
2,A_to_C_zero_shot,0.12,0.51,15.7,1.5603,1.1823,0.9332,0.5552,0.8826,1.0,1.0
3,A_to_C_zero_shot,0.12,0.51,15.7,1.8787,0.9456,1.274,0.3408,0.8474,1.0,1.0
4,A_to_C_zero_shot,0.12,0.51,15.7,2.3815,1.1075,1.7994,0.5254,0.8208,1.0,1.0
5,A_to_C_zero_shot,0.12,0.51,15.7,3.0001,1.2007,2.3054,0.506,0.9798,1.0,1.0
6,A_to_C_zero_shot,0.12,0.51,15.7,3.5646,1.2592,2.8545,0.549,0.9958,1.0,1.0
7,A_to_C_zero_shot,0.12,0.51,15.7,3.9122,1.0577,3.2651,0.4106,0.9109,1.0,1.0
8,A_to_C_zero_shot,0.12,0.51,15.7,4.4216,1.1565,3.7915,0.5264,0.8813,1.0,1.0
9,A_to_C_zero_shot,0.12,0.51,15.7,4.857,1.0655,4.216,0.4245,0.909,1.0,1.0
10,A_to_C_zero_shot,0.12,0.51,15.7,5.2581,1.042,4.668,0.452,0.8248,1.0,1.0
