step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.6498,0.6498,0.6498,0.6498,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,2.0285,1.3787,2.0285,1.3787,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,4.0418,2.0132,4.0418,2.0132,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,6.4186,2.3769,6.4186,2.3769,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,9.0654,2.6468,9.0654,2.6468,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,11.8854,2.82,11.8854,2.82,0.005,1.0,1.0
7,A_to_A,0.88,0.85,9.8,14.9085,3.0231,14.9085,3.0231,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,18.3137,3.4052,18.3137,3.4052,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,21.772,3.4583,21.772,3.4583,0.005,1.0,1.0
10,A_to_A,0.88,0.85,9.8,25.4749,3.7029,25.4749,3.7029,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,29.515,4.0401,29.515,4.0401,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,33.7455,4.2305,33.7455,4.2305,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,38.1639,4.4184,38.1639,4.4184,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,42.5647,4.4008,42.5647,4.4008,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,47.0898,4.5252,47.0898,4.5252,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,51.6636,4.5737,51.6636,4.5737,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,56.2936,4.63,56.2936,4.63,0.005,1.0,1.0
18,A_to_A,0.88,0.85,9.8,61.04,4.7464,61.04,4.7464,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,65.96,4.92,65.96,4.92,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,70.7644,4.8044,70.7644,4.8044,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,75.5374,4.7731,75.5374,4.7731,0.005,1.0,1.0
22,A_to_A,0.88,0.85,9.8,80.335,4.7976,80.335,4.7976,0.005,1.0,1.0
23,A_to_A,0.88,0.85,9.8,85.312,4.9769,85.312,4.9769,0.005,1.0,1.0
24,A_to_A,0.88,0.85,9.8,90.1551,4.8431,90.1551,4.8431,0.005,1.0,1.0
25,A_to_A,0.88,0.85,9.8,95.1569,5.0018,95.1569,5.0018,0.005,1.0,1.0
26,A_to_A,0.88,0.85,9.8,100.1798,5.0229,100.1798,5.0229,0.005,1.0,1.0
27,A_to_A,0.88,0.85,9.8,105.0805,4.9008,105.0805,4.9008,0.005,1.0,1.0
28,A_to_A,0.88,0.85,9.8,109.9441,4.8636,109.9441,4.8636,0.005,1.0,1.0
29,A_to_A,0.88,0.85,9.8,114.6781,4.734,114.6781,4.734,0.005,1.0,1.0
30,A_to_A,0.88,0.85,9.8,119.492,4.8139,119.492,4.8139,0.005,1.0,1.0
31,A_to_A,0.88,0.85,9.8,124.326,4.834,124.326,4.834,0.005,1.0,1.0
32,A_to_A,0.88,0.85,9.8,129.1364,4.8104,129.1364,4.8104,0.005,1.0,1.0
33,A_to_A,0.88,0.85,9.8,134.0204,4.884,134.0204,4.884,0.005,1.0,1.0
34,A_to_A,0.88,0.85,9.8,139.1537,5.1333,139.1537,5.1333,0.005,1.0,1.0
35,A_to_A,0.88,0.85,9.8,144.3551,5.2013,144.3551,5.2013,0.005,1.0,1.0
36,A_to_A,0.88,0.85,9.8,149.6692,5.3142,149.6692,5.3142,0.005,1.0,1.0
37,A_to_A,0.88,0.85,9.8,154.9135,5.2443,154.9135,5.2443,0.005,1.0,1.0
38,A_to_A,0.88,0.85,9.8,160.2688,5.3552,160.2688,5.3552,0.005,1.0,1.0
39,A_to_A,0.88,0.85,9.8,165.5517,5.2829,165.5517,5.2829,0.005,1.0,1.0
40,A_to_A,0.88,0.85,9.8,171.0226,5.4709,171.0226,5.4709,0.005,1.0,1.0
1,A_to_B_zero_shot,0.71,-0.85,4.2,0.6863,0.6863,-0.6863,-0.6863,1.9406,1.0,1.0
2,A_to_B_zero_shot,0.71,-0.85,4.2,-0.8406,-0.1544,-1.623,-0.9368,1.1127,1.0,1.0
3,A_to_B_zero_shot,0.71,-0.85,4.2,-1.9079,-0.2848,-2.8277,-1.2047,1.2875,1.0,1.0
4,A_to_B_zero_shot,0.71,-0.85,4.2,-3.0981,-0.2704,-4.4728,-1.645,1.9439,1.0,1.0
5,A_to_B_zero_shot,0.71,-0.85,4.2,-5.2627,-0.7899,-6.2985,-1.8257,1.4651,1.0,1.0
6,A_to_B_zero_shot,0.71,-0.85,4.2,-7.185,-0.8866,-8.3148,-2.0163,1.5939,1.0,1.0
7,A_to_B_zero_shot,0.71,-0.85,4.2,-9.2407,-0.9259,-10.5947,-2.2799,1.9214,1.0,1.0
8,A_to_B_zero_shot,0.71,-0.85,4.2,-11.7572,-1.1626,-13.0572,-2.4625,1.848,1.0,1.0
9,A_to_B_zero_shot,0.71,-0.85,4.2,-14.6429,-1.5856,-15.387,-2.3298,1.0583,1.0,1.0
10,A_to_B_zero_shot,0.71,-0.85,4.2,-16.9494,-1.5624,-17.529,-2.142,0.8058,1.0,1.0
11,A_to_B_zero_shot,0.71,-0.85,4.2,-18.7914,-1.2624,-19.6723,-2.1433,1.2385,1.0,1.0
12,A_to_B_zero_shot,0.71,-0.85,4.2,-21.0204,-1.3481,-21.7322,-2.0598,1.0016,1.0,1.0
13,A_to_B_zero_shot,0.71,-0.85,4.2,-22.8003,-1.0681,-23.9392,-2.207,1.6078,1.0,1.0
14,A_to_B_zero_shot,0.71,-0.85,4.2,-25.1442,-1.205,-26.2433,-2.3041,1.545,1.0,1.0
15,A_to_B_zero_shot,0.71,-0.85,4.2,-27.48,-1.2367,-28.6701,-2.4268,1.6781,1.0,1.0
16,A_to_B_zero_shot,0.71,-0.85,4.2,-30.1845,-1.5144,-31.0144,-2.3443,1.1699,1.0,1.0
17,A_to_B_zero_shot,0.71,-0.85,4.2,-32.4795,-1.4651,-33.2767,-2.2623,1.1218,1.0,1.0
