step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.5142,0.5142,0.5142,0.5142,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,1.5598,1.0456,1.5598,1.0456,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,3.1441,1.5843,3.1441,1.5843,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,5.1146,1.9705,5.1146,1.9705,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,7.3494,2.2348,7.3494,2.2348,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,10.1162,2.7668,10.1162,2.7668,0.005,1.0,1.0
7,A_to_A,0.88,0.85,9.8,13.0074,2.8911,13.0074,2.8911,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,16.156,3.1486,16.156,3.1486,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,19.6715,3.5155,19.6715,3.5155,0.005,1.0,1.0
10,A_to_A,0.88,0.85,9.8,23.3175,3.6461,23.3175,3.6461,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,27.2555,3.9379,27.2555,3.9379,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,31.2821,4.0266,31.2821,4.0266,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,35.2508,3.9687,35.2508,3.9687,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,39.2481,3.9973,39.2481,3.9973,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,43.4542,4.206,43.4542,4.206,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,47.8497,4.3956,47.8497,4.3956,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,52.4832,4.6335,52.4832,4.6335,0.005,1.0,1.0
18,A_to_A,0.88,0.85,9.8,57.1503,4.6671,57.1503,4.6671,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,61.8316,4.6813,61.8316,4.6813,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,66.4494,4.6178,66.4494,4.6178,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,71.335,4.8856,71.335,4.8856,0.005,1.0,1.0
22,A_to_A,0.88,0.85,9.8,76.3533,5.0183,76.3533,5.0183,0.005,1.0,1.0
23,A_to_A,0.88,0.85,9.8,81.4911,5.1379,81.4911,5.1379,0.005,1.0,1.0
24,A_to_A,0.88,0.85,9.8,86.7491,5.258,86.7491,5.258,0.005,1.0,1.0
25,A_to_A,0.88,0.85,9.8,92.0019,5.2528,92.0019,5.2528,0.005,1.0,1.0
26,A_to_A,0.88,0.85,9.8,97.0638,5.0619,97.0638,5.0619,0.005,1.0,1.0
27,A_to_A,0.88,0.85,9.8,102.2507,5.1869,102.2507,5.1869,0.005,1.0,1.0
28,A_to_A,0.88,0.85,9.8,107.4975,5.2468,107.4975,5.2468,0.005,1.0,1.0
29,A_to_A,0.88,0.85,9.8,112.7907,5.2932,112.7907,5.2932,0.005,1.0,1.0
30,A_to_A,0.88,0.85,9.8,118.2215,5.4308,118.2215,5.4308,0.005,1.0,1.0
31,A_to_A,0.88,0.85,9.8,123.8046,5.5832,123.8046,5.5832,0.005,1.0,1.0
32,A_to_A,0.88,0.85,9.8,129.3731,5.5684,129.3731,5.5684,0.005,1.0,1.0
33,A_to_A,0.88,0.85,9.8,134.973,5.5999,134.973,5.5999,0.005,1.0,1.0
34,A_to_A,0.88,0.85,9.8,140.4223,5.4493,140.4223,5.4493,0.005,1.0,1.0
35,A_to_A,0.88,0.85,9.8,146.0182,5.5958,146.0182,5.5958,0.005,1.0,1.0
36,A_to_A,0.88,0.85,9.8,151.4055,5.3873,151.4055,5.3873,0.005,1.0,1.0
37,A_to_A,0.88,0.85,9.8,156.902,5.4965,156.902,5.4965,0.005,1.0,1.0
38,A_to_A,0.88,0.85,9.8,162.5598,5.6578,162.5598,5.6578,0.005,1.0,1.0
39,A_to_A,0.88,0.85,9.8,168.0831,5.5233,168.0831,5.5233,0.005,1.0,1.0
40,A_to_A,0.88,0.85,9.8,173.5816,5.4985,173.5816,5.4985,0.005,1.0,1.0
1,A_to_B_zero_shot,0.71,-0.85,4.2,0.5055,0.5055,-0.5055,-0.5055,1.4306,1.0,1.0
