step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.658,0.658,0.658,0.658,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,1.7846,1.1267,1.7846,1.1267,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,3.418,1.6333,3.418,1.6333,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,5.6942,2.2762,5.6942,2.2762,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,8.1664,2.4722,8.1664,2.4722,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,10.9154,2.7491,10.9154,2.7491,0.005,1.0,1.0
7,A_to_A,0.88,0.85,9.8,14.1841,3.2687,14.1841,3.2687,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,17.6639,3.4798,17.6639,3.4798,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,21.4615,3.7976,21.4615,3.7976,0.005,1.0,1.0
10,A_to_A,0.88,0.85,9.8,25.4128,3.9513,25.4128,3.9513,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,29.4884,4.0756,29.4884,4.0756,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,33.5834,4.095,33.5834,4.095,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,37.8984,4.315,37.8984,4.315,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,42.214,4.3156,42.214,4.3156,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,46.6113,4.3973,46.6113,4.3973,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,51.2257,4.6144,51.2257,4.6144,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,56.0329,4.8073,56.0329,4.8073,0.005,1.0,1.0
18,A_to_A,0.88,0.85,9.8,60.8572,4.8242,60.8572,4.8242,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,65.7901,4.933,65.7901,4.933,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,70.9546,5.1645,70.9546,5.1645,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,76.0805,5.1258,76.0805,5.1258,0.005,1.0,1.0
22,A_to_A,0.88,0.85,9.8,81.161,5.0805,81.161,5.0805,0.005,1.0,1.0
23,A_to_A,0.88,0.85,9.8,86.0863,4.9253,86.0863,4.9253,0.005,1.0,1.0
24,A_to_A,0.88,0.85,9.8,91.124,5.0378,91.124,5.0378,0.005,1.0,1.0
25,A_to_A,0.88,0.85,9.8,96.1806,5.0565,96.1806,5.0565,0.005,1.0,1.0
26,A_to_A,0.88,0.85,9.8,101.1918,5.0112,101.1918,5.0112,0.005,1.0,1.0
27,A_to_A,0.88,0.85,9.8,106.3985,5.2067,106.3985,5.2067,0.005,1.0,1.0
28,A_to_A,0.88,0.85,9.8,111.7175,5.319,111.7175,5.319,0.005,1.0,1.0
29,A_to_A,0.88,0.85,9.8,117.2335,5.5161,117.2335,5.5161,0.005,1.0,1.0
30,A_to_A,0.88,0.85,9.8,122.9259,5.6924,122.9259,5.6924,0.005,1.0,1.0
31,A_to_A,0.88,0.85,9.8,128.3695,5.4436,128.3695,5.4436,0.005,1.0,1.0
32,A_to_A,0.88,0.85,9.8,133.6427,5.2731,133.6427,5.2731,0.005,1.0,1.0
33,A_to_A,0.88,0.85,9.8,138.7721,5.1294,138.7721,5.1294,0.005,1.0,1.0
34,A_to_A,0.88,0.85,9.8,144.0806,5.3085,144.0806,5.3085,0.005,1.0,1.0
35,A_to_A,0.88,0.85,9.8,149.485,5.4044,149.485,5.4044,0.005,1.0,1.0
36,A_to_A,0.88,0.85,9.8,154.669,5.184,154.669,5.184,0.005,1.0,1.0
37,A_to_A,0.88,0.85,9.8,159.9228,5.2538,159.9228,5.2538,0.005,1.0,1.0
38,A_to_A,0.88,0.85,9.8,165.1899,5.2671,165.1899,5.2671,0.005,1.0,1.0
39,A_to_A,0.88,0.85,9.8,170.2535,5.0636,170.2535,5.0636,0.005,1.0,1.0
40,A_to_A,0.88,0.85,9.8,175.2325,4.979,175.2325,4.979,0.005,1.0,1.0
1,A_to_B_zero_shot,0.71,-0.85,4.2,0.4368,0.4368,-0.4368,-0.4368,1.2374,1.0,1.0
2,A_to_B_zero_shot,0.71,-0.85,4.2,-0.3422,0.0946,-1.2258,-0.789,1.2551,1.0,1.0
3,A_to_B_zero_shot,0.71,-0.85,4.2,-1.4472,-0.2214,-2.2589,-1.0331,1.1486,1.0,1.0
4,A_to_B_zero_shot,0.71,-0.85,4.2,-2.4101,-0.1512,-3.7504,-1.4915,1.8967,1.0,1.0
5,A_to_B_zero_shot,0.71,-0.85,4.2,-4.2701,-0.5196,-5.6023,-1.8519,1.8862,1.0,1.0
6,A_to_B_zero_shot,0.71,-0.85,4.2,-6.4345,-0.8322,-7.7145,-2.1122,1.817,1.0,1.0
7,A_to_B_zero_shot,0.71,-0.85,4.2,-9.0448,-1.3302,-9.7428,-2.0282,0.9819,1.0,1.0
8,A_to_B_zero_shot,0.71,-0.85,4.2,-10.7788,-1.036,-11.9316,-2.1888,1.6393,1.0,1.0
9,A_to_B_zero_shot,0.71,-0.85,4.2,-13.1688,-1.2372,-14.1747,-2.2431,1.4243,1.0,1.0
10,A_to_B_zero_shot,0.71,-0.85,4.2,-15.5898,-1.4151,-16.3261,-2.1514,1.035,1.0,1.0
11,A_to_B_zero_shot,0.71,-0.85,4.2,-17.5031,-1.177,-18.5698,-2.2437,1.5089,1.0,1.0
12,A_to_B_zero_shot,0.71,-0.85,4.2,-19.9824,-1.4126,-20.7247,-2.1549,1.0482,1.0,1.0
13,A_to_B_zero_shot,0.71,-0.85,4.2,-22.071,-1.3462,-22.8048,-2.0801,1.0409,1.0,1.0
14,A_to_B_zero_shot,0.71,-0.85,4.2,-23.924,-1.1192,-24.993,-2.1882,1.5091,1.0,1.0
15,A_to_B_zero_shot,0.71,-0.85,4.2,-26.3088,-1.3158,-27.1564,-2.1634,1.1945,1.0,1.0
16,A_to_B_zero_shot,0.71,-0.85,4.2,-28.2548,-1.0984,-29.4978,-2.3414,1.7619,1.0,1.0
17,A_to_B_zero_shot,0.71,-0.85,4.2,-30.8535,-1.3557,-31.8649,-2.3671,1.4282,1.0,1.0
18,A_to_B_zero_shot,0.71,-0.85,4.2,-33.3766,-1.5117,-34.1169,-2.252,1.0488,1.0,1.0
19,A_to_B_zero_shot,0.71,-0.85,4.2,-35.4736,-1.3567,-36.341,-2.2241,1.2157,1.0,1.0
20,A_to_B_zero_shot,0.71,-0.85,4.2,-37.7351,-1.3941,-38.4832,-2.1422,1.0436,1.0,1.0
21,A_to_B_zero_shot,0.71,-0.85,4.2,-39.5437,-1.0606,-40.8286,-2.3455,1.8217,1.0,1.0
22,A_to_B_zero_shot,0.71,-0.85,4.2,-42.3732,-1.5446,-43.0133,-2.1847,0.9024,1.0,1.0
23,A_to_B_zero_shot,0.71,-0.85,4.2,-44.4114,-1.3981,-45.089,-2.0756,0.9609,1.0,1.0
24,A_to_B_zero_shot,0.71,-0.85,4.2,-46.215,-1.126,-47.2632,-2.1742,1.4809,1.0,1.0
25,A_to_B_zero_shot,0.71,-0.85,4.2,-48.4742,-1.211,-49.5091,-2.2459,1.4642,1.0,1.0
26,A_to_B_zero_shot,0.71,-0.85,4.2,-50.7893,-1.2802,-51.8,-2.2909,1.4304,1.0,1.0
27,A_to_B_zero_shot,0.71,-0.85,4.2,-53.3685,-1.5685,-53.874,-2.074,0.7022,1.0,1.0
28,A_to_B_zero_shot,0.71,-0.85,4.2,-55.0771,-1.2031,-55.9686,-2.0946,1.2568,1.0,1.0
29,A_to_B_zero_shot,0.71,-0.85,4.2,-57.2543,-1.2857,-58.0134,-2.0448,1.0769,1.0,1.0
30,A_to_B_zero_shot,0.71,-0.85,4.2,-59.2518,-1.2383,-60.0264,-2.0129,1.0981,1.0,1.0
31,A_to_B_zero_shot,0.71,-0.85,4.2,-61.323,-1.2966,-61.9303,-1.9039,0.8569,1.0,1.0
32,A_to_B_zero_shot,0.71,-0.85,4.2,-62.8757,-0.9454,-64.0122,-2.0819,1.6008,1.0,1.0
33,A_to_B_zero_shot,0.71,-0.85,4.2,-65.3737,-1.3615,-65.9609,-1.9487,0.8303,1.0,1.0
34,A_to_B_zero_shot,0.71,-0.85,4.2,-67.247,-1.2861,-67.7732,-1.8123,0.7556,1.0,1.0
35,A_to_B_zero_shot,0.71,-0.85,4.2,-68.7858,-1.0127,-69.6421,-1.8689,1.2124,1.0,1.0
36,A_to_B_zero_shot,0.71,-0.85,4.2,-70.7682,-1.1261,-71.4876,-1.8455,1.014,1.0,1.0
37,A_to_B_zero_shot,0.71,-0.85,4.2,-72.4157,-0.9281,-73.4937,-2.0062,1.5246,1.0,1.0
38,A_to_B_zero_shot,0.71,-0.85,4.2,-74.6677,-1.174,-75.5096,-2.0158,1.195,1.0,1.0
39,A_to_B_zero_shot,0.71,-0.85,4.2,-76.7316,-1.222,-77.4928,-1.9832,1.0721,1.0,1.0
40,A_to_B_zero_shot,0.71,-0.85,4.2,-78.4895,-0.9967,-79.6493,-2.1565,1.6333,1.0,1.0
1,A_to_C_zero_shot,0.12,0.51,15.7,0.8417,0.8417,0.505,0.505,0.4796,1.0,1.0
2,A_to_C_zero_shot,0.12,0.51,15.7,1.7937,1.2887,1.0722,0.5672,1.0221,1.0,1.0
3,A_to_C_zero_shot,0.12,0.51,15.7,2.3354,1.2633,1.5987,0.5266,1.0421,1.0,1.0
4,A_to_C_zero_shot,0.12,0.51,15.7,2.5416,0.9429,1.9496,0.3509,0.8337,1.0,1.0
5,A_to_C_zero_shot,0.12,0.51,15.7,2.8005,0.8508,2.317,0.3673,0.6903,1.0,1.0
6,A_to_C_zero_shot,0.12,0.51,15.7,3.2212,0.9042,2.7096,0.3927,0.7182,1.0,1.0
7,A_to_C_zero_shot,0.12,0.51,15.7,3.7601,1.0505,3.1797,0.4701,0.8204,1.0,1.0
8,A_to_C_zero_shot,0.12,0.51,15.7,4.0636,0.8839,3.5182,0.3385,0.7671,1.0,1.0
9,A_to_C_zero_shot,0.12,0.51,15.7,4.5859,1.0676,4.0207,0.5025,0.7969,1.0,1.0
10,A_to_C_zero_shot,0.12,0.51,15.7,5.2035,1.1828,4.5254,0.5047,0.9503,1.0,1.0
11,A_to_C_zero_shot,0.12,0.51,15.7,5.5498,1.0244,4.9341,0.4087,0.868,1.0,1.0
12,A_to_C_zero_shot,0.12,0.51,15.7,6.1028,1.1687,5.4686,0.5345,0.893,1.0,1.0
13,A_to_C_zero_shot,0.12,0.51,15.7,6.4166,0.948,5.8193,0.3507,0.8431,1.0,1.0
14,A_to_C_zero_shot,0.12,0.51,15.7,6.9395,1.1202,6.3484,0.529,0.8317,1.0,1.0
15,A_to_C_zero_shot,0.12,0.51,15.7,7.5805,1.2322,6.8718,0.5235,1.0027,1.0,1.0
16,A_to_C_zero_shot,0.12,0.51,15.7,7.8568,0.985,7.2492,0.3774,0.86,1.0,1.0
17,A_to_C_zero_shot,0.12,0.51,15.7,8.4149,1.1657,7.7947,0.5454,0.8781,1.0,1.0
18,A_to_C_zero_shot,0.12,0.51,15.7,8.7886,0.994,8.1685,0.3738,0.8692,1.0,1.0
19,A_to_C_zero_shot,0.12,0.51,15.7,9.0127,0.8442,8.5225,0.354,0.6874,1.0,1.0
20,A_to_C_zero_shot,0.12,0.51,15.7,9.5209,0.9984,8.9771,0.4546,0.7711,1.0,1.0
21,A_to_C_zero_shot,0.12,0.51,15.7,9.8277,0.8505,9.302,0.3248,0.7455,1.0,1.0
22,A_to_C_zero_shot,0.12,0.51,15.7,10.3163,1.0144,9.7781,0.4761,0.7581,1.0,1.0
23,A_to_C_zero_shot,0.12,0.51,15.7,10.7569,0.9788,10.1711,0.393,0.8255,1.0,1.0
24,A_to_C_zero_shot,0.12,0.51,15.7,11.0342,0.8631,10.5286,0.3575,0.7247,1.0,1.0
25,A_to_C_zero_shot,0.12,0.51,15.7,11.4823,0.9537,10.955,0.4264,0.7524,1.0,1.0
26,A_to_C_zero_shot,0.12,0.51,15.7,12.0605,1.1056,11.4443,0.4894,0.8648,1.0,1.0
27,A_to_C_zero_shot,0.12,0.51,15.7,12.4032,0.9589,11.82,0.3757,0.8209,1.0,1.0
28,A_to_C_zero_shot,0.12,0.51,15.7,12.7051,0.8851,12.1978,0.3778,0.7134,1.0,1.0
29,A_to_C_zero_shot,0.12,0.51,15.7,13.2833,1.0855,12.695,0.4972,0.8272,1.0,1.0
30,A_to_C_zero_shot,0.12,0.51,15.7,13.738,1.0431,13.118,0.423,0.8675,1.0,1.0
31,A_to_C_zero_shot,0.12,0.51,15.7,13.9763,0.8584,13.4604,0.3424,0.7285,1.0,1.0
32,A_to_C_zero_shot,0.12,0.51,15.7,14.4854,1.025,13.9357,0.4753,0.7855,1.0,1.0
33,A_to_C_zero_shot,0.12,0.51,15.7,15.0521,1.1165,14.4116,0.476,0.9005,1.0,1.0
34,A_to_C_zero_shot,0.12,0.51,15.7,15.2847,0.873,14.7413,0.3296,0.7725,1.0,1.0
35,A_to_C_zero_shot,0.12,0.51,15.7,15.4949,0.7536,15.0589,0.3177,0.6173,1.0,1.0
36,A_to_C_zero_shot,0.12,0.51,15.7,16.0282,0.9693,15.5109,0.452,0.7293,1.0,1.0
37,A_to_C_zero_shot,0.12,0.51,15.7,16.4608,0.9499,15.8964,0.3855,0.8023,1.0,1.0
38,A_to_C_zero_shot,0.12,0.51,15.7,17.0362,1.1398,16.423,0.5266,0.8749,1.0,1.0
39,A_to_C_zero_shot,0.12,0.51,15.7,17.446,1.023,16.822,0.399,0.8858,1.0,1.0
40,A_to_C_zero_shot,0.12,0.51,15.7,17.6459,0.824,17.1536,0.3316,0.7008,1.0,1.0
1,A_to_B_prime_adapt,0.71,-0.85,4.2,0.8331,0.8331,-0.8331,-0.8331,2.3576,0.6,1.0
2,A_to_B_prime_adapt,0.71,-0.85,4.2,-1.0719,-0.2388,-1.9189,-1.0858,1.198,0.28,1.0
3,A_to_B_prime_adapt,0.71,-0.85,4.2,-2.4484,-0.5295,-3.1159,-1.1969,0.9454,0.024,1.0
4,A_to_B_prime_adapt,0.71,-0.85,4.2,-3.4441,-0.3283,-4.6907,-1.5749,1.7629,-0.1808,1.0
5,A_to_B_prime_adapt,0.71,-0.85,4.2,-5.3245,-0.6337,-6.561,-1.8703,1.7491,-0.3446,1.0
6,A_to_B_prime_adapt,0.71,-0.85,4.2,-7.4997,-0.9387,-8.5961,-2.0351,1.5492,-0.4757,1.0
7,A_to_B_prime_adapt,0.71,-0.85,4.2,-9.8278,-1.2317,-10.6002,-2.0041,1.0936,-0.5806,-1.0
8,A_to_B_prime_adapt,0.71,-0.85,4.2,-13.215,-2.6148,-12.7604,-2.1603,0.6437,-0.6645,-1.0
9,A_to_B_prime_adapt,0.71,-0.85,4.2,-15.4496,-2.6891,-15.0329,-2.2725,0.589,-0.7316,-1.0
10,A_to_B_prime_adapt,0.71,-0.85,4.2,-17.719,-2.6861,-17.3463,-2.3134,0.5267,-0.7853,-1.0
11,A_to_B_prime_adapt,0.71,-0.85,4.2,-19.7729,-2.4266,-19.4503,-2.104,0.4563,-0.8282,-1.0
12,A_to_B_prime_adapt,0.71,-0.85,4.2,-21.731,-2.2807,-21.4816,-2.0312,0.3527,-0.8626,-1.0
13,A_to_B_prime_adapt,0.71,-0.85,4.2,-23.7803,-2.2987,-23.5755,-2.094,0.2906,-0.89,-1.0
14,A_to_B_prime_adapt,0.71,-0.85,4.2,-25.7223,-2.1468,-25.5428,-1.9673,0.2528,-0.912,-1.0
15,A_to_B_prime_adapt,0.71,-0.85,4.2,-27.8161,-2.2733,-27.6727,-2.1299,0.2031,-0.9296,-1.0
16,A_to_B_prime_adapt,0.71,-0.85,4.2,-29.895,-2.2223,-29.763,-2.0903,0.1876,-0.9437,-1.0
17,A_to_B_prime_adapt,0.71,-0.85,4.2,-32.1215,-2.3586,-32.0113,-2.2484,0.1561,-0.955,-1.0
18,A_to_B_prime_adapt,0.71,-0.85,4.2,-34.2528,-2.2415,-34.152,-2.1407,0.1434,-0.964,-1.0
19,A_to_B_prime_adapt,0.71,-0.85,4.2,-36.2812,-2.1292,-36.1996,-2.0476,0.1156,-0.9712,-1.0
20,A_to_B_prime_adapt,0.71,-0.85,4.2,-38.2209,-2.0213,-38.1546,-1.9549,0.0948,-0.9769,-1.0
