step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.5253,0.5253,0.5253,0.5253,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,1.4785,0.9531,1.4785,0.9531,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,2.7705,1.292,2.7705,1.292,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,4.6727,1.9022,4.6727,1.9022,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,7.0968,2.4241,7.0968,2.4241,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,9.7726,2.6758,9.7726,2.6758,0.005,1.0,1.0
7,A_to_A,0.88,0.85,9.8,12.6257,2.8531,12.6257,2.8531,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,15.9556,3.3299,15.9556,3.3299,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,19.6632,3.7076,19.6632,3.7076,0.005,1.0,1.0
10,A_to_A,0.88,0.85,9.8,23.4331,3.7699,23.4331,3.7699,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,27.3073,3.8742,27.3073,3.8742,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,31.5048,4.1975,31.5048,4.1975,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,35.9977,4.4928,35.9977,4.4928,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,40.6619,4.6642,40.6619,4.6642,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,45.4064,4.7445,45.4064,4.7445,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,50.0445,4.6381,50.0445,4.6381,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,54.9483,4.9038,54.9483,4.9038,0.005,1.0,1.0
18,A_to_A,0.88,0.85,9.8,59.8162,4.8679,59.8162,4.8679,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,64.9112,5.095,64.9112,5.095,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,70.1803,5.269,70.1803,5.269,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,75.4581,5.2778,75.4581,5.2778,0.005,1.0,1.0
22,A_to_A,0.88,0.85,9.8,80.7107,5.2527,80.7107,5.2527,0.005,1.0,1.0
23,A_to_A,0.88,0.85,9.8,85.8267,5.1159,85.8267,5.1159,0.005,1.0,1.0
24,A_to_A,0.88,0.85,9.8,90.772,4.9454,90.772,4.9454,0.005,1.0,1.0
25,A_to_A,0.88,0.85,9.8,95.5687,4.7966,95.5687,4.7966,0.005,1.0,1.0
26,A_to_A,0.88,0.85,9.8,100.4419,4.8732,100.4419,4.8732,0.005,1.0,1.0
27,A_to_A,0.88,0.85,9.8,105.3556,4.9137,105.3556,4.9137,0.005,1.0,1.0
28,A_to_A,0.88,0.85,9.8,110.1878,4.8322,110.1878,4.8322,0.0057,1.0,1.0
29,A_to_A,0.88,0.85,9.8,115.0406,4.8528,115.0406,4.8528,0.005,1.0,1.0
30,A_to_A,0.88,0.85,9.8,119.8535,4.8129,119.8535,4.8129,0.005,1.0,1.0
31,A_to_A,0.88,0.85,9.8,124.665,4.8116,124.665,4.8116,0.005,1.0,1.0
32,A_to_A,0.88,0.85,9.8,129.5616,4.8965,129.5616,4.8965,0.005,1.0,1.0
33,A_to_A,0.88,0.85,9.8,134.6799,5.1183,134.6799,5.1183,0.005,1.0,1.0
34,A_to_A,0.88,0.85,9.8,139.7062,5.0264,139.7062,5.0264,0.005,1.0,1.0
35,A_to_A,0.88,0.85,9.8,144.8796,5.1734,144.8796,5.1734,0.005,1.0,1.0
36,A_to_A,0.88,0.85,9.8,149.9979,5.1183,149.9979,5.1183,0.005,1.0,1.0
37,A_to_A,0.88,0.85,9.8,155.0025,5.0046,155.0025,5.0046,0.005,1.0,1.0
38,A_to_A,0.88,0.85,9.8,160.1278,5.1254,160.1278,5.1254,0.005,1.0,1.0
39,A_to_A,0.88,0.85,9.8,165.4439,5.3161,165.4439,5.3161,0.005,1.0,1.0
40,A_to_A,0.88,0.85,9.8,170.955,5.5111,170.955,5.5111,0.005,1.0,1.0
1,A_to_B_zero_shot,0.71,-0.85,4.2,0.4327,0.4327,-0.4327,-0.4327,1.2208,1.0,1.0
2,A_to_B_zero_shot,0.71,-0.85,4.2,-0.0591,0.3737,-1.4944,-1.0617,2.0426,1.0,1.0
3,A_to_B_zero_shot,0.71,-0.85,4.2,-1.8293,-0.3349,-2.8477,-1.3532,1.4467,1.0,1.0
4,A_to_B_zero_shot,0.71,-0.85,4.2,-3.2659,-0.4182,-4.5811,-1.7334,1.8575,1.0,1.0
5,A_to_B_zero_shot,0.71,-0.85,4.2,-5.5568,-0.9757,-6.3616,-1.7804,1.14,1.0,1.0
6,A_to_B_zero_shot,0.71,-0.85,4.2,-7.4453,-1.0838,-8.1086,-1.7471,0.9431,1.0,1.0
7,A_to_B_zero_shot,0.71,-0.85,4.2,-9.0589,-0.9502,-9.9363,-1.8276,1.2452,1.0,1.0
8,A_to_B_zero_shot,0.71,-0.85,4.2,-11.1156,-1.1793,-11.6629,-1.7266,0.7729,1.0,1.0
9,A_to_B_zero_shot,0.71,-0.85,4.2,-12.7383,-1.0754,-13.3328,-1.6699,0.8451,1.0,1.0
10,A_to_B_zero_shot,0.71,-0.85,4.2,-14.2232,-0.8904,-15.0976,-1.7648,1.2443,1.0,1.0
11,A_to_B_zero_shot,0.71,-0.85,4.2,-16.1023,-1.0046,-16.899,-1.8014,1.1384,1.0,1.0
