step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.4534,0.4534,0.4534,0.4534,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,1.5971,1.1437,1.5971,1.1437,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,3.2458,1.6487,3.2458,1.6487,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,5.4345,2.1886,5.4345,2.1886,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,7.8511,2.4166,7.8511,2.4166,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,10.617,2.7659,10.617,2.7659,0.005,1.0,1.0
7,A_to_A,0.88,0.85,9.8,13.8397,3.2227,13.8397,3.2227,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,17.2708,3.431,17.2708,3.431,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,20.8208,3.55,20.8208,3.55,0.005,1.0,1.0
10,A_to_A,0.88,0.85,9.8,24.5296,3.7089,24.5296,3.7089,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,28.5467,4.0171,28.5467,4.0171,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,32.9089,4.3621,32.9089,4.3621,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,37.4362,4.5273,37.4362,4.5273,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,42.232,4.7958,42.232,4.7958,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,46.965,4.733,46.965,4.733,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,51.6634,4.6984,51.6634,4.6984,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,56.4762,4.8128,56.4762,4.8128,0.005,1.0,1.0
18,A_to_A,0.88,0.85,9.8,61.2309,4.7547,61.2309,4.7547,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,65.9485,4.7176,65.9485,4.7176,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,70.8195,4.871,70.8195,4.871,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,75.7434,4.9239,75.7434,4.9239,0.005,1.0,1.0
22,A_to_A,0.88,0.85,9.8,80.8316,5.0882,80.8316,5.0882,0.005,1.0,1.0
23,A_to_A,0.88,0.85,9.8,85.9671,5.1355,85.9671,5.1355,0.005,1.0,1.0
24,A_to_A,0.88,0.85,9.8,90.996,5.0289,90.996,5.0289,0.005,1.0,1.0
