step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.5869,0.5869,0.5869,0.5869,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,1.9168,1.3299,1.9168,1.3299,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,3.7577,1.8409,3.7577,1.8409,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,5.9657,2.208,5.9657,2.208,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,8.6447,2.679,8.6447,2.679,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,11.7084,3.0637,11.7084,3.0637,0.005,1.0,1.0
7,A_to_A,0.88,0.85,9.8,15.1862,3.4777,15.1862,3.4777,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,18.7353,3.5491,18.7353,3.5491,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,22.5908,3.8556,22.5908,3.8556,0.005,1.0,1.0
10,A_to_A,0.88,0.85,9.8,26.6725,4.0817,26.6725,4.0817,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,30.7147,4.0422,30.7147,4.0422,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,35.0653,4.3506,35.0653,4.3506,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,39.6762,4.6109,39.6762,4.6109,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,44.4701,4.7939,44.4701,4.7939,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,49.1668,4.6967,49.1668,4.6967,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,54.1131,4.9462,54.1131,4.9462,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,59.1835,5.0705,59.1835,5.0705,0.005,1.0,1.0
18,A_to_A,0.88,0.85,9.8,64.2056,5.0221,64.2056,5.0221,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,69.3135,5.1079,69.3135,5.1079,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,74.6107,5.2972,74.6107,5.2972,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,80.0571,5.4463,80.0571,5.4463,0.005,1.0,1.0
22,A_to_A,0.88,0.85,9.8,85.5586,5.5015,85.5586,5.5015,0.005,1.0,1.0
23,A_to_A,0.88,0.85,9.8,90.998,5.4394,90.998,5.4394,0.005,1.0,1.0
24,A_to_A,0.88,0.85,9.8,96.3775,5.3795,96.3775,5.3795,0.005,1.0,1.0
25,A_to_A,0.88,0.85,9.8,101.5456,5.1682,101.5456,5.1682,0.005,1.0,1.0
26,A_to_A,0.88,0.85,9.8,106.8281,5.2825,106.8281,5.2825,0.005,1.0,1.0
27,A_to_A,0.88,0.85,9.8,112.0826,5.2545,112.0826,5.2545,0.005,1.0,1.0
28,A_to_A,0.88,0.85,9.8,117.5057,5.4231,117.5057,5.4231,0.005,1.0,1.0
29,A_to_A,0.88,0.85,9.8,122.9814,5.4757,122.9814,5.4757,0.005,1.0,1.0
30,A_to_A,0.88,0.85,9.8,128.253,5.2716,128.253,5.2716,0.005,1.0,1.0
31,A_to_A,0.88,0.85,9.8,133.3338,5.0808,133.3338,5.0808,0.005,1.0,1.0
32,A_to_A,0.88,0.85,9.8,138.5493,5.2155,138.5493,5.2155,0.005,1.0,1.0
33,A_to_A,0.88,0.85,9.8,143.6103,5.0611,143.6103,5.0611,0.005,1.0,1.0
34,A_to_A,0.88,0.85,9.8,148.8669,5.2566,148.8669,5.2566,0.005,1.0,1.0
35,A_to_A,0.88,0.85,9.8,154.1963,5.3294,154.1963,5.3294,0.005,1.0,1.0
36,A_to_A,0.88,0.85,9.8,159.489,5.2927,159.489,5.2927,0.005,1.0,1.0
37,A_to_A,0.88,0.85,9.8,164.9321,5.4431,164.9321,5.4431,0.005,1.0,1.0
38,A_to_A,0.88,0.85,9.8,170.3329,5.4008,170.3329,5.4008,0.005,1.0,1.0
39,A_to_A,0.88,0.85,9.8,175.8223,5.4894,175.8223,5.4894,0.005,1.0,1.0
40,A_to_A,0.88,0.85,9.8,181.2693,5.447,181.2693,5.447,0.005,1.0,1.0
1,A_to_B_zero_shot,0.71,-0.85,4.2,0.8362,0.8362,-0.8362,-0.8362,2.3647,1.0,1.0
2,A_to_B_zero_shot,0.71,-0.85,4.2,-0.8555,-0.0193,-2.1466,-1.3103,1.8292,1.0,1.0
3,A_to_B_zero_shot,0.71,-0.85,4.2,-2.757,-0.6104,-3.6196,-1.473,1.2235,1.0,1.0
4,A_to_B_zero_shot,0.71,-0.85,4.2,-4.0979,-0.4783,-5.4835,-1.8638,1.9567,1.0,1.0
5,A_to_B_zero_shot,0.71,-0.85,4.2,-6.5372,-1.0537,-7.3932,-1.9097,1.2168,1.0,1.0
6,A_to_B_zero_shot,0.71,-0.85,4.2,-8.3377,-0.9445,-9.4852,-2.092,1.6174,1.0,1.0
7,A_to_B_zero_shot,0.71,-0.85,4.2,-10.8101,-1.3249,-11.4866,-2.0014,0.9574,1.0,1.0
8,A_to_B_zero_shot,0.71,-0.85,4.2,-12.7461,-1.2595,-13.4094,-1.9228,0.9391,1.0,1.0
9,A_to_B_zero_shot,0.71,-0.85,4.2,-14.3932,-0.9838,-15.4829,-2.0735,1.5445,1.0,1.0
10,A_to_B_zero_shot,0.71,-0.85,4.2,-16.6415,-1.1587,-17.621,-2.1381,1.3867,1.0,1.0
11,A_to_B_zero_shot,0.71,-0.85,4.2,-19.0116,-1.3906,-19.63,-2.009,0.8728,1.0,1.0
12,A_to_B_zero_shot,0.71,-0.85,4.2,-20.6856,-1.0556,-21.7688,-2.1387,1.535,1.0,1.0
13,A_to_B_zero_shot,0.71,-0.85,4.2,-23.1755,-1.4067,-23.7627,-1.9939,0.8371,1.0,1.0
14,A_to_B_zero_shot,0.71,-0.85,4.2,-24.7892,-1.0266,-25.9063,-2.1437,1.5798,1.0,1.0
15,A_to_B_zero_shot,0.71,-0.85,4.2,-27.133,-1.2266,-28.0882,-2.1819,1.3376,1.0,1.0
16,A_to_B_zero_shot,0.71,-0.85,4.2,-29.2034,-1.1152,-30.4422,-2.354,1.752,1.0,1.0
17,A_to_B_zero_shot,0.71,-0.85,4.2,-31.7393,-1.2972,-32.8878,-2.4456,1.6308,1.0,1.0
18,A_to_B_zero_shot,0.71,-0.85,4.2,-34.2147,-1.3269,-35.4494,-2.5616,1.7474,1.0,1.0
19,A_to_B_zero_shot,0.71,-0.85,4.2,-37.0074,-1.5579,-37.9644,-2.515,1.3463,1.0,1.0
20,A_to_B_zero_shot,0.71,-0.85,4.2,-39.6774,-1.713,-40.2504,-2.2859,0.8096,1.0,1.0
21,A_to_B_zero_shot,0.71,-0.85,4.2,-41.5277,-1.2773,-42.6076,-2.3573,1.5277,1.0,1.0
22,A_to_B_zero_shot,0.71,-0.85,4.2,-44.0403,-1.4327,-44.9229,-2.3153,1.2463,1.0,1.0
23,A_to_B_zero_shot,0.71,-0.85,4.2,-46.2824,-1.3595,-47.2448,-2.3218,1.3564,1.0,1.0
24,A_to_B_zero_shot,0.71,-0.85,4.2,-48.4712,-1.2264,-49.7101,-2.4653,1.7582,1.0,1.0
25,A_to_B_zero_shot,0.71,-0.85,4.2,-51.0695,-1.3594,-52.2706,-2.5605,1.6977,1.0,1.0
26,A_to_B_zero_shot,0.71,-0.85,4.2,-53.736,-1.4653,-54.8765,-2.6059,1.6157,1.0,1.0
27,A_to_B_zero_shot,0.71,-0.85,4.2,-56.4846,-1.6081,-57.4118,-2.5353,1.316,1.0,1.0
28,A_to_B_zero_shot,0.71,-0.85,4.2,-59.0991,-1.6873,-59.7556,-2.3438,0.9196,1.0,1.0
29,A_to_B_zero_shot,0.71,-0.85,4.2,-61.1435,-1.3879,-62.0943,-2.3387,1.3417,1.0,1.0
30,A_to_B_zero_shot,0.71,-0.85,4.2,-63.4335,-1.3392,-64.4738,-2.3794,1.4796,1.0,1.0
31,A_to_B_zero_shot,0.71,-0.85,4.2,-66.0411,-1.5673,-66.6897,-2.216,0.9107,1.0,1.0
32,A_to_B_zero_shot,0.71,-0.85,4.2,-68.1158,-1.426,-68.7871,-2.0974,0.9494,1.0,1.0
33,A_to_B_zero_shot,0.71,-0.85,4.2,-70.1303,-1.3431,-70.7788,-1.9917,0.9153,1.0,1.0
34,A_to_B_zero_shot,0.71,-0.85,4.2,-71.8961,-1.1173,-72.8284,-2.0496,1.3188,1.0,1.0
35,A_to_B_zero_shot,0.71,-0.85,4.2,-73.8075,-0.9791,-75.1081,-2.2797,1.84,1.0,1.0
36,A_to_B_zero_shot,0.71,-0.85,4.2,-76.3382,-1.2302,-77.5026,-2.3945,1.6451,1.0,1.0
37,A_to_B_zero_shot,0.71,-0.85,4.2,-78.8802,-1.3777,-79.9322,-2.4296,1.4873,1.0,1.0
38,A_to_B_zero_shot,0.71,-0.85,4.2,-81.3223,-1.3901,-82.4051,-2.473,1.5303,1.0,1.0
39,A_to_B_zero_shot,0.71,-0.85,4.2,-84.0733,-1.6682,-84.669,-2.2639,0.8439,1.0,1.0
40,A_to_B_zero_shot,0.71,-0.85,4.2,-86.0804,-1.4114,-86.8572,-2.1882,1.0944,1.0,1.0
1,A_to_C_zero_shot,0.12,0.51,15.7,0.4982,0.4982,0.2989,0.2989,0.2842,1.0,1.0
2,A_to_C_zero_shot,0.12,0.51,15.7,1.3579,1.059,0.8124,0.5134,0.7689,1.0,1.0
3,A_to_C_zero_shot,0.12,0.51,15.7,1.9076,1.0952,1.26,0.4476,0.9201,1.0,1.0
4,A_to_C_zero_shot,0.12,0.51,15.7,2.3045,1.0445,1.7041,0.4441,0.855,1.0,1.0
5,A_to_C_zero_shot,0.12,0.51,15.7,2.5314,0.8273,2.0193,0.3152,0.726,1.0,1.0
6,A_to_C_zero_shot,0.12,0.51,15.7,2.7318,0.7125,2.3182,0.2989,0.5814,1.0,1.0
7,A_to_C_zero_shot,0.12,0.51,15.7,3.3319,1.0137,2.8045,0.4863,0.7452,1.0,1.0
8,A_to_C_zero_shot,0.12,0.51,15.7,3.7365,0.9321,3.1653,0.3608,0.803,1.0,1.0
9,A_to_C_zero_shot,0.12,0.51,15.7,4.1318,0.9665,3.598,0.4327,0.7484,1.0,1.0
10,A_to_C_zero_shot,0.12,0.51,15.7,4.6118,1.0138,4.0297,0.4318,0.8192,1.0,1.0
11,A_to_C_zero_shot,0.12,0.51,15.7,5.076,1.0463,4.4813,0.4516,0.8404,1.0,1.0
12,A_to_C_zero_shot,0.12,0.51,15.7,5.3805,0.8992,4.8366,0.3552,0.766,1.0,1.0
13,A_to_C_zero_shot,0.12,0.51,15.7,5.7801,0.9435,5.2578,0.4212,0.7389,1.0,1.0
14,A_to_C_zero_shot,0.12,0.51,15.7,6.4161,1.1583,5.7809,0.5231,0.8892,1.0,1.0
15,A_to_C_zero_shot,0.12,0.51,15.7,6.8528,1.0719,6.2106,0.4297,0.9077,1.0,1.0
16,A_to_C_zero_shot,0.12,0.51,15.7,7.1789,0.9683,6.6163,0.4057,0.7934,1.0,1.0
