step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.4951,0.4951,0.4951,0.4951,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,1.5594,1.0643,1.5594,1.0643,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,3.0128,1.4534,3.0128,1.4534,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,4.9346,1.9218,4.9346,1.9218,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,7.2654,2.3308,7.2654,2.3308,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,9.8993,2.6338,9.8993,2.6338,0.005,1.0,1.0
7,A_to_A,0.88,0.85,9.8,12.8908,2.9915,12.8908,2.9915,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,16.0471,3.1563,16.0471,3.1563,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,19.3485,3.3014,19.3485,3.3014,0.0067,1.0,1.0
10,A_to_A,0.88,0.85,9.8,22.9927,3.6442,22.9927,3.6442,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,26.9964,4.0038,26.9964,4.0038,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,31.0845,4.0881,31.0845,4.0881,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,35.3186,4.234,35.3186,4.234,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,39.6261,4.3075,39.6261,4.3075,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,43.9075,4.2814,43.9075,4.2814,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,48.4945,4.587,48.4945,4.587,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,53.1486,4.6542,53.1486,4.6542,0.005,1.0,1.0
18,A_to_A,0.88,0.85,9.8,57.8753,4.7267,57.8753,4.7267,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,62.5392,4.6639,62.5392,4.6639,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,67.1682,4.629,67.1682,4.629,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,71.9984,4.8302,71.9984,4.8302,0.005,1.0,1.0
22,A_to_A,0.88,0.85,9.8,77.0539,5.0555,77.0539,5.0555,0.0051,1.0,1.0
23,A_to_A,0.88,0.85,9.8,82.2485,5.1946,82.2485,5.1946,0.005,1.0,1.0
24,A_to_A,0.88,0.85,9.8,87.5549,5.3064,87.5549,5.3064,0.005,1.0,1.0
25,A_to_A,0.88,0.85,9.8,92.7016,5.1467,92.7016,5.1467,0.005,1.0,1.0
26,A_to_A,0.88,0.85,9.8,97.7411,5.0395,97.7411,5.0395,0.005,1.0,1.0
27,A_to_A,0.88,0.85,9.8,102.9933,5.2521,102.9933,5.2521,0.005,1.0,1.0
28,A_to_A,0.88,0.85,9.8,108.1954,5.2021,108.1954,5.2021,0.005,1.0,1.0
29,A_to_A,0.88,0.85,9.8,113.39,5.1947,113.39,5.1947,0.005,1.0,1.0
30,A_to_A,0.88,0.85,9.8,118.5506,5.1606,118.5506,5.1606,0.005,1.0,1.0
31,A_to_A,0.88,0.85,9.8,123.5284,4.9777,123.5284,4.9777,0.005,1.0,1.0
32,A_to_A,0.88,0.85,9.8,128.7557,5.2274,128.7557,5.2274,0.005,1.0,1.0
33,A_to_A,0.88,0.85,9.8,133.9916,5.2359,133.9916,5.2359,0.005,1.0,1.0
34,A_to_A,0.88,0.85,9.8,139.3422,5.3506,139.3422,5.3506,0.005,1.0,1.0
35,A_to_A,0.88,0.85,9.8,144.57,5.2278,144.57,5.2278,0.005,1.0,1.0
36,A_to_A,0.88,0.85,9.8,149.8601,5.2901,149.8601,5.2901,0.005,1.0,1.0
37,A_to_A,0.88,0.85,9.8,155.0172,5.1571,155.0172,5.1571,0.005,1.0,1.0
38,A_to_A,0.88,0.85,9.8,160.3745,5.3573,160.3745,5.3573,0.005,1.0,1.0
39,A_to_A,0.88,0.85,9.8,165.6612,5.2867,165.6612,5.2867,0.005,1.0,1.0
40,A_to_A,0.88,0.85,9.8,170.7824,5.1212,170.7824,5.1212,0.005,1.0,1.0
1,A_to_B_zero_shot,0.71,-0.85,4.2,0.4529,0.4529,-0.4529,-0.4529,1.2844,1.0,1.0
2,A_to_B_zero_shot,0.71,-0.85,4.2,-0.2671,0.1858,-1.3588,-0.9059,1.5359,1.0,1.0
3,A_to_B_zero_shot,0.71,-0.85,4.2,-1.4405,-0.0818,-2.7174,-1.3586,1.8009,1.0,1.0
4,A_to_B_zero_shot,0.71,-0.85,4.2,-3.0807,-0.3633,-4.5143,-1.7969,2.0178,1.0,1.0
5,A_to_B_zero_shot,0.71,-0.85,4.2,-5.4975,-0.9833,-6.388,-1.8738,1.2721,1.0,1.0
6,A_to_B_zero_shot,0.71,-0.85,4.2,-7.361,-0.9729,-8.3944,-2.0063,1.4606,1.0,1.0
7,A_to_B_zero_shot,0.71,-0.85,4.2,-9.3596,-0.9652,-10.6192,-2.2248,1.7765,1.0,1.0
8,A_to_B_zero_shot,0.71,-0.85,4.2,-12.047,-1.4278,-12.7289,-2.1097,0.9646,1.0,1.0
9,A_to_B_zero_shot,0.71,-0.85,4.2,-13.7881,-1.0592,-15.0242,-2.2953,1.7491,1.0,1.0
10,A_to_B_zero_shot,0.71,-0.85,4.2,-16.2767,-1.2526,-17.421,-2.3969,1.6199,1.0,1.0
11,A_to_B_zero_shot,0.71,-0.85,4.2,-18.7764,-1.3553,-19.8767,-2.4557,1.5467,1.0,1.0
12,A_to_B_zero_shot,0.71,-0.85,4.2,-21.5906,-1.7138,-22.0675,-2.1907,0.6754,1.0,1.0
13,A_to_B_zero_shot,0.71,-0.85,4.2,-23.4606,-1.3932,-24.1575,-2.09,0.9842,1.0,1.0
14,A_to_B_zero_shot,0.71,-0.85,4.2,-25.4992,-1.3417,-26.139,-1.9815,0.9098,1.0,1.0
15,A_to_B_zero_shot,0.71,-0.85,4.2,-27.4281,-1.2892,-28.0003,-1.8613,0.8036,1.0,1.0
16,A_to_B_zero_shot,0.71,-0.85,4.2,-28.7953,-0.795,-30.1648,-2.1645,1.9459,1.0,1.0
17,A_to_B_zero_shot,0.71,-0.85,4.2,-31.3276,-1.1628,-32.4436,-2.2788,1.5745,1.0,1.0
18,A_to_B_zero_shot,0.71,-0.85,4.2,-33.6164,-1.1728,-34.8941,-2.4505,1.8074,1.0,1.0
19,A_to_B_zero_shot,0.71,-0.85,4.2,-36.4021,-1.508,-37.2823,-2.3882,1.2446,1.0,1.0
20,A_to_B_zero_shot,0.71,-0.85,4.2,-38.8688,-1.5865,-39.4931,-2.2108,0.8817,1.0,1.0
21,A_to_B_zero_shot,0.71,-0.85,4.2,-40.6573,-1.1642,-41.844,-2.3509,1.6811,1.0,1.0
22,A_to_B_zero_shot,0.71,-0.85,4.2,-43.2322,-1.3882,-44.1937,-2.3497,1.3499,1.0,1.0
23,A_to_B_zero_shot,0.71,-0.85,4.2,-45.6554,-1.4617,-46.4681,-2.2744,1.1409,1.0,1.0
24,A_to_B_zero_shot,0.71,-0.85,4.2,-47.9137,-1.4456,-48.6388,-2.1707,1.0207,1.0,1.0
25,A_to_B_zero_shot,0.71,-0.85,4.2,-49.897,-1.2581,-50.8321,-2.1933,1.3211,1.0,1.0
26,A_to_B_zero_shot,0.71,-0.85,4.2,-52.3329,-1.5007,-52.8187,-1.9866,0.6955,1.0,1.0
27,A_to_B_zero_shot,0.71,-0.85,4.2,-53.8507,-1.0319,-54.9454,-2.1267,1.5493,1.0,1.0
28,A_to_B_zero_shot,0.71,-0.85,4.2,-56.1396,-1.1942,-57.1327,-2.1873,1.4041,1.0,1.0
29,A_to_B_zero_shot,0.71,-0.85,4.2,-58.3589,-1.2262,-59.3844,-2.2516,1.4541,1.0,1.0
30,A_to_B_zero_shot,0.71,-0.85,4.2,-60.8315,-1.4471,-61.5173,-2.133,0.9646,1.0,1.0
31,A_to_B_zero_shot,0.71,-0.85,4.2,-62.7969,-1.2796,-63.6291,-2.1118,1.1874,1.0,1.0
32,A_to_B_zero_shot,0.71,-0.85,4.2,-65.0057,-1.3766,-65.6102,-1.9811,0.8521,1.0,1.0
33,A_to_B_zero_shot,0.71,-0.85,4.2,-66.8883,-1.2781,-67.4821,-1.8719,0.8407,1.0,1.0
34,A_to_B_zero_shot,0.71,-0.85,4.2,-68.5145,-1.0324,-69.4261,-1.944,1.2898,1.0,1.0
