step,epoch,gravity,pred_x,actual_x,error,active_schema
1,Epoch_A1,9.8,0.5142,0.5142,0.0048,schema_A
2,Epoch_A1,9.8,1.5598,1.5598,0.0052,schema_A
3,Epoch_A1,9.8,3.1441,3.1441,0.0048,schema_A
4,Epoch_A1,9.8,5.1146,5.1146,0.0047,schema_A
5,Epoch_A1,9.8,7.3494,7.3494,0.0052,schema_A
6,Epoch_A1,9.8,10.1162,10.1162,0.0046,schema_A
7,Epoch_A1,9.8,13.0074,13.0074,0.0055,schema_A
8,Epoch_A1,9.8,16.156,16.156,0.005,schema_A
9,Epoch_A1,9.8,19.6715,19.6715,0.0054,schema_A
10,Epoch_A1,9.8,23.3175,23.3175,0.0046,schema_A
11,Epoch_A1,9.8,27.2555,27.2555,0.0046,schema_A
12,Epoch_A1,9.8,31.2821,31.2821,0.0051,schema_A
13,Epoch_A1,9.8,35.2508,35.2508,0.005,schema_A
14,Epoch_A1,9.8,39.2481,39.2481,0.0049,schema_A
15,Epoch_A1,9.8,43.4542,43.4542,0.0045,schema_A
16,Epoch_A1,9.8,47.8497,47.8497,0.0045,schema_A
17,Epoch_A1,9.8,52.4832,52.4832,0.0062,schema_A
18,Epoch_A1,9.8,57.1503,57.1503,0.0046,schema_A
19,Epoch_A1,9.8,61.8316,61.8316,0.0053,schema_A
20,Epoch_A1,9.8,66.4494,66.4494,0.0054,schema_A
21,Epoch_A1,9.8,71.335,71.335,0.005,schema_A
22,Epoch_A1,9.8,76.3533,76.3533,0.0046,schema_A
23,Epoch_A1,9.8,81.4911,81.4911,0.0057,schema_A
24,Epoch_A1,9.8,86.7491,86.7491,0.0055,schema_A
25,Epoch_A1,9.8,92.0019,92.0019,0.0052,schema_A
26,Epoch_A1,9.8,97.0638,97.0638,0.0049,schema_A
27,Epoch_A1,9.8,102.2507,102.2507,0.005,schema_A
28,Epoch_A1,9.8,107.4975,107.4975,0.005,schema_A
29,Epoch_A1,9.8,112.7907,112.7907,0.0048,schema_A
30,Epoch_A1,9.8,118.2215,118.2215,0.0052,schema_A
31,Epoch_A1,9.8,123.8046,123.8046,0.0047,schema_A
32,Epoch_A1,9.8,129.3731,129.3731,0.0049,schema_A
33,Epoch_A1,9.8,134.973,134.973,0.0041,schema_A
34,Epoch_A1,9.8,140.4223,140.4223,0.0049,schema_A
35,Epoch_A1,9.8,146.0182,146.0182,0.0049,schema_A
36,Epoch_A1,9.8,151.4055,151.4055,0.0047,schema_A
37,Epoch_A1,9.8,156.902,156.902,0.0045,schema_A
38,Epoch_A1,9.8,162.5598,162.5598,0.0059,schema_A
39,Epoch_A1,9.8,168.0831,168.0831,0.005,schema_A
40,Epoch_A1,9.8,173.5816,173.5816,0.0047,schema_A
1,Epoch_B,4.2,0.5055,-0.5055,1.4349,schema_A
2,Epoch_B,4.2,-0.1348,-1.6799,2.1898,schema_A
3,Epoch_B,4.2,-2.2169,-3.0925,1.2433,schema_A
4,Epoch_B,4.2,-3.9198,-4.6101,0.9814,schema_A
5,Epoch_B,4.2,-5.6,-6.1395,0.7682,schema_A
6,Epoch_B,4.2,-6.8889,-7.9289,1.4772,schema_A
7,Epoch_B,4.2,-9.1546,-9.6736,0.7394,schema_B
8,Epoch_B,4.2,-12.0821,-11.7098,0.5318,schema_B
9,Epoch_B,4.2,-14.1428,-13.7733,0.5271,schema_B
10,Epoch_B,4.2,-16.0351,-15.7167,0.4559,schema_B
11,Epoch_B,4.2,-17.8549,-17.5999,0.3647,schema_B
12,Epoch_B,4.2,-19.7687,-19.5586,0.302,schema_B
13,Epoch_B,4.2,-21.6831,-21.4972,0.267,schema_B
14,Epoch_B,4.2,-23.5431,-23.3867,0.226,schema_B
15,Epoch_B,4.2,-25.3464,-25.2168,0.1879,schema_B
16,Epoch_B,4.2,-27.1099,-27.0031,0.1561,schema_B
17,Epoch_B,4.2,-28.8751,-28.7865,0.1306,schema_B
18,Epoch_B,4.2,-30.6972,-30.6219,0.1112,schema_B
19,Epoch_B,4.2,-32.818,-32.7521,0.0974,schema_B
20,Epoch_B,4.2,-35.1103,-35.0453,0.0978,schema_B
21,Epoch_B,4.2,-37.3616,-37.3021,0.0891,schema_B
22,Epoch_B,4.2,-39.544,-39.4941,0.0755,schema_B
23,Epoch_B,4.2,-41.7395,-41.6984,0.0634,schema_B
24,Epoch_B,4.2,-44.074,-44.0388,0.0547,schema_B
25,Epoch_B,4.2,-46.5643,-46.5325,0.0504,schema_B
26,Epoch_B,4.2,-49.0458,-49.0171,0.0453,schema_B
27,Epoch_B,4.2,-51.3809,-51.3565,0.04,schema_B
28,Epoch_B,4.2,-53.7788,-53.7593,0.0327,schema_B
29,Epoch_B,4.2,-55.9447,-55.9277,0.0289,schema_B
30,Epoch_B,4.2,-57.9623,-57.9492,0.0235,schema_B
31,Epoch_B,4.2,-60.1773,-60.1669,0.0203,schema_B
32,Epoch_B,4.2,-62.2913,-62.2816,0.0189,schema_B
33,Epoch_B,4.2,-64.3354,-64.3276,0.0166,schema_B
34,Epoch_B,4.2,-66.4513,-66.4449,0.0139,schema_B
35,Epoch_B,4.2,-68.7588,-68.7531,0.0129,schema_B
36,Epoch_B,4.2,-70.9586,-70.9533,0.0122,schema_B
37,Epoch_B,4.2,-73.2962,-73.2919,0.0109,schema_B
38,Epoch_B,4.2,-75.5088,-75.5049,0.0107,schema_B
39,Epoch_B,4.2,-77.624,-77.6209,0.0091,schema_B
40,Epoch_B,4.2,-79.9085,-79.906,0.0086,schema_B
1,Epoch_A2,9.8,0.8418,0.8418,0,schema_A
2,Epoch_A2,9.8,2.1053,2.1053,0,schema_A
3,Epoch_A2,9.8,3.6427,3.6427,0,schema_A
4,Epoch_A2,9.8,5.5449,5.5449,0,schema_A
5,Epoch_A2,9.8,7.8018,7.8018,0,schema_A
6,Epoch_A2,9.8,10.6098,10.6098,0,schema_A
7,Epoch_A2,9.8,13.6951,13.6951,0,schema_A
8,Epoch_A2,9.8,17.1528,17.1528,0,schema_A
9,Epoch_A2,9.8,20.625,20.625,0,schema_A
10,Epoch_A2,9.8,24.2637,24.2637,0,schema_A
11,Epoch_A2,9.8,28.3047,28.3047,0,schema_A
12,Epoch_A2,9.8,32.4656,32.4656,0,schema_A
13,Epoch_A2,9.8,36.7894,36.7894,0,schema_A
14,Epoch_A2,9.8,41.0579,41.0579,0,schema_A
15,Epoch_A2,9.8,45.3204,45.3204,0,schema_A
16,Epoch_A2,9.8,49.8198,49.8198,0,schema_A
17,Epoch_A2,9.8,54.5946,54.5946,0,schema_A
18,Epoch_A2,9.8,59.4222,59.4222,0,schema_A
19,Epoch_A2,9.8,64.1568,64.1568,0,schema_A
20,Epoch_A2,9.8,68.7827,68.7827,0,schema_A
21,Epoch_A2,9.8,73.4228,73.4228,0,schema_A
22,Epoch_A2,9.8,78.2844,78.2844,0,schema_A
23,Epoch_A2,9.8,83.3091,83.3091,0,schema_A
24,Epoch_A2,9.8,88.3812,88.3812,0,schema_A
25,Epoch_A2,9.8,93.5932,93.5932,0,schema_A
26,Epoch_A2,9.8,98.8868,98.8868,0,schema_A
27,Epoch_A2,9.8,103.9979,103.9979,0,schema_A
28,Epoch_A2,9.8,109.3003,109.3003,0,schema_A
29,Epoch_A2,9.8,114.7561,114.7561,0,schema_A
30,Epoch_A2,9.8,120.2685,120.2685,0,schema_A
31,Epoch_A2,9.8,125.6717,125.6717,0,schema_A
32,Epoch_A2,9.8,130.8994,130.8994,0,schema_A
33,Epoch_A2,9.8,136.316,136.316,0,schema_A
34,Epoch_A2,9.8,141.8912,141.8912,0,schema_A
35,Epoch_A2,9.8,147.2359,147.2359,0,schema_A
36,Epoch_A2,9.8,152.4898,152.4898,0,schema_A
37,Epoch_A2,9.8,157.6684,157.6684,0,schema_A
38,Epoch_A2,9.8,162.9901,162.9901,0,schema_A
39,Epoch_A2,9.8,168.3532,168.3532,0,schema_A
40,Epoch_A2,9.8,173.5092,173.5092,0,schema_A
