step,epoch,gravity,pred_x,actual_x,error,active_schema
1,Epoch_A1,9.8,0.4302,0.4302,0.0054,schema_A
2,Epoch_A1,9.8,1.5245,1.5245,0.0053,schema_A
3,Epoch_A1,9.8,2.9713,2.9713,0.0053,schema_A
4,Epoch_A1,9.8,4.9915,4.9915,0.0052,schema_A
5,Epoch_A1,9.8,7.257,7.257,0.005,schema_A
6,Epoch_A1,9.8,9.7336,9.7336,0.0043,schema_A
7,Epoch_A1,9.8,12.5657,12.5657,0.0045,schema_A
8,Epoch_A1,9.8,15.9064,15.9064,0.0052,schema_A
9,Epoch_A1,9.8,19.3108,19.3108,0.0062,schema_A
10,Epoch_A1,9.8,22.9029,22.9029,0.0052,schema_A
11,Epoch_A1,9.8,26.5733,26.5733,0.0048,schema_A
12,Epoch_A1,9.8,30.6342,30.6342,0.0054,schema_A
13,Epoch_A1,9.8,34.7222,34.7222,0.0051,schema_A
14,Epoch_A1,9.8,38.9772,38.9772,0.0056,schema_A
15,Epoch_A1,9.8,43.552,43.552,0.0052,schema_A
16,Epoch_A1,9.8,48.0895,48.0895,0.0046,schema_A
17,Epoch_A1,9.8,52.8629,52.8629,0.0051,schema_A
18,Epoch_A1,9.8,57.8009,57.8009,0.005,schema_A
19,Epoch_A1,9.8,62.9404,62.9404,0.0048,schema_A
20,Epoch_A1,9.8,68.2267,68.2267,0.0047,schema_A
21,Epoch_A1,9.8,73.6139,73.6139,0.0052,schema_A
22,Epoch_A1,9.8,78.8727,78.8727,0.0057,schema_A
23,Epoch_A1,9.8,83.9431,83.9431,0.0048,schema_A
24,Epoch_A1,9.8,88.9984,88.9984,0.0054,schema_A
25,Epoch_A1,9.8,94.1469,94.1469,0.0057,schema_A
26,Epoch_A1,9.8,99.5176,99.5176,0.0039,schema_A
27,Epoch_A1,9.8,105.091,105.091,0.0051,schema_A
28,Epoch_A1,9.8,110.4956,110.4956,0.0046,schema_A
29,Epoch_A1,9.8,115.9417,115.9417,0.0043,schema_A
30,Epoch_A1,9.8,121.199,121.199,0.0048,schema_A
31,Epoch_A1,9.8,126.3324,126.3324,0.0056,schema_A
32,Epoch_A1,9.8,131.5703,131.5703,0.0047,schema_A
33,Epoch_A1,9.8,136.6453,136.6453,0.0041,schema_A
34,Epoch_A1,9.8,141.8123,141.8123,0.0056,schema_A
35,Epoch_A1,9.8,147.2057,147.2057,0.0052,schema_A
36,Epoch_A1,9.8,152.7171,152.7171,0.0055,schema_A
37,Epoch_A1,9.8,158.1811,158.1811,0.0052,schema_A
38,Epoch_A1,9.8,163.4646,163.4646,0.0044,schema_A
39,Epoch_A1,9.8,168.5812,168.5812,0.0053,schema_A
40,Epoch_A1,9.8,173.5912,173.5912,0.005,schema_A
1,Epoch_B,4.2,0.5675,-0.5675,1.6098,schema_A
2,Epoch_B,4.2,-0.4397,-1.5975,1.6415,schema_A
