step,epoch,gravity,pred_x,actual_x,error,active_schema
1,Epoch_A1,9.8,0.6173,0.6173,0.0039,schema_A
2,Epoch_A1,9.8,1.7834,1.7834,0.0046,schema_A
3,Epoch_A1,9.8,3.4503,3.4503,0.0047,schema_A
4,Epoch_A1,9.8,5.5599,5.5599,0.0048,schema_A
5,Epoch_A1,9.8,8.1089,8.1089,0.0051,schema_A
6,Epoch_A1,9.8,10.9061,10.9061,0.0048,schema_A
7,Epoch_A1,9.8,13.8311,13.8311,0.0053,schema_A
8,Epoch_A1,9.8,16.8479,16.8479,0.0043,schema_A
9,Epoch_A1,9.8,20.3451,20.3451,0.0057,schema_A
10,Epoch_A1,9.8,24.1093,24.1093,0.0048,schema_A
11,Epoch_A1,9.8,27.9137,27.9137,0.0056,schema_A
12,Epoch_A1,9.8,31.7119,31.7119,0.0051,schema_A
13,Epoch_A1,9.8,35.5601,35.5601,0.005,schema_A
14,Epoch_A1,9.8,39.5687,39.5687,0.0051,schema_A
15,Epoch_A1,9.8,43.7085,43.7085,0.0053,schema_A
16,Epoch_A1,9.8,48.0487,48.0487,0.0045,schema_A
17,Epoch_A1,9.8,52.5055,52.5055,0.0047,schema_A
18,Epoch_A1,9.8,56.9706,56.9706,0.0045,schema_A
19,Epoch_A1,9.8,61.7489,61.7489,0.006,schema_A
20,Epoch_A1,9.8,66.6797,66.6797,0.005,schema_A
21,Epoch_A1,9.8,71.5778,71.5778,0.0051,schema_A
22,Epoch_A1,9.8,76.3429,76.3429,0.0054,schema_A
23,Epoch_A1,9.8,81.2869,81.2869,0.0042,schema_A
24,Epoch_A1,9.8,86.2269,86.2269,0.0056,schema_A
25,Epoch_A1,9.8,91.4062,91.4062,0.005,schema_A
26,Epoch_A1,9.8,96.4782,96.4782,0.005,schema_A
27,Epoch_A1,9.8,101.7534,101.7534,0.0036,schema_A
28,Epoch_A1,9.8,106.9895,106.9895,0.0053,schema_A
29,Epoch_A1,9.8,112.0532,112.0532,0.0044,schema_A
30,Epoch_A1,9.8,117.049,117.049,0.0044,schema_A
31,Epoch_A1,9.8,121.9074,121.9074,0.0044,schema_A
32,Epoch_A1,9.8,126.9299,126.9299,0.0061,schema_A
33,Epoch_A1,9.8,131.8248,131.8248,0.005,schema_A
34,Epoch_A1,9.8,136.5828,136.5828,0.0052,schema_A
35,Epoch_A1,9.8,141.5336,141.5336,0.0053,schema_A
36,Epoch_A1,9.8,146.5054,146.5054,0.0056,schema_A
37,Epoch_A1,9.8,151.3867,151.3867,0.005,schema_A
38,Epoch_A1,9.8,156.3808,156.3808,0.0047,schema_A
39,Epoch_A1,9.8,161.2501,161.2501,0.0047,schema_A
40,Epoch_A1,9.8,166.0747,166.0747,0.0052,schema_A
1,Epoch_B,4.2,0.8376,-0.8376,2.3744,schema_A
2,Epoch_B,4.2,-0.7737,-2.2334,2.069,schema_A
3,Epoch_B,4.2,-3.0449,-3.739,0.9859,schema_A
4,Epoch_B,4.2,-4.4715,-5.5057,1.4682,schema_A
5,Epoch_B,4.2,-6.7165,-7.2278,0.7284,schema_A
6,Epoch_B,4.2,-8.3289,-8.9852,0.9331,schema_A
7,Epoch_B,4.2,-9.9013,-10.9863,1.5392,schema_B
8,Epoch_B,4.2,-13.3436,-12.8633,0.6846,schema_B
9,Epoch_B,4.2,-15.0424,-14.6593,0.5464,schema_B
10,Epoch_B,4.2,-16.9267,-16.615,0.4456,schema_B
11,Epoch_B,4.2,-18.8752,-18.5865,0.412,schema_B
12,Epoch_B,4.2,-20.8643,-20.6169,0.3553,schema_B
13,Epoch_B,4.2,-22.9443,-22.7276,0.3117,schema_B
14,Epoch_B,4.2,-24.9083,-24.7167,0.2757,schema_B
15,Epoch_B,4.2,-27.0936,-26.9401,0.2223,schema_B
16,Epoch_B,4.2,-29.1703,-29.0244,0.211,schema_B
17,Epoch_B,4.2,-31.3598,-31.2434,0.1698,schema_B
18,Epoch_B,4.2,-33.7531,-33.6478,0.1538,schema_B
19,Epoch_B,4.2,-36.2518,-36.1548,0.1418,schema_B
20,Epoch_B,4.2,-38.49,-38.4039,0.1263,schema_B
21,Epoch_B,4.2,-40.5079,-40.4423,0.0982,schema_B
22,Epoch_B,4.2,-42.6645,-42.6139,0.0764,schema_B
23,Epoch_B,4.2,-44.7358,-44.69,0.0701,schema_B
24,Epoch_B,4.2,-46.751,-46.7137,0.0571,schema_B
25,Epoch_B,4.2,-48.681,-48.6501,0.0486,schema_B
26,Epoch_B,4.2,-50.5722,-50.5471,0.0403,schema_B
27,Epoch_B,4.2,-52.5775,-52.5566,0.035,schema_B
28,Epoch_B,4.2,-54.5463,-54.5275,0.0311,schema_B
29,Epoch_B,4.2,-56.7574,-56.7417,0.0273,schema_B
30,Epoch_B,4.2,-58.8682,-58.8532,0.0263,schema_B
31,Epoch_B,4.2,-60.9789,-60.9667,0.0225,schema_B
32,Epoch_B,4.2,-63.0595,-63.0491,0.0198,schema_B
33,Epoch_B,4.2,-65.2045,-65.1958,0.0176,schema_B
34,Epoch_B,4.2,-67.5312,-67.5236,0.0161,schema_B
35,Epoch_B,4.2,-70.025,-70.018,0.0145,schema_B
36,Epoch_B,4.2,-72.4688,-72.4624,0.0134,schema_B
