step,epoch,gravity,pred_x,actual_x,error,active_schema
1,Epoch_A1,9.8,0.8313,0.8313,0.0052,schema_A
2,Epoch_A1,9.8,2.0239,2.0239,0.0049,schema_A
3,Epoch_A1,9.8,3.8535,3.8535,0.0049,schema_A
4,Epoch_A1,9.8,6.0195,6.0195,0.0043,schema_A
5,Epoch_A1,9.8,8.6082,8.6082,0.0045,schema_A
6,Epoch_A1,9.8,11.3784,11.3784,0.0046,schema_A
7,Epoch_A1,9.8,14.4243,14.4243,0.0044,schema_A
8,Epoch_A1,9.8,17.9525,17.9525,0.0055,schema_A
9,Epoch_A1,9.8,21.8858,21.8858,0.0045,schema_A
10,Epoch_A1,9.8,25.8861,25.8861,0.0049,schema_A
11,Epoch_A1,9.8,29.8466,29.8466,0.0056,schema_A
12,Epoch_A1,9.8,33.8923,33.8923,0.0051,schema_A
13,Epoch_A1,9.8,38.0389,38.0389,0.0055,schema_A
14,Epoch_A1,9.8,42.3512,42.3512,0.0046,schema_A
15,Epoch_A1,9.8,46.6713,46.6713,0.0054,schema_A
16,Epoch_A1,9.8,50.9561,50.9561,0.0051,schema_A
17,Epoch_A1,9.8,55.3686,55.3686,0.0057,schema_A
18,Epoch_A1,9.8,59.7539,59.7539,0.005,schema_A
19,Epoch_A1,9.8,64.4177,64.4177,0.0052,schema_A
20,Epoch_A1,9.8,69.3322,69.3322,0.0042,schema_A
21,Epoch_A1,9.8,74.4061,74.4061,0.0051,schema_A
22,Epoch_A1,9.8,79.7131,79.7131,0.0045,schema_A
23,Epoch_A1,9.8,85.2171,85.2171,0.0054,schema_A
24,Epoch_A1,9.8,90.7895,90.7895,0.0057,schema_A
25,Epoch_A1,9.8,96.3143,96.3143,0.0044,schema_A
26,Epoch_A1,9.8,101.9942,101.9942,0.0049,schema_A
27,Epoch_A1,9.8,107.6304,107.6304,0.0052,schema_A
28,Epoch_A1,9.8,113.3905,113.3905,0.0046,schema_A
29,Epoch_A1,9.8,119.2667,119.2667,0.0044,schema_A
30,Epoch_A1,9.8,125.2539,125.2539,0.0052,schema_A
31,Epoch_A1,9.8,131.2552,131.2552,0.0046,schema_A
32,Epoch_A1,9.8,137.0994,137.0994,0.005,schema_A
33,Epoch_A1,9.8,142.9646,142.9646,0.0055,schema_A
34,Epoch_A1,9.8,148.6649,148.6649,0.0059,schema_A
35,Epoch_A1,9.8,154.4935,154.4935,0.0045,schema_A
36,Epoch_A1,9.8,160.3478,160.3478,0.0062,schema_A
37,Epoch_A1,9.8,166.1389,166.1389,0.0043,schema_A
38,Epoch_A1,9.8,171.91,171.91,0.0049,schema_A
39,Epoch_A1,9.8,177.5461,177.5461,0.0052,schema_A
40,Epoch_A1,9.8,183.3278,183.3278,0.0056,schema_A
1,Epoch_B,4.2,0.6899,-0.6899,1.9571,schema_A
2,Epoch_B,4.2,-0.5635,-1.9132,1.9143,schema_A
3,Epoch_B,4.2,-2.2647,-3.5926,1.8832,schema_A
4,Epoch_B,4.2,-4.738,-5.2349,0.7085,schema_A
5,Epoch_B,4.2,-6.0926,-7.1034,1.4345,schema_A
6,Epoch_B,4.2,-8.0814,-9.2271,1.6257,schema_A
7,Epoch_B,4.2,-10.7745,-11.2051,0.613,schema_A
8,Epoch_B,4.2,-12.5552,-13.1386,0.8299,schema_A
9,Epoch_B,4.2,-14.4609,-15.0258,0.8042,schema_A
10,Epoch_B,4.2,-16.0889,-17.0954,1.428,schema_B
11,Epoch_B,4.2,-19.5001,-19.0034,0.7073,schema_B
12,Epoch_B,4.2,-21.4583,-21.0689,0.5559,schema_B
13,Epoch_B,4.2,-23.3542,-22.9957,0.5121,schema_B
