step,epoch,gravity,pred_x,actual_x,error,active_schema
1,Epoch_A1,9.8,0.8099,0.8099,0.0047,schema_A
2,Epoch_A1,9.8,2.3321,2.3321,0.0042,schema_A
3,Epoch_A1,9.8,4.207,4.207,0.0043,schema_A
4,Epoch_A1,9.8,6.6526,6.6526,0.0042,schema_A
5,Epoch_A1,9.8,9.4732,9.4732,0.0052,schema_A
6,Epoch_A1,9.8,12.8028,12.8028,0.0055,schema_A
7,Epoch_A1,9.8,16.2016,16.2016,0.0045,schema_A
8,Epoch_A1,9.8,19.8086,19.8086,0.0061,schema_A
9,Epoch_A1,9.8,23.4965,23.4965,0.0046,schema_A
10,Epoch_A1,9.8,27.3094,27.3094,0.006,schema_A
11,Epoch_A1,9.8,31.2714,31.2714,0.0044,schema_A
12,Epoch_A1,9.8,35.3921,35.3921,0.0043,schema_A
13,Epoch_A1,9.8,39.4779,39.4779,0.0049,schema_A
14,Epoch_A1,9.8,43.5387,43.5387,0.0049,schema_A
15,Epoch_A1,9.8,47.618,47.618,0.0049,schema_A
16,Epoch_A1,9.8,51.9261,51.9261,0.0046,schema_A
17,Epoch_A1,9.8,56.2117,56.2117,0.0051,schema_A
18,Epoch_A1,9.8,60.708,60.708,0.0051,schema_A
19,Epoch_A1,9.8,65.4549,65.4549,0.0051,schema_A
20,Epoch_A1,9.8,70.0626,70.0626,0.0054,schema_A
21,Epoch_A1,9.8,74.8165,74.8165,0.0049,schema_A
22,Epoch_A1,9.8,79.6999,79.6999,0.0053,schema_A
23,Epoch_A1,9.8,84.6771,84.6771,0.0047,schema_A
24,Epoch_A1,9.8,89.7535,89.7535,0.0051,schema_A
25,Epoch_A1,9.8,94.8819,94.8819,0.0047,schema_A
26,Epoch_A1,9.8,100.2146,100.2146,0.0051,schema_A
27,Epoch_A1,9.8,105.6993,105.6993,0.0044,schema_A
28,Epoch_A1,9.8,111.1975,111.1975,0.0035,schema_A
29,Epoch_A1,9.8,116.6074,116.6074,0.0055,schema_A
30,Epoch_A1,9.8,122.0139,122.0139,0.0055,schema_A
31,Epoch_A1,9.8,127.3821,127.3821,0.006,schema_A
32,Epoch_A1,9.8,132.5799,132.5799,0.005,schema_A
33,Epoch_A1,9.8,137.9548,137.9548,0.0057,schema_A
34,Epoch_A1,9.8,143.2437,143.2437,0.005,schema_A
35,Epoch_A1,9.8,148.6331,148.6331,0.0056,schema_A
36,Epoch_A1,9.8,154.125,154.125,0.0048,schema_A
37,Epoch_A1,9.8,159.406,159.406,0.0049,schema_A
38,Epoch_A1,9.8,164.6717,164.6717,0.0048,schema_A
39,Epoch_A1,9.8,169.8723,169.8723,0.0057,schema_A
40,Epoch_A1,9.8,174.9135,174.9135,0.0054,schema_A
1,Epoch_B,4.2,0.5344,-0.5344,1.517,schema_A
2,Epoch_B,4.2,-0.4517,-1.4667,1.4408,schema_A
3,Epoch_B,4.2,-1.9085,-2.5725,0.9443,schema_A
4,Epoch_B,4.2,-2.9826,-3.9979,1.4408,schema_A
5,Epoch_B,4.2,-4.9219,-5.4401,0.7386,schema_A
6,Epoch_B,4.2,-6.1611,-7.1132,1.3515,schema_A
7,Epoch_B,4.2,-8.2202,-8.7835,0.8016,schema_B
8,Epoch_B,4.2,-10.8793,-10.5113,0.5257,schema_B
9,Epoch_B,4.2,-12.6518,-12.328,0.463,schema_B
10,Epoch_B,4.2,-14.4286,-14.139,0.4148,schema_B
11,Epoch_B,4.2,-16.2235,-15.978,0.3512,schema_B
12,Epoch_B,4.2,-18.196,-17.984,0.3044,schema_B
13,Epoch_B,4.2,-20.2206,-20.0239,0.2834,schema_B
14,Epoch_B,4.2,-22.3369,-22.1668,0.2455,schema_B
15,Epoch_B,4.2,-24.4373,-24.2854,0.2205,schema_B
16,Epoch_B,4.2,-26.4683,-26.3406,0.1847,schema_B
17,Epoch_B,4.2,-28.4851,-28.3797,0.1538,schema_B
18,Epoch_B,4.2,-30.3833,-30.2944,0.1314,schema_B
19,Epoch_B,4.2,-32.2672,-32.1963,0.1057,schema_B
20,Epoch_B,4.2,-34.4437,-34.3838,0.0894,schema_B
21,Epoch_B,4.2,-36.5888,-36.5302,0.0882,schema_B
22,Epoch_B,4.2,-38.5703,-38.5214,0.0737,schema_B
23,Epoch_B,4.2,-40.6442,-40.6056,0.0598,schema_B
24,Epoch_B,4.2,-42.8426,-42.8083,0.0547,schema_B
25,Epoch_B,4.2,-45.053,-45.0221,0.0492,schema_B
26,Epoch_B,4.2,-47.4562,-47.4298,0.042,schema_B
27,Epoch_B,4.2,-49.8925,-49.8681,0.0397,schema_B
28,Epoch_B,4.2,-52.4048,-52.3838,0.0351,schema_B
29,Epoch_B,4.2,-54.6558,-54.6374,0.0312,schema_B
30,Epoch_B,4.2,-56.9951,-56.9811,0.0248,schema_B
31,Epoch_B,4.2,-59.3453,-59.3328,0.022,schema_B
32,Epoch_B,4.2,-61.6857,-61.6751,0.0204,schema_B
33,Epoch_B,4.2,-63.9249,-63.9159,0.0176,schema_B
34,Epoch_B,4.2,-66.2176,-66.2103,0.0155,schema_B
35,Epoch_B,4.2,-68.6449,-68.6386,0.0133,schema_B
