step,epoch,gravity,pred_x,actual_x,error,active_schema
1,Epoch_A1,9.8,0.5852,0.5852,0.0059,schema_A
2,Epoch_A1,9.8,1.6162,1.6162,0.0046,schema_A
3,Epoch_A1,9.8,3.3189,3.3189,0.0049,schema_A
4,Epoch_A1,9.8,5.6473,5.6473,0.0049,schema_A
5,Epoch_A1,9.8,8.2299,8.2299,0.0048,schema_A
6,Epoch_A1,9.8,11.1778,11.1778,0.0055,schema_A
7,Epoch_A1,9.8,14.2498,14.2498,0.0046,schema_A
8,Epoch_A1,9.8,17.5959,17.5959,0.0041,schema_A
9,Epoch_A1,9.8,21.3031,21.3031,0.0043,schema_A
10,Epoch_A1,9.8,25.0673,25.0673,0.0043,schema_A
11,Epoch_A1,9.8,28.9572,28.9572,0.0048,schema_A
12,Epoch_A1,9.8,33.219,33.219,0.005,schema_A
13,Epoch_A1,9.8,37.6646,37.6646,0.0055,schema_A
14,Epoch_A1,9.8,42.1779,42.1779,0.0054,schema_A
15,Epoch_A1,9.8,46.6551,46.6551,0.0053,schema_A
16,Epoch_A1,9.8,51.05,51.05,0.0055,schema_A
17,Epoch_A1,9.8,55.5817,55.5817,0.0047,schema_A
18,Epoch_A1,9.8,60.3666,60.3666,0.005,schema_A
19,Epoch_A1,9.8,65.0195,65.0195,0.0054,schema_A
20,Epoch_A1,9.8,69.633,69.633,0.0058,schema_A
21,Epoch_A1,9.8,74.2981,74.2981,0.0045,schema_A
22,Epoch_A1,9.8,79.0384,79.0384,0.0048,schema_A
23,Epoch_A1,9.8,83.8494,83.8494,0.0048,schema_A
24,Epoch_A1,9.8,88.855,88.855,0.005,schema_A
25,Epoch_A1,9.8,93.8051,93.8051,0.0055,schema_A
26,Epoch_A1,9.8,98.9324,98.9324,0.0052,schema_A
27,Epoch_A1,9.8,104.1366,104.1366,0.0045,schema_A
28,Epoch_A1,9.8,109.2347,109.2347,0.0052,schema_A
29,Epoch_A1,9.8,114.4087,114.4087,0.0049,schema_A
30,Epoch_A1,9.8,119.4421,119.4421,0.0051,schema_A
31,Epoch_A1,9.8,124.3358,124.3358,0.0046,schema_A
32,Epoch_A1,9.8,129.3884,129.3884,0.0041,schema_A
33,Epoch_A1,9.8,134.353,134.353,0.0057,schema_A
34,Epoch_A1,9.8,139.3057,139.3057,0.006,schema_A
35,Epoch_A1,9.8,144.1602,144.1602,0.0044,schema_A
36,Epoch_A1,9.8,149.087,149.087,0.0047,schema_A
37,Epoch_A1,9.8,154.0396,154.0396,0.0048,schema_A
38,Epoch_A1,9.8,159.0174,159.0174,0.0056,schema_A
39,Epoch_A1,9.8,164.1124,164.1124,0.0046,schema_A
40,Epoch_A1,9.8,169.4401,169.4401,0.0051,schema_A
1,Epoch_B,4.2,0.4721,-0.4721,1.3402,schema_A
2,Epoch_B,4.2,-0.1202,-1.5745,2.0612,schema_A
3,Epoch_B,4.2,-1.8959,-3.0832,1.6836,schema_A
4,Epoch_B,4.2,-3.994,-4.677,0.9707,schema_A
5,Epoch_B,4.2,-5.7592,-6.2404,0.6854,schema_A
6,Epoch_B,4.2,-7.2534,-7.8226,0.8096,schema_A
7,Epoch_B,4.2,-8.5559,-9.7158,1.6453,schema_B
8,Epoch_B,4.2,-12.1601,-11.7058,0.6475,schema_B
