step,epoch,gravity,pred_x,actual_x,error,active_schema
1,Epoch_A1,9.8,0.6541,0.6541,0.005,schema_A
2,Epoch_A1,9.8,1.9325,1.9325,0.0051,schema_A
3,Epoch_A1,9.8,3.5718,3.5718,0.005,schema_A
4,Epoch_A1,9.8,5.712,5.712,0.0055,schema_A
5,Epoch_A1,9.8,8.4406,8.4406,0.0035,schema_A
6,Epoch_A1,9.8,11.6887,11.6887,0.0054,schema_A
7,Epoch_A1,9.8,15.0751,15.0751,0.0053,schema_A
8,Epoch_A1,9.8,18.8379,18.8379,0.0051,schema_A
9,Epoch_A1,9.8,22.8291,22.8291,0.0062,schema_A
10,Epoch_A1,9.8,27.0444,27.0444,0.0043,schema_A
11,Epoch_A1,9.8,31.4063,31.4063,0.0051,schema_A
12,Epoch_A1,9.8,36.0121,36.0121,0.005,schema_A
13,Epoch_A1,9.8,40.7757,40.7757,0.0051,schema_A
14,Epoch_A1,9.8,45.6791,45.6791,0.0044,schema_A
15,Epoch_A1,9.8,50.6906,50.6906,0.0052,schema_A
16,Epoch_A1,9.8,55.7358,55.7358,0.0049,schema_A
17,Epoch_A1,9.8,60.7321,60.7321,0.0055,schema_A
18,Epoch_A1,9.8,65.6608,65.6608,0.0041,schema_A
19,Epoch_A1,9.8,70.4573,70.4573,0.005,schema_A
20,Epoch_A1,9.8,75.4303,75.4303,0.0054,schema_A
21,Epoch_A1,9.8,80.4057,80.4057,0.005,schema_A
22,Epoch_A1,9.8,85.4316,85.4316,0.0046,schema_A
23,Epoch_A1,9.8,90.3586,90.3586,0.0046,schema_A
24,Epoch_A1,9.8,95.486,95.486,0.0045,schema_A
25,Epoch_A1,9.8,100.8262,100.8262,0.0048,schema_A
26,Epoch_A1,9.8,106.3489,106.3489,0.005,schema_A
27,Epoch_A1,9.8,112.0355,112.0355,0.0044,schema_A
28,Epoch_A1,9.8,117.861,117.861,0.0051,schema_A
29,Epoch_A1,9.8,123.5202,123.5202,0.005,schema_A
30,Epoch_A1,9.8,129.2122,129.2122,0.0058,schema_A
31,Epoch_A1,9.8,134.9378,134.9378,0.0053,schema_A
32,Epoch_A1,9.8,140.5798,140.5798,0.0045,schema_A
33,Epoch_A1,9.8,146.0656,146.0656,0.0051,schema_A
34,Epoch_A1,9.8,151.5016,151.5016,0.0055,schema_A
35,Epoch_A1,9.8,157.0247,157.0247,0.0046,schema_A
36,Epoch_A1,9.8,162.4715,162.4715,0.0046,schema_A
37,Epoch_A1,9.8,167.9556,167.9556,0.0043,schema_A
38,Epoch_A1,9.8,173.4801,173.4801,0.0056,schema_A
39,Epoch_A1,9.8,179.062,179.062,0.0046,schema_A
40,Epoch_A1,9.8,184.7056,184.7056,0.0054,schema_A
1,Epoch_B,4.2,0.8316,-0.8316,2.3566,schema_A
2,Epoch_B,4.2,-0.8454,-2.14,1.8356,schema_A
3,Epoch_B,4.2,-2.9071,-3.5447,0.9066,schema_A
4,Epoch_B,4.2,-4.2193,-5.202,1.3949,schema_A
5,Epoch_B,4.2,-6.2436,-6.9116,0.949,schema_A
6,Epoch_B,4.2,-7.8406,-8.8204,1.3912,schema_A
7,Epoch_B,4.2,-10.1931,-10.6164,0.6036,schema_A
8,Epoch_B,4.2,-11.5477,-12.6664,1.5871,schema_A
9,Epoch_B,4.2,-13.9779,-14.7579,1.1083,schema_A
10,Epoch_B,4.2,-15.9701,-17.0177,1.4863,schema_B
11,Epoch_B,4.2,-19.6484,-19.106,0.7723,schema_B
12,Epoch_B,4.2,-21.4711,-21.0449,0.6073,schema_B
13,Epoch_B,4.2,-23.5719,-23.2354,0.481,schema_B
14,Epoch_B,4.2,-25.7844,-25.4611,0.4619,schema_B
15,Epoch_B,4.2,-27.948,-27.6687,0.4003,schema_B
16,Epoch_B,4.2,-30.3101,-30.0746,0.3385,schema_B
17,Epoch_B,4.2,-32.5878,-32.3695,0.3137,schema_B
18,Epoch_B,4.2,-34.9279,-34.7509,0.2545,schema_B
19,Epoch_B,4.2,-37.2831,-37.1269,0.2263,schema_B
20,Epoch_B,4.2,-39.5747,-39.4422,0.1921,schema_B
21,Epoch_B,4.2,-41.8111,-41.7013,0.1607,schema_B
22,Epoch_B,4.2,-44.1454,-44.0543,0.1342,schema_B
23,Epoch_B,4.2,-46.4746,-46.3939,0.1192,schema_B
24,Epoch_B,4.2,-48.7539,-48.6857,0.1018,schema_B
25,Epoch_B,4.2,-50.8397,-50.7829,0.0856,schema_B
26,Epoch_B,4.2,-52.7863,-52.7421,0.0683,schema_B
27,Epoch_B,4.2,-54.6419,-54.6068,0.055,schema_B
28,Epoch_B,4.2,-56.3932,-56.3648,0.0457,schema_B
29,Epoch_B,4.2,-58.3526,-58.3298,0.0364,schema_B
30,Epoch_B,4.2,-60.501,-60.4794,0.0353,schema_B
31,Epoch_B,4.2,-62.7583,-62.7381,0.0331,schema_B
32,Epoch_B,4.2,-65.0389,-65.0209,0.0304,schema_B
33,Epoch_B,4.2,-67.1457,-67.1303,0.027,schema_B
34,Epoch_B,4.2,-69.3191,-69.3069,0.023,schema_B
35,Epoch_B,4.2,-71.3465,-71.3358,0.0195,schema_B
36,Epoch_B,4.2,-73.3044,-73.2959,0.0172,schema_B
37,Epoch_B,4.2,-75.3954,-75.3885,0.015,schema_B
38,Epoch_B,4.2,-77.4819,-77.4756,0.0142,schema_B
39,Epoch_B,4.2,-79.5101,-79.5047,0.0125,schema_B
40,Epoch_B,4.2,-81.4979,-81.4935,0.0107,schema_B
1,Epoch_A2,9.8,0.7729,0.7729,0,schema_A
2,Epoch_A2,9.8,1.9291,1.9291,0,schema_A
3,Epoch_A2,9.8,3.688,3.688,0,schema_A
4,Epoch_A2,9.8,6.0587,6.0587,0,schema_A
5,Epoch_A2,9.8,8.9524,8.9524,0,schema_A
6,Epoch_A2,9.8,12.1739,12.1739,0,schema_A
7,Epoch_A2,9.8,15.7575,15.7575,0,schema_A
8,Epoch_A2,9.8,19.485,19.485,0,schema_A
9,Epoch_A2,9.8,23.5254,23.5254,0,schema_A
10,Epoch_A2,9.8,27.5326,27.5326,0,schema_A
11,Epoch_A2,9.8,31.7407,31.7407,0,schema_A
12,Epoch_A2,9.8,36.1354,36.1354,0,schema_A
13,Epoch_A2,9.8,40.7217,40.7217,0,schema_A
14,Epoch_A2,9.8,45.3481,45.3481,0,schema_A
15,Epoch_A2,9.8,50.07,50.07,0,schema_A
16,Epoch_A2,9.8,54.9181,54.9181,0,schema_A
17,Epoch_A2,9.8,59.7927,59.7927,0,schema_A
18,Epoch_A2,9.8,64.5835,64.5835,0,schema_A
19,Epoch_A2,9.8,69.405,69.405,0,schema_A
20,Epoch_A2,9.8,74.4455,74.4455,0,schema_A
21,Epoch_A2,9.8,79.57,79.57,0,schema_A
22,Epoch_A2,9.8,84.663,84.663,0,schema_A
23,Epoch_A2,9.8,89.7366,89.7366,0,schema_A
24,Epoch_A2,9.8,94.9893,94.9893,0,schema_A
25,Epoch_A2,9.8,100.1359,100.1359,0,schema_A
26,Epoch_A2,9.8,105.3742,105.3742,0,schema_A
27,Epoch_A2,9.8,110.7762,110.7762,0,schema_A
28,Epoch_A2,9.8,116.281,116.281,0,schema_A
29,Epoch_A2,9.8,121.8098,121.8098,0,schema_A
30,Epoch_A2,9.8,127.4986,127.4986,0,schema_A
31,Epoch_A2,9.8,133.3022,133.3022,0,schema_A
32,Epoch_A2,9.8,138.8544,138.8544,0,schema_A
33,Epoch_A2,9.8,144.2075,144.2075,0,schema_A
34,Epoch_A2,9.8,149.6825,149.6825,0,schema_A
35,Epoch_A2,9.8,155.2997,155.2997,0,schema_A
36,Epoch_A2,9.8,161.0921,161.0921,0,schema_A
37,Epoch_A2,9.8,166.9494,166.9494,0,schema_A
38,Epoch_A2,9.8,172.7922,172.7922,0,schema_A
39,Epoch_A2,9.8,178.6701,178.6701,0,schema_A
40,Epoch_A2,9.8,184.5682,184.5682,0,schema_A
