step,epoch,gravity,pred_x,actual_x,error,active_schema
1,Epoch_A1,9.8,0.8322,0.8322,0.0051,schema_A
2,Epoch_A1,9.8,2.414,2.414,0.0051,schema_A
3,Epoch_A1,9.8,4.3093,4.3093,0.0055,schema_A
4,Epoch_A1,9.8,6.5491,6.5491,0.0055,schema_A
5,Epoch_A1,9.8,9.3231,9.3231,0.0051,schema_A
6,Epoch_A1,9.8,12.325,12.325,0.0063,schema_A
7,Epoch_A1,9.8,15.6472,15.6472,0.0057,schema_A
8,Epoch_A1,9.8,19.3883,19.3883,0.0047,schema_A
9,Epoch_A1,9.8,23.4065,23.4065,0.006,schema_A
10,Epoch_A1,9.8,27.618,27.618,0.0053,schema_A
11,Epoch_A1,9.8,31.8812,31.8812,0.0054,schema_A
12,Epoch_A1,9.8,36.3055,36.3055,0.0059,schema_A
13,Epoch_A1,9.8,41.0226,41.0226,0.0052,schema_A
14,Epoch_A1,9.8,45.8393,45.8393,0.0037,schema_A
15,Epoch_A1,9.8,50.7998,50.7998,0.0047,schema_A
16,Epoch_A1,9.8,55.9966,55.9966,0.0047,schema_A
17,Epoch_A1,9.8,61.1276,61.1276,0.0052,schema_A
18,Epoch_A1,9.8,66.3445,66.3445,0.0038,schema_A
19,Epoch_A1,9.8,71.4209,71.4209,0.0053,schema_A
20,Epoch_A1,9.8,76.3917,76.3917,0.0043,schema_A
21,Epoch_A1,9.8,81.2119,81.2119,0.0049,schema_A
22,Epoch_A1,9.8,86.2718,86.2718,0.005,schema_A
23,Epoch_A1,9.8,91.3647,91.3647,0.0045,schema_A
24,Epoch_A1,9.8,96.5524,96.5524,0.0049,schema_A
25,Epoch_A1,9.8,101.932,101.932,0.0048,schema_A
26,Epoch_A1,9.8,107.3387,107.3387,0.0055,schema_A
27,Epoch_A1,9.8,112.648,112.648,0.0045,schema_A
28,Epoch_A1,9.8,117.9294,117.9294,0.0046,schema_A
29,Epoch_A1,9.8,123.2881,123.2881,0.0048,schema_A
30,Epoch_A1,9.8,128.8523,128.8523,0.005,schema_A
31,Epoch_A1,9.8,134.3249,134.3249,0.0045,schema_A
32,Epoch_A1,9.8,139.9609,139.9609,0.0052,schema_A
33,Epoch_A1,9.8,145.7503,145.7503,0.0045,schema_A
34,Epoch_A1,9.8,151.3109,151.3109,0.005,schema_A
35,Epoch_A1,9.8,157.0099,157.0099,0.0053,schema_A
36,Epoch_A1,9.8,162.5983,162.5983,0.0056,schema_A
37,Epoch_A1,9.8,168.0807,168.0807,0.0048,schema_A
38,Epoch_A1,9.8,173.3459,173.3459,0.0053,schema_A
39,Epoch_A1,9.8,178.6319,178.6319,0.0052,schema_A
40,Epoch_A1,9.8,183.7941,183.7941,0.0043,schema_A
1,Epoch_B,4.2,0.7198,-0.7198,2.0414,schema_A
2,Epoch_B,4.2,-0.5763,-2.0078,2.0296,schema_A
3,Epoch_B,4.2,-2.415,-3.7387,1.8761,schema_A
4,Epoch_B,4.2,-4.7462,-5.6045,1.2191,schema_A
5,Epoch_B,4.2,-6.7294,-7.577,1.2023,schema_A
6,Epoch_B,4.2,-8.7097,-9.7184,1.4308,schema_A
7,Epoch_B,4.2,-11.1268,-11.8649,1.0488,schema_B
8,Epoch_B,4.2,-14.4399,-13.9643,0.6769,schema_B
9,Epoch_B,4.2,-16.6087,-16.2131,0.5647,schema_B
10,Epoch_B,4.2,-18.9958,-18.6354,0.5139,schema_B
11,Epoch_B,4.2,-21.118,-20.788,0.471,schema_B
12,Epoch_B,4.2,-23.1354,-22.8861,0.3576,schema_B
13,Epoch_B,4.2,-25.0802,-24.8736,0.2971,schema_B
14,Epoch_B,4.2,-26.9905,-26.824,0.2399,schema_B
