step,epoch,gravity,pred_x,actual_x,error,active_schema
1,Epoch_A1,9.8,0.4534,0.4534,0.0048,schema_A
2,Epoch_A1,9.8,1.5971,1.5971,0.0051,schema_A
3,Epoch_A1,9.8,3.2458,3.2458,0.0051,schema_A
4,Epoch_A1,9.8,5.4345,5.4345,0.005,schema_A
5,Epoch_A1,9.8,7.8511,7.8511,0.0049,schema_A
6,Epoch_A1,9.8,10.617,10.617,0.0043,schema_A
7,Epoch_A1,9.8,13.8397,13.8397,0.0045,schema_A
8,Epoch_A1,9.8,17.2708,17.2708,0.0046,schema_A
9,Epoch_A1,9.8,20.8208,20.8208,0.0053,schema_A
10,Epoch_A1,9.8,24.5296,24.5296,0.0054,schema_A
11,Epoch_A1,9.8,28.5467,28.5467,0.0049,schema_A
12,Epoch_A1,9.8,32.9089,32.9089,0.0055,schema_A
13,Epoch_A1,9.8,37.4362,37.4362,0.0046,schema_A
14,Epoch_A1,9.8,42.232,42.232,0.0044,schema_A
15,Epoch_A1,9.8,46.965,46.965,0.005,schema_A
16,Epoch_A1,9.8,51.6634,51.6634,0.0048,schema_A
17,Epoch_A1,9.8,56.4762,56.4762,0.0048,schema_A
18,Epoch_A1,9.8,61.2309,61.2309,0.0055,schema_A
19,Epoch_A1,9.8,65.9485,65.9485,0.0044,schema_A
20,Epoch_A1,9.8,70.8195,70.8195,0.0053,schema_A
21,Epoch_A1,9.8,75.7434,75.7434,0.0041,schema_A
22,Epoch_A1,9.8,80.8316,80.8316,0.0059,schema_A
23,Epoch_A1,9.8,85.9671,85.9671,0.0047,schema_A
24,Epoch_A1,9.8,90.996,90.996,0.0049,schema_A
25,Epoch_A1,9.8,95.8825,95.8825,0.0059,schema_A
26,Epoch_A1,9.8,100.6344,100.6344,0.0047,schema_A
27,Epoch_A1,9.8,105.5355,105.5355,0.0045,schema_A
28,Epoch_A1,9.8,110.4594,110.4594,0.0055,schema_A
29,Epoch_A1,9.8,115.3567,115.3567,0.0053,schema_A
30,Epoch_A1,9.8,120.2725,120.2725,0.0051,schema_A
31,Epoch_A1,9.8,125.3283,125.3283,0.0053,schema_A
32,Epoch_A1,9.8,130.6131,130.6131,0.0055,schema_A
33,Epoch_A1,9.8,135.7325,135.7325,0.0042,schema_A
34,Epoch_A1,9.8,140.9392,140.9392,0.0055,schema_A
35,Epoch_A1,9.8,146.3497,146.3497,0.0044,schema_A
36,Epoch_A1,9.8,151.6345,151.6345,0.0046,schema_A
37,Epoch_A1,9.8,156.883,156.883,0.004,schema_A
38,Epoch_A1,9.8,162.2109,162.2109,0.0048,schema_A
39,Epoch_A1,9.8,167.4826,167.4826,0.0055,schema_A
40,Epoch_A1,9.8,172.8542,172.8542,0.0045,schema_A
1,Epoch_B,4.2,0.499,-0.499,1.4163,schema_A
2,Epoch_B,4.2,-0.3309,-1.4605,1.6031,schema_A
3,Epoch_B,4.2,-1.8401,-2.6769,1.1896,schema_A
4,Epoch_B,4.2,-3.1201,-4.253,1.6066,schema_A
5,Epoch_B,4.2,-4.911,-6.2115,1.844,schema_A
6,Epoch_B,4.2,-7.595,-8.0788,0.6887,schema_A
7,Epoch_B,4.2,-9.1874,-10.0701,1.2539,schema_A
8,Epoch_B,4.2,-11.2224,-12.2234,1.4203,schema_B
9,Epoch_B,4.2,-14.8542,-14.3374,0.7364,schema_B
10,Epoch_B,4.2,-16.8408,-16.4094,0.6152,schema_B
11,Epoch_B,4.2,-18.9056,-18.546,0.5147,schema_B
12,Epoch_B,4.2,-21.192,-20.8767,0.4507,schema_B
13,Epoch_B,4.2,-23.5247,-23.2322,0.418,schema_B
14,Epoch_B,4.2,-25.9713,-25.72,0.3603,schema_B
15,Epoch_B,4.2,-28.1406,-27.9149,0.3244,schema_B
16,Epoch_B,4.2,-30.259,-30.0897,0.2445,schema_B
17,Epoch_B,4.2,-32.6211,-32.4785,0.2072,schema_B
18,Epoch_B,4.2,-35.1375,-35.0043,0.193,schema_B
19,Epoch_B,4.2,-37.6498,-37.53,0.1745,schema_B
20,Epoch_B,4.2,-39.8997,-39.7979,0.1487,schema_B
21,Epoch_B,4.2,-42.0041,-41.9263,0.1156,schema_B
22,Epoch_B,4.2,-44.1763,-44.1142,0.0919,schema_B
23,Epoch_B,4.2,-46.2119,-46.1577,0.0814,schema_B
24,Epoch_B,4.2,-48.3242,-48.2811,0.0661,schema_B
25,Epoch_B,4.2,-50.5755,-50.5375,0.0592,schema_B
26,Epoch_B,4.2,-52.7315,-52.6971,0.0531,schema_B
27,Epoch_B,4.2,-54.835,-54.8071,0.0446,schema_B
28,Epoch_B,4.2,-56.7706,-56.7473,0.0381,schema_B
29,Epoch_B,4.2,-58.6208,-58.6027,0.0312,schema_B
30,Epoch_B,4.2,-60.7703,-60.7555,0.0256,schema_B
31,Epoch_B,4.2,-62.9403,-62.9257,0.0256,schema_B
32,Epoch_B,4.2,-65.1035,-65.091,0.0231,schema_B
33,Epoch_B,4.2,-67.3364,-67.3258,0.0198,schema_B
34,Epoch_B,4.2,-69.3522,-69.3429,0.0189,schema_B
35,Epoch_B,4.2,-71.4929,-71.4858,0.0152,schema_B
36,Epoch_B,4.2,-73.7891,-73.7827,0.0144,schema_B
37,Epoch_B,4.2,-76.1654,-76.1595,0.0133,schema_B
