step,epoch,gravity,pred_x,actual_x,error,active_schema
1,Epoch_A1,9.8,0.7006,0.7006,0.0046,schema_A
2,Epoch_A1,9.8,1.8256,1.8256,0.0038,schema_A
3,Epoch_A1,9.8,3.2684,3.2684,0.0052,schema_A
4,Epoch_A1,9.8,5.1213,5.1213,0.0046,schema_A
5,Epoch_A1,9.8,7.5232,7.5232,0.0054,schema_A
6,Epoch_A1,9.8,10.2706,10.2706,0.006,schema_A
7,Epoch_A1,9.8,13.1436,13.1436,0.0056,schema_A
8,Epoch_A1,9.8,16.1304,16.1304,0.0047,schema_A
9,Epoch_A1,9.8,19.5401,19.5401,0.0051,schema_A
10,Epoch_A1,9.8,23.2451,23.2451,0.0042,schema_A
11,Epoch_A1,9.8,27.3524,27.3524,0.0064,schema_A
12,Epoch_A1,9.8,31.665,31.665,0.0051,schema_A
13,Epoch_A1,9.8,35.9926,35.9926,0.0047,schema_A
14,Epoch_A1,9.8,40.5022,40.5022,0.0047,schema_A
15,Epoch_A1,9.8,45.195,45.195,0.0048,schema_A
16,Epoch_A1,9.8,49.9163,49.9163,0.005,schema_A
17,Epoch_A1,9.8,54.6243,54.6243,0.005,schema_A
18,Epoch_A1,9.8,59.5221,59.5221,0.0038,schema_A
19,Epoch_A1,9.8,64.4825,64.4825,0.0054,schema_A
20,Epoch_A1,9.8,69.3854,69.3854,0.0057,schema_A
21,Epoch_A1,9.8,74.5488,74.5488,0.0056,schema_A
22,Epoch_A1,9.8,79.5239,79.5239,0.0062,schema_A
23,Epoch_A1,9.8,84.6585,84.6585,0.0046,schema_A
24,Epoch_A1,9.8,89.7786,89.7786,0.0055,schema_A
25,Epoch_A1,9.8,94.8401,94.8401,0.0041,schema_A
26,Epoch_A1,9.8,99.8692,99.8692,0.0054,schema_A
27,Epoch_A1,9.8,104.8731,104.8731,0.0051,schema_A
28,Epoch_A1,9.8,109.8535,109.8535,0.0047,schema_A
29,Epoch_A1,9.8,114.8808,114.8808,0.0047,schema_A
30,Epoch_A1,9.8,120.0546,120.0546,0.005,schema_A
31,Epoch_A1,9.8,125.2405,125.2405,0.0054,schema_A
32,Epoch_A1,9.8,130.2534,130.2534,0.0052,schema_A
33,Epoch_A1,9.8,135.2358,135.2358,0.0053,schema_A
34,Epoch_A1,9.8,140.2816,140.2816,0.0053,schema_A
35,Epoch_A1,9.8,145.4399,145.4399,0.0048,schema_A
36,Epoch_A1,9.8,150.6224,150.6224,0.0055,schema_A
37,Epoch_A1,9.8,155.8569,155.8569,0.0053,schema_A
