step,epoch,gravity,pred_x,actual_x,error,active_schema
1,Epoch_A1,9.8,0.5626,0.5626,0.0054,schema_A
2,Epoch_A1,9.8,1.5135,1.5135,0.0056,schema_A
3,Epoch_A1,9.8,3.0031,3.0031,0.0049,schema_A
4,Epoch_A1,9.8,4.9545,4.9545,0.0051,schema_A
5,Epoch_A1,9.8,7.1127,7.1127,0.0048,schema_A
6,Epoch_A1,9.8,9.4755,9.4755,0.0051,schema_A
7,Epoch_A1,9.8,12.1602,12.1602,0.0051,schema_A
8,Epoch_A1,9.8,15.0426,15.0426,0.0048,schema_A
9,Epoch_A1,9.8,18.2707,18.2707,0.0056,schema_A
10,Epoch_A1,9.8,21.7051,21.7051,0.0048,schema_A
11,Epoch_A1,9.8,25.5673,25.5673,0.0059,schema_A
12,Epoch_A1,9.8,29.514,29.514,0.0053,schema_A
13,Epoch_A1,9.8,33.4735,33.4735,0.0053,schema_A
14,Epoch_A1,9.8,37.7297,37.7297,0.0053,schema_A
15,Epoch_A1,9.8,41.977,41.977,0.0044,schema_A
16,Epoch_A1,9.8,46.2978,46.2978,0.0046,schema_A
17,Epoch_A1,9.8,50.758,50.758,0.0052,schema_A
18,Epoch_A1,9.8,55.1954,55.1954,0.0051,schema_A
19,Epoch_A1,9.8,59.8146,59.8146,0.0046,schema_A
20,Epoch_A1,9.8,64.5533,64.5533,0.0052,schema_A
21,Epoch_A1,9.8,69.3409,69.3409,0.0047,schema_A
22,Epoch_A1,9.8,74.2761,74.2761,0.0058,schema_A
23,Epoch_A1,9.8,79.1479,79.1479,0.0045,schema_A
24,Epoch_A1,9.8,84.2319,84.2319,0.0047,schema_A
25,Epoch_A1,9.8,89.4409,89.4409,0.0047,schema_A
26,Epoch_A1,9.8,94.5,94.5,0.0064,schema_A
27,Epoch_A1,9.8,99.5547,99.5547,0.005,schema_A
28,Epoch_A1,9.8,104.6356,104.6356,0.0047,schema_A
29,Epoch_A1,9.8,109.5485,109.5485,0.0046,schema_A
30,Epoch_A1,9.8,114.5404,114.5404,0.0043,schema_A
31,Epoch_A1,9.8,119.7303,119.7303,0.0047,schema_A
32,Epoch_A1,9.8,124.9751,124.9751,0.0057,schema_A
33,Epoch_A1,9.8,130.2619,130.2619,0.0041,schema_A
34,Epoch_A1,9.8,135.7408,135.7408,0.0053,schema_A
35,Epoch_A1,9.8,141.1887,141.1887,0.0049,schema_A
36,Epoch_A1,9.8,146.706,146.706,0.0048,schema_A
37,Epoch_A1,9.8,152.2613,152.2613,0.0059,schema_A
38,Epoch_A1,9.8,157.6959,157.6959,0.005,schema_A
39,Epoch_A1,9.8,163.0673,163.0673,0.0049,schema_A
40,Epoch_A1,9.8,168.4153,168.4153,0.0049,schema_A
1,Epoch_B,4.2,0.4964,-0.4964,1.4092,schema_A
2,Epoch_B,4.2,-0.1818,-1.6004,2.0113,schema_A
3,Epoch_B,4.2,-2.1692,-2.8642,0.9879,schema_A
4,Epoch_B,4.2,-3.2694,-4.5568,1.8262,schema_A
5,Epoch_B,4.2,-5.7056,-6.2178,0.7288,schema_A
6,Epoch_B,4.2,-6.9953,-8.1976,1.7054,schema_A
7,Epoch_B,4.2,-9.3052,-10.3764,1.5202,schema_B
8,Epoch_B,4.2,-13.0478,-12.5249,0.7442,schema_B
9,Epoch_B,4.2,-15.0662,-14.6278,0.626,schema_B
10,Epoch_B,4.2,-16.9749,-16.61,0.5202,schema_B
11,Epoch_B,4.2,-18.8097,-18.5172,0.4187,schema_B
12,Epoch_B,4.2,-20.7418,-20.5025,0.3438,schema_B
13,Epoch_B,4.2,-22.7992,-22.5874,0.3046,schema_B
14,Epoch_B,4.2,-24.8599,-24.6707,0.2726,schema_B
15,Epoch_B,4.2,-26.8926,-26.7318,0.2312,schema_B
16,Epoch_B,4.2,-29.0489,-28.9136,0.1958,schema_B
17,Epoch_B,4.2,-31.2286,-31.1068,0.1766,schema_B
18,Epoch_B,4.2,-33.216,-33.112,0.1517,schema_B
19,Epoch_B,4.2,-35.4238,-35.3429,0.1196,schema_B
20,Epoch_B,4.2,-37.7675,-37.6909,0.1122,schema_B
21,Epoch_B,4.2,-40.0183,-39.9498,0.1017,schema_B
22,Epoch_B,4.2,-42.3042,-42.2482,0.0844,schema_B
23,Epoch_B,4.2,-44.38,-44.3315,0.0739,schema_B
24,Epoch_B,4.2,-46.342,-46.3046,0.058,schema_B
25,Epoch_B,4.2,-48.3052,-48.2751,0.0476,schema_B
26,Epoch_B,4.2,-50.1889,-50.1634,0.0411,schema_B
27,Epoch_B,4.2,-51.993,-51.9722,0.0344,schema_B
28,Epoch_B,4.2,-54.07,-54.053,0.0291,schema_B
29,Epoch_B,4.2,-56.233,-56.2164,0.0287,schema_B
30,Epoch_B,4.2,-58.3397,-58.3251,0.0261,schema_B
31,Epoch_B,4.2,-60.4141,-60.402,0.0229,schema_B
32,Epoch_B,4.2,-62.7338,-62.7237,0.0201,schema_B
33,Epoch_B,4.2,-65.0048,-64.9951,0.0185,schema_B
34,Epoch_B,4.2,-67.0843,-67.0762,0.0164,schema_B
35,Epoch_B,4.2,-69.1307,-69.1245,0.0138,schema_B
36,Epoch_B,4.2,-71.0776,-71.0723,0.0134,schema_B
37,Epoch_B,4.2,-72.8944,-72.8901,0.0116,schema_B
38,Epoch_B,4.2,-74.6714,-74.6681,0.0096,schema_B
39,Epoch_B,4.2,-76.589,-76.5862,0.0096,schema_B
40,Epoch_B,4.2,-78.7916,-78.789,0.0087,schema_B
1,Epoch_A2,9.8,0.7919,0.7919,0,schema_A
2,Epoch_A2,9.8,2.0696,2.0696,0,schema_A
3,Epoch_A2,9.8,3.8454,3.8454,0,schema_A
4,Epoch_A2,9.8,5.9279,5.9279,0,schema_A
5,Epoch_A2,9.8,8.5478,8.5478,0,schema_A
6,Epoch_A2,9.8,11.5928,11.5928,0,schema_A
7,Epoch_A2,9.8,14.8485,14.8485,0,schema_A
8,Epoch_A2,9.8,18.2572,18.2572,0,schema_A
9,Epoch_A2,9.8,22.0885,22.0885,0,schema_A
10,Epoch_A2,9.8,26.3049,26.3049,0,schema_A
11,Epoch_A2,9.8,30.534,30.534,0,schema_A
12,Epoch_A2,9.8,34.7675,34.7675,0,schema_A
13,Epoch_A2,9.8,39.2752,39.2752,0,schema_A
14,Epoch_A2,9.8,44.0068,44.0068,0,schema_A
15,Epoch_A2,9.8,48.9822,48.9822,0,schema_A
16,Epoch_A2,9.8,53.9888,53.9888,0,schema_A
17,Epoch_A2,9.8,58.9609,58.9609,0,schema_A
18,Epoch_A2,9.8,63.9295,63.9295,0,schema_A
19,Epoch_A2,9.8,69.035,69.035,0,schema_A
20,Epoch_A2,9.8,74.0171,74.0171,0,schema_A
21,Epoch_A2,9.8,78.8884,78.8884,0,schema_A
22,Epoch_A2,9.8,83.8795,83.8795,0,schema_A
23,Epoch_A2,9.8,88.7524,88.7524,0,schema_A
24,Epoch_A2,9.8,93.7416,93.7416,0,schema_A
25,Epoch_A2,9.8,98.7415,98.7415,0,schema_A
26,Epoch_A2,9.8,103.6561,103.6561,0,schema_A
