step,epoch,gravity,pred_x,actual_x,error,active_schema
1,Epoch_A1,9.8,0.6199,0.6199,0.0051,schema_A
2,Epoch_A1,9.8,1.7105,1.7105,0.0049,schema_A
3,Epoch_A1,9.8,3.5039,3.5039,0.0049,schema_A
4,Epoch_A1,9.8,5.6552,5.6552,0.0048,schema_A
5,Epoch_A1,9.8,8.3472,8.3472,0.0049,schema_A
6,Epoch_A1,9.8,11.5221,11.5221,0.005,schema_A
7,Epoch_A1,9.8,14.7962,14.7962,0.0046,schema_A
8,Epoch_A1,9.8,18.2982,18.2982,0.0045,schema_A
9,Epoch_A1,9.8,22.2137,22.2137,0.0053,schema_A
10,Epoch_A1,9.8,26.1327,26.1327,0.0056,schema_A
11,Epoch_A1,9.8,30.4168,30.4168,0.0054,schema_A
12,Epoch_A1,9.8,34.9657,34.9657,0.0055,schema_A
13,Epoch_A1,9.8,39.7691,39.7691,0.0058,schema_A
14,Epoch_A1,9.8,44.7792,44.7792,0.0056,schema_A
15,Epoch_A1,9.8,49.7473,49.7473,0.005,schema_A
16,Epoch_A1,9.8,54.6096,54.6096,0.0046,schema_A
17,Epoch_A1,9.8,59.3825,59.3825,0.0047,schema_A
18,Epoch_A1,9.8,64.2039,64.2039,0.0059,schema_A
19,Epoch_A1,9.8,69.2921,69.2921,0.0053,schema_A
20,Epoch_A1,9.8,74.379,74.379,0.0048,schema_A
21,Epoch_A1,9.8,79.3078,79.3078,0.0044,schema_A
22,Epoch_A1,9.8,84.3188,84.3188,0.0047,schema_A
23,Epoch_A1,9.8,89.1913,89.1913,0.0048,schema_A
24,Epoch_A1,9.8,94.2614,94.2614,0.0048,schema_A
25,Epoch_A1,9.8,99.3442,99.3442,0.0061,schema_A
26,Epoch_A1,9.8,104.6433,104.6433,0.0058,schema_A
27,Epoch_A1,9.8,109.8725,109.8725,0.0054,schema_A
28,Epoch_A1,9.8,115.1259,115.1259,0.0048,schema_A
29,Epoch_A1,9.8,120.4173,120.4173,0.005,schema_A
30,Epoch_A1,9.8,125.5145,125.5145,0.0048,schema_A
31,Epoch_A1,9.8,130.4883,130.4883,0.0043,schema_A
32,Epoch_A1,9.8,135.5976,135.5976,0.0056,schema_A
33,Epoch_A1,9.8,140.5646,140.5646,0.005,schema_A
34,Epoch_A1,9.8,145.3688,145.3688,0.0047,schema_A
35,Epoch_A1,9.8,150.2252,150.2252,0.0059,schema_A
36,Epoch_A1,9.8,155.1109,155.1109,0.0044,schema_A
37,Epoch_A1,9.8,160.1747,160.1747,0.0051,schema_A
38,Epoch_A1,9.8,165.4631,165.4631,0.0053,schema_A
39,Epoch_A1,9.8,170.8271,170.8271,0.0052,schema_A
40,Epoch_A1,9.8,176.3009,176.3009,0.0054,schema_A
1,Epoch_B,4.2,0.4494,-0.4494,1.2766,schema_A
2,Epoch_B,4.2,-0.3196,-1.2939,1.3838,schema_A
3,Epoch_B,4.2,-1.4931,-2.4967,1.4238,schema_A
4,Epoch_B,4.2,-3.0826,-3.9073,1.1714,schema_A
5,Epoch_B,4.2,-4.7167,-5.4394,1.0273,schema_A
6,Epoch_B,4.2,-6.0676,-7.3545,1.8242,schema_A
7,Epoch_B,4.2,-8.7311,-9.1571,0.6079,schema_A
8,Epoch_B,4.2,-10.3117,-10.9946,0.9717,schema_A
9,Epoch_B,4.2,-11.9784,-13.0613,1.5362,schema_A
10,Epoch_B,4.2,-14.3148,-15.2383,1.3114,schema_B
11,Epoch_B,4.2,-17.9058,-17.3901,0.7341,schema_B
12,Epoch_B,4.2,-20.1396,-19.7062,0.6179,schema_B
13,Epoch_B,4.2,-22.4353,-22.0386,0.5659,schema_B
14,Epoch_B,4.2,-24.7309,-24.3912,0.4859,schema_B
15,Epoch_B,4.2,-27.1743,-26.883,0.4181,schema_B
16,Epoch_B,4.2,-29.5896,-29.3273,0.3762,schema_B
17,Epoch_B,4.2,-31.7239,-31.5052,0.3139,schema_B
18,Epoch_B,4.2,-33.69,-33.5242,0.24,schema_B
19,Epoch_B,4.2,-35.7636,-35.6329,0.1892,schema_B
20,Epoch_B,4.2,-37.6825,-37.5664,0.1689,schema_B
21,Epoch_B,4.2,-39.4628,-39.3723,0.1333,schema_B
22,Epoch_B,4.2,-41.2305,-41.1586,0.1066,schema_B
23,Epoch_B,4.2,-43.1543,-43.0938,0.0913,schema_B
24,Epoch_B,4.2,-45.2732,-45.2175,0.0839,schema_B
25,Epoch_B,4.2,-47.3453,-47.2933,0.0781,schema_B
26,Epoch_B,4.2,-49.527,-49.4838,0.0658,schema_B
27,Epoch_B,4.2,-51.5774,-51.5386,0.06,schema_B
